ENGLISH,GERMAN
Steel Arming Sword,Stahlbewehrtes Schwert
A standard issue sword using the same design for the last Millenium used by Imperial armies.,"Ein Schwert, das seit dem letzten Jahrtausend in kaiserlichen Armeen zur Standardausstattung gehört."
Elegant Blade,Formschöne Klinge
"An exsquisitely-crafted ceremonial tuck, made for Veridian Emperor Krauser XIII. ","Eine für den veridianischen Kaiser Krauser XIII exquisit gefertigte, zeremonielle Degenklinge. "
Flame Saber,Flammensäbel
A sword bearing a flame enchantment from the depths of Mount Karnac.,"Ein Schwert, dem ein Flammenzauber aus den Tiefen des Berges Karnac innewohnt."
Steelshatter,Stahlbrecher
An ancient blade made from a forgotten material designed to penetrate armor. ,"Eine uralte Klinge aus einem vergessenen Material, die entworfen wurde, um Rüstungen zu durchdringen. "
Excalibur,Excalibur
"A holy blade designed by the Donari Temple centuries ago to be a likeness of Lightfury. While not infused with Donar's divine power, the sword bears extraordinary magical enchantments.","Eine heilige Klinge, die vor langer Zeit vom Donari-Tempel dem Lichtzorn nachempfunden wurde. Obwohl es ihr an Donars Macht mangelt, wohnen ihr mächtige Verzauberungen inne."
Sin Credo,Sin Credo
"A mysterious weapon that draws vitality to the user from its surroundings, granting the user unnatural new abilities.","Eine geheimnisvolle Waffe, die ihrer Umgebung Lebenskraft entzieht und ihrem Träger zufügt, sodass er neue übernatürliche Fähigkeiten erlangt."
Steel Greatsword,Stählernes Großschwert
A standard issue longsword using the same design for the last Millenium used by Imperial armies.,"Ein Langschwert, das seit dem letzten Jahrtausend in kaiserlichen Armeen zur Standardausstattung gehört."
Giant's Thresher,Drescher des Riesen
A lost race of Giants occupy the extreme Western edges of the known world. Some of their tools have made it to human lands.,Ein untergegangenes Riesenvolk besetzt die westlichen Enden der uns bekannten Welt. Einige ihrer Werkzeuge haben es bis in die Ländereien der Menschen geschafft.
Kesh's Daikatana,Keshs Daikatana
"A unique, elegant longsword designed by the ""Slayer of Genbu"", the late Master Kesh.","Ein einzigartiges, elegantes Langschwert, das vom „Schlächter von Genbu“, dem verstorbenen Meister Kesh, entworfen wurde."
Dragonslayer,Drachentöter
"A longsword bearing an enchantment derived from the blood of Adorimetra, Mother of Dragons. ","Ein Langschwert, dem eine Verzauberung innewohnt, die dem Blut der Drachenmutter Adorimetra entstammt. "
Balmung,Balmung
"The divine blade of Saint Ishtar, Nephilim Avatar of Sacrifice.","Die heilige Klinge der heiligen Ishtar, der Nephilim-Inkarnation der Aufopferung."
Sayunaari War Pike,Sayunaarer Kriegspike
A tried and true staple of the venerated Sayunaari defense forces.,Die erprobte und treue Ausstattung der geschätzten Verteidigungstruppen Sayunaas.
Crystal Lance,Kristalllanze
A relic of the Donari Temple designed to counter dark magic.,"Ein Relikt des Donari-Tempels, das entworfen wurde, um schwarzer Magie zu begegnen."
Fang of Duros,Duros’ Reißzahn
"A weapon built around a fang recovered from the legendary Black Dragon, Duros.","Eine Waffe, deren Basis ein Reißzahn ist, der dem legendären schwarzen Drachen Duros entrissen wurde. 
"
Eskandar's Karambit,Eskandars Karambit
"A platina-plated specialized dagger wielded by the Great Chieftain of the Barek Tor, Eskandar.","Ein platinbesetzter Spezialdolch, der von Eskandar, dem Großen Häuptling der Barek Tor, geführt wurde."
Obsidian Edge,Obsidianschneide
A one-of-a-kind assassin's knife thought to be an ancient tool used by one of the founding members of the Tidereaver Pirates.,"Ein einmaliges Assassinenmesser, das angeblich vor langer Zeit einem der Gründer der Gezeitenräuber-Piraten als Werkzeug diente."
Zero Point Blade,Nullpunktklinge
The ancient Skyborn Dominion developed these as a sidearm for its warrior elite.,Das uralte Himmelsstamm-Gebiet entwickelte diese Klinge als Seitenwaffe für seine Kriegerelite.
Acolyte's Mace,Akolythen-Streitkolben
Standard-issue enchanted mace given to Temple Acolyte warriors.,Diesen verzauberten Standardstreitkolben erhalten die Akolythenkrieger des Tempels.
Crusader's Mace,Kreuzritter-Streitkolben
A massive weapon plated with obsidian wielded by the elite Donari Paladin order.,"Eine gewaltige mit Obsidian überzogene Waffe, die von den Elitepaladinen des Donariordens geführt wird."
Refuge,Refugium
A blessed hammer granting troops enhanced healing powers.,"Ein geweihter Hammer, der Truppen verbesserte Heilkräfte gewährt."
Guerilla Bow,Guerillabogen
A war-worn weapon proven to be highly accurate.,"Eine in vielen Kriegen erprobte Waffe, die sich als äußerst präzise erwiesen hat."
Trueshot Bow,Bravourbogen
"A magically-crafted bow, designed to give its arrows incredible accuracy.","Ein magisch gefertigter Bogen, der entworfen wurde, um seinen Pfeilen unglaubliche Präzision zu verleihen."
Ataraxia,Ataraxis
"Millenia-old bow wielded by Lorelai, slayer of Duros, King of Dragons.","Ein Jahrtausende alter Bogen, der von Lorelai, Schlächterin des Drachenkönig Duros, geführt wurde."
Heartseeker,Herzsucher
A bow enchanted with unknown dark energies whose arrows are extremely deadly.,"Ein Bogen mit extrem tödlichen Pfeilen, der mit unbekannten dunklen Energien verzaubert wurde."
Obsidian Arquebus,Obsidianarkebuse
"Specialized firearm developed from the exotic material, obsidian.","Eine spezielle Feuerwaffe, die aus dem fremdartigen Material Obsidian entwickelt wurde."
Donari Staff,Donari-Stab
Standard issue enchanted staff wielded by the Sisterhood of Mercy.,Dieser verzauberte Stab gehört zur Standardausstattung der Schwesternschaft der Gnade.
Blood Staff,Blutstab
A weapon that draws upon the wielder's own life force to grant them incredible magic power.,"Eine Waffe, die die Lebenskraft ihres Trägers nutzt, um ihm unfassbare Zauberkräfte zu gewähren."
Apprentice Spellbook,Lehrlingszauberbuch
Standard issue magical guidebook wielded by Imperial Academy war mages.,Dieses magische Zauberbuch gehört zur Standardausstattung der Kriegsmagier der kaiserlichen Akademie.
Grandmaster Spellbook,Großmeister-Zauberbuch
Decades of study allows a war mage to understand the powerful techniques within this book.,"Jahrzehnte der Studien ermöglichen es einem Kriegsmagier, die mächtigen Techniken in diesem Buch zu begreifen."
Auraweave Cloak,Auragewebe-Umhang
"An exsquisite cloak made from Auraweave, silk imbued with magic.",Ein exquisiter Umhang aus Auragewebe – eine von Magie erfüllte Seide.
Cyrene's Regalia,Cyrenes Montur
The divinely-enchanted uniform of the Avatar of Compassion.,Die göttlich verzauberte Uniform der Inkarnation der Barmherzigkeit.
Sergeant's Uniform,Unteroffiziersuniform
Imperial Academy officer's uniform.,Die Uniform des Unteroffiziers der kaiserlichen Akademie.
Officer's Regalia,Offiziersmontur
Higher echelons of Imperial military officers are granted this familiar uniform.,Hochrangige Offiziere der kaiserlichen Armee werden mit dieser bekannten Uniform ausgestattet.
Scout's Gear,Späherausrüstung
Standard issue Imperial Light Infantry battle gear.,Die gewöhnliche Kampfausrüstung der kaiserlichen leichten Infanterie.
Guerilla Armor,Guerillarüstung
"Rugged leather armor of an ancient Barek Tor design, optimal for jungle combat.",Eine grobe Lederrüstung der uralten Barek-Tor-Machart. Optimal für Kämpfe im Dschungel.
Shinobi Gi,Shinobi Gi
The garb of a master of the Caladori Arts allowing the wielder to dodge many incoming attacks.,"Das Gewand eines Meister der Caladori-Künste, das es dem Träger ermöglicht, einer Vielzahl von Angriffen auszuweichen."
Blademaster's Armor,Klingenmeister-Rüstung
Mastercraft lamellar-plated armor from the new extinct Caladori civilization that occupied what is now known as Western Sayunaa.,"Ein meisterhafter Lamellenpanzer der vor Kurzem untergegangenen Caladori-Zivilisation, die im Gebiet lebte, das jetzt als West-Sayunaa bekannt ist."
Landis's Mirage,Landis’ Trugbild
"Divine cloak of the master of Guile, Saint Landis.","Der himmlische Umhang des heiligen Landis, Meister der List."
Steel Plate Armor,Stahlplattenrüstung
Standard issue Imperial Heavy Infantry battle gear.,Die gewöhnliche Kampfausrüstung der kaiserlichen schweren Infanterie.
Donari Armor,Donari-Rüstung
Battle armor worn by the order of Donari Paladins for centuries.,"Eine Kampfrüstung, die bereits seit Jahrhunderten von den Paladinen des Donari-Ordens getragen wird."
Dragonscale Armor,Drachenschuppenrüstung
A steel full-plate battle armor adorned with the armored scales of a defeated dragon. ,"Eine stählerne Kampfrüstung, die mit den Schuppen eines bezwungenen Drachen verziert wurde. "
Imperial Battle Armor,Kaiserliche Kampfrüstung
Modern design of steel heavy armor worn by elite Veridian warriors. ,"Eine schwere Stahlrüstung moderner Machart, die von veridianischen Elitekriegern getragen wird. "
Obsidian Plate Armor,Obsidianplattenrüstung
"Full plate armor made from obsidian. Cumbersome, but offers incredible protection.","Eine Rüstung, die komplett aus Obsidianplatten gefertigt wurde. Schwerfällig, bietet aber exzellenten Schutz."
St. Teresa's Tiara,Tiara der heiligen Teresa
"Tiara of Saint Teresa, one of the great heroes of the events surrounding the succession crisis of the last Veridian Emperor of House Krauser.","Die Tiara der heiligen Teresa, die sich während der Krise um die Thronfolge des letzten veridianischen Kaisers vom Hause Krauser als große Heldin erwies."
Hulking Pavise ,Massige Pavese 
"A recently-created, large wall of steel designed to attempt to deflect the bullets from Firearms.","Eine relativ neuartiger, riesiger Stahlschild, der entworfen wurde, um Kugeln von Feuerwaffen abzulenken."
Aldor's Tower Shield,Altors Turmschild
Massive shield made from obsidian. Was gifted to the Duke of Rimorgue before the times of the Aetherium Crisis.,Ein gewaltiger Schild aus Obsidian. Er wurde dem Herzog von Rimorgue bereits vor der Aitheriumkrise als Geschenk überreicht.
St. Teresa's Bulwark,Schutz der heiligen Teresa
"Shield of Saint Teresa, one of the great heroes of the events surrounding the succession crisis of the last Veridian Emperor of House Krauser.","Der Schild der heiligen Teresa, die sich während der Krise um die Thronfolge des letzten veridianischen Kaisers vom Hause Krauser als große Heldin erwies."
Skull of Rowdain,Schädel von Rodain
"Long thought forgotten, this millennia-old artifact bears the latent energy of a powerful necromancer who once terrorized Tahnra.","Dieses uralte Artefakt hielt man lange für verschollen. Ihm wohnt die schlummernde Energie eines mächtigen Nekromanten inne, der einst Tahnra terrorisierte."
Puffin Feather Amulet,Papageientaucher-Amulett
"Amulet made from the venerated Puffin, a mainstay of Tahnra's fauna.","Ein Amulett aus den Federn des verehrten Papageientauchers, das ikonische Geschöpf der Fauna Tahnras."
Ruby Ring,Rubinring
Ring with a simple strength enchantment.,Ein Ring mit einer einfachen Stärkeverzauberung.
Emerald Ring,Smaragdring
Ring with a simple skill enchantment.,Ein Ring mit einer einfachen Fertigkeitenverzauberung.
Sapphire Ring,Saphirring
Ring with a simple magic enchantment.,Ein Ring mit einer einfachen Magieverzauberung.
Ribbon,Schleife
Several of these were created by an eccentric wizard. They protect the wearer from the binding effects of the Siren and the Sorceress's magic.,Ein exzentrischer Zauber erschuf mehrere davon. Sie schützen den Träger vor den fesselnden Effekten von Sirenen und der Magie der Zauberin.
Kesh's Toolkit,Keshs Werkzeuge
The Barek Tor War Chieftain Eskandar's special grappling hook crafted for him personally by Grandmaster Kesh.,"Dem Kriegshäuptling der Barek Tor, Eskandar, wurde dieser Greifhaken von Großmeister Kesh persönlich gefertigt."
Noisy Cricket,Laute Grille
The sound given off by these extraordinary creatures is indescribably irritating...,"Das Geräusch, das diese außergewöhnlichen Kreaturen produzieren, ist unfassbar nervig …"
Boots of Tyranny,Stiefel der Tyrannei
"Enchanted boots that drains the spirit of the user, while granting them incredible stamina.","Verzauberte Stiefel, die den Geist des Trägers aufzehren und ihm dabei unvorstellbare Ausdauer verleihen."
Imperial War Banner,Kaiserliches Kriegsbanner
"The Imperial blue flag adorned with the likeness of Adorimetra, Queen of the Golden Dragon Brood, is known the world over.","Die kaiserliche blaue Fahne, verziert mit dem Konterfei von Adorimetra, Königin der Goldenen Drachenbrut, ist weltweit bekannt."
Everlasting Potion,Immerwährender Trank
A treasure of unknown origin. Highly sought after for its incredible ability to replenish itself over some time.,"Ein Schatz unbekannter Herkunft. Er ist wegen seiner unvorstellbaren Fähigkeit, sich selbst allmählich wiederaufzufüllen, heiß begehrt."
Jade Figurine,Jadefigur
"Find one of these, and the fortunes of war will turn to your favor.","Wenn du eine dieser Figuren findest, wird sich das Kriegsglück zu deinen Gunsten wenden."
Iblis Family Signet,Siegel der Familie Iblis
"The Iblis family has a legendary history and a far-reaching impact on Tahnra, having offered the world many great warriors of days past.","Die Familie Iblis verfügt über eine sagenhafte Geschichte und weitreichenden Einfluss auf Tahnra, da sie der Welt bereits so viele große Krieger schenkte."
Donar's Treatise of War,Donars Kriegstraktat
One of the few ancient divine documents written in Common Veridian that all may understand its secrets.,"Eines der wenigen uralten Dokumente, das in einfachem Veridianisch verfasst wurde, damit jeder seine Geheimnisse verstehen kann."
Soha's Blood Shard,Sohas Blutsplitter
Fragment of a mysterious crystal shard of unfathomable power. No one has possessed it and lived.,Ein Bruchstück eines geheimnisvollen Kristallsplitters mit unergründlicher Macht. Keiner seiner Besitzer hat lang überlebt.
Landis's Fixed Dice,Landis’ gezinkter Würfel
"The Divine Avatar of Justice created his own luck at every turn, though it earned him a suspicious reputation.","Die himmlische Inkarnation des Rechts nahm in jeder Runde ihr Glück in die eigenen Hände, auch wenn ihr das einen zweifelhaften Ruf einbrachte."
Genbu Shell Fragment,Genbu-Panzerstück
"A lone turtle, who inadvertedly consumed a piece of an Aetherium Shard, was transformed into a massive and powerful beast known today as Genbu. The pieces of his shell are priceless.","Eine einsame Schildkröte, die versehentlich ein Stück eines Aitheriumsplitters verzehrte, wurde in die gewaltige Bestie Genbu verwandelt. Die Stücke ihres Panzers sind unbezahlbar."
Temporal Modulator,Zeitenregler
