ENGLISH,GERMAN
"Let us raise a glass, to my friend, \n[8]!",Stoßen wir auf \n[8] an!
"Bet you all thought, \n[5] wouldn't make it this far, now ready to lead \n[27] first squad into battle. But I knew better!","Ihr hättet sicher alle nicht gedacht, dass \n[8] es so weit schafft und demnächst einen eigenen Trupp in die Schlacht führt. Aber ich wusste es!"
"Not in the celebrating mood, \n[8]?","Ist Euch nicht zum Feiern zumute, \n[8]?"
There's a lot on the line... the Empress's life is in our hands.,Es steht viel auf dem Spiel … Das Leben der Kaiserin liegt in unseren Händen.
I'm not worried. I doubt these guys can keep up with you.,"Ich mache mir da keine Sorgen. Ich glaube nicht, dass diese Leute mit Euch mithalten können."
...It helps having a one man army in our midst.,"… Ich habe den Vorteil, eine Ein-Mann-Armee dabei zu haben."
I'm just a man. We've got the gods on our side.,Ich bin doch nur ein ganz normaler Kerl. Aber die Götter sind auf unserer Seite.
"I'm going to trust in my soldiers, not some idea. Don't tell me you believe in those fairy tales now?","Ich vertraue auf meine Soldaten, nicht irgendwelche Überzeugungen. Sagt mir nicht, dass Ihr diese Märchen mittlerweile glaubt?"
"Don't underestimate the power of ideas. Look at how this empire's starting to forget the ideas that built it.\! With a proper leader, people would again feel a part of something. There would be no generals going rogue...","Unterschätzt die Macht von Überzeugungen nicht. Seht nur, wie dieses Kaiserreich allmählich die Überzeugungen vergisst, die es erbaut haben.\! Die Leute verstehen sich nicht mehr als Teil eines Ganzen. Sonst würden auch keine Generäle desertieren …"
"We've come a long way since the Academy, but now we face the real thing. Come, \n[8], let's brush up a bit.","Wir haben seit der Zeit auf der Akademie viel dazugelernt, aber jetzt wird es ernst. Kommt, \n[8], frischen wir unser Gedächtnis etwas auf."
"\c[1]Imperial Army Encampment, Eastwall Province\|\|\|\|\|\^","\c[1]Feldlager der kaiserlichen Armee, Provinz Ostwall\|\|\|\|\|\^"
