"Rest in peace, Kuroda.","Ruhe in Frieden, Kuroda."
"That makes 18 souls you've asked me to send to the void. Is your bloodlust sated yet, or do you have a 19th for me?!","Das sind jetzt 18 Seelen, die Ihr mich gebeten habt, ins Nichts zu schicken. Ist Euer Blutrausch schon gestillt oder habt Ihr noch eine 19. für mich?!"
"Stay your weapons, Razehl. I surely wouldn't want to cross blades with the likes of you!","Lasst Eure Waffen stecken, Razehl. Mit Leuten wie Euch möchte ich sicher nicht die Klingen kreuzen!"
"That man you just defeated... Kuroda, they called him. Well, little do these people know. His name was something else entirely.\! But that is no matter to you or I anymore, is it?","Der Mann, den Ihr gerade besiegt habt … Kuroda, so nannten sie ihn. Nun, das wussten diese Leute nicht. Sein Name war ein ganz anderer.\! Aber das ist für Euch und mich nicht mehr von Belang, nicht wahr?"
"I am in no mood for riddles. If you have business with me, out with it, old man.","Ich bin nicht in der Stimmung für Rätsel. Wenn Ihr etwas mit mir zu tun habt, dann raus mit der Sprache, alter Mann."
"I've been watching you, Razehl. I have a keen eye for true talent. And it would seem, you've proven me right.\! I've paid off these men, who have kept you as some...\| toy. Some implement of their puerile amusement.\! No, henceforth, you will be who you were made to be. The title of Kuroda... this title has spanned generations. An instrument of death. Kingmaker, and godslayer!\! That title is now yours. As so too are its many, many rewards - I'll see to that.","Ich habe Euch beobachtet, Razehl. Ich habe ein scharfes Auge für wahre Talente. Und wie es scheint, habt Ihr mir Recht gegeben.\! Ich habe diese Männer bestochen, die Euch als eine Art …\| Spielzeug gehalten haben. Ein Werkzeug für ihr kindisches Vergnügen. \! Nein, von nun an werdet Ihr das sein, wozu Ihr geschaffen wurden. Der Titel Kuroda … dieser Titel hat Generationen überdauert. Ein Instrument des Todes. Königsmacher und Göttertöter!\! Dieser Titel gehört jetzt Euch. Und damit auch seine vielen, vielen Belohnungen – dafür werde ich sorgen."
...And you expect me to do as you ask now?,"… Und Ihr erwartet, dass ich jetzt tue, was Ihr verlangt?"
"You will. Not because it is my wish, but because it is yours. I know your heart, young Kuroda. Boiling, brimming with a desire for justice.\! Against the men who took your parents from you... took your future away, and any chance at peace.\! Together, we will cut them down, Kuroda. You need but trust me, little by little, as I lead you ultimately to their timely demise.","Das werdet Ihr. Nicht, weil es mein Wunsch ist, sondern weil es Euer ist. Ich kenne Euer Herz, junger Kuroda. Es kocht und ist voll von dem Wunsch nach Gerechtigkeit \!. Gegen die Männer, die Euch Eure Eltern weggenommen haben … die Euch Eure Zukunft und jede Chance auf Frieden genommen haben.\! Gemeinsam werden wir sie vernichten, Kuroda. Ihr müsst mir nur vertrauen, dass ich Euch nach und nach zu ihrem zeitigen Ende führe."
You're right.,Ihr habt Recht.
Direct my blade. May the dogs calling for war never breathe again...,"Lenkt meine Klinge. Mögen die Hunde, die nach Krieg rufen, nie wieder atmen …"
"All in due time. The great lords of Ezrum, Calador, Reza, and Qurmad, and the Regent Lord of Sayunaari Palace must die.\! It is no concern of the Sayunaari people, for I have suitable replacements for all, ready to fill the void.\! Rest assured, I will see to it that they no longer act rashly, or for self-interest, but rather for the betterment of your people. Stability, and peace, at long last.","Alles zu seiner Zeit. Die großen Fürsten von Ezrum, Calador, Reza und Qurmad sowie der regierende Herr des Sayunaarer Palastes müssen sterben.\! Das ist für das Volk von Sayunaa nicht von Belang, denn ich habe für alle geeignete Nachfolger, die bereit sind, die Lücke zu füllen.\! Seid versichert, dass ich dafür sorgen werde, dass sie nicht mehr unüberlegt oder aus Eigennutz handeln, sondern zum Wohle Ihres Volkes. Stabilität und Frieden, endlich."
