"\c[1]The Avatar of Donar's army is victorious today. The catastrophe has been avoided, the brood continuity of my kin is protected.","\c[1]Die Inkarnation von Donars Armee ist heute siegreich. Die Katastrophe wurde abgewendet, der Fortbestand der Brut meinesgleichen ist gesichert."
"Those boys were no joke. I've never seen the Archaelus armies fight with such fervor. What gives, dragon?","Mit diesen Jungs war nicht zu spaßen. Ich habe die Armeen von Archaelus noch nie mit solcher Inbrunst kämpfen sehen. Was ist los, Drache?"
"\c[1]Brief is the timeline of a human's life. Not brief is mine. Also not brief is the timeline of the forces arrayed against the Avatar of Donar.\! Ageless, is the dark one. The one not of the essence of Tahnra's creation.","\c[1]Kurz ist die Zeitlinie eines Menschenlebens. Nicht kurz ist meine. Nicht kurz ist auch die Zeitlinie der Mächte, die sich gegen die Inkarnation von Donar verbünden.\! Der Dunkle ist alterslos. Derjenige, der nicht zur Essenz von Tahnras Schöpfung gehört."
Zanatus.,Zanatus.
"\c[1]The one not of Tahnra bears an understanding beyond that which is possible within one mere timeline of the human.\! This empire named Archaelus, this army named Nephilim Army. Brief contrivances these are, to the dark one.\! To him, the mission is one that spans millennia. As long as his life. As my life.","\c[1]Derjenige, der nicht zu Tahnra gehört, verfügt über ein Verständnis, das über das hinausgeht, was in der bloßen Zeitlinie des Menschen möglich ist.\! Dieses Kaiserreich namens Archaelus, diese Armee der Nephilim. Für den Dunklen sind das nur mindere Apparate.\! Seine Mission erstreckt sich über Jahrtausende. So lange wie sein Leben. Wie mein Leben."
"Yeah, I think that's pretty clear at this point. So, what exactly is this mission of his, anyway? The one I keep getting told I couldn't possibly understand?","Ja, ich denke, das ist jetzt ziemlich klar. Also, was genau ist seine Mission überhaupt? Jene, die ich angeblich unmöglich verstehen kann?"
So...,Also …
"Dear Azuros, please trust \n[8] with your wisdom!","Werter Azuros, bitte vertraut \n[8] Eure Weisheit an!"
"\c[1]Adorimetra, the Gold. Mother of all of my kin. Mother of Azuros.\! First born of Donar in all Tahnra. First to awaken, when the god of creation awakened this world.\! Just as the Avatar of Donar stands before Azuros, so too does Azuros live.\! The dark one is not a descendant of Adorimetra. Not a descendant of Donar. An infestation.\! The mission of the human's timeline is to destroy, or to impede Zanatus.\! To destroy his body, and followers, and most crucially, his words. Words he has infused within the language of the mortal beings of Tahnra. Words which will be the undoing of all things.\! Words whose nature lie beyond even the understanding of Azuros...","\c[1]Adorimetra, das Gold. Mutter aller meiner Verwandten. Mutter von Azuros.\! Die Erstgeborene von Donar in ganz Tahnra. Die Erste, die erwachte, als der Gott der Schöpfung diese Welt erweckte.\! So wie die Inkarnation von Donar vor Azuros steht, so lebt auch Azuros.\! Der Dunkle ist kein Nachkomme von Adorimetra. Kein Nachkomme von Donar. Eine Seuche.\! Die Mission der Zeitlinie des Menschen ist es, Zanatus zu zerstören oder zu behindern.\! Seinen Körper, seine Gefolgsleute und vor allem seine Worte zu zerstören. Worte, die er in die Sprache der sterblichen Wesen von Tahnra eingeflößt hat. Worte, die das Verderben aller Dinge sein werden.\! Worte, deren Wesen selbst das Verständnis von Azuros übersteigt …"
"An infestation. Interesting choice of words, Azuros. Everything else has been about some overwhelming power of creation.\! You, me, Abigayle, the magic that brought me back... all living things, all elements of nature, even Casamir, perhaps. But the one outlier is Zanatus.\! Any insight into what exactly he is, then?","Eine Seuche. Interessante Wortwahl, Azuros. Bei allem anderen ging es um eine überwältigende Macht der Schöpfung.\! Ihr, ich, Abigayle, die Magie, die mich zurückgebracht hat … alle Lebewesen, alle Elemente der Natur, sogar Casamir, vielleicht. Aber der einzige Ausreißer ist Zanatus.\! Habt Ihr eine Ahnung, was genau er ist?"
"I'm sorry, \n[8], this is all Dear Azuros knows. I feel a great regret within him. There is very little he doesn't know, thus the nature of Zanatus frustrates him greatly!","Es tut mir leid, \n[8], das ist alles, was der werte Azuros weiß. Ich spüre ein großes Bedauern in ihm. Es gibt nur sehr wenig, was er nicht weiß, und das Wesen von Zanatus frustriert ihn sehr!"
\c[1]Abigayle.,\c[1]Abigayle.
"Yes, Dear Azuros?","Ja, werter Azuros?"
"\c[1]The one named ""Nibbler"" has found counsel in me. He cares for Abigayle greatly. The young dragon's request will be fulfilled.\! In times ancient, there was one called ""Queen of Dragons"". This title will now return to Tahnra.\! Queen of Dragons Abigayle. The power of dragonkind is now yours to wield.","\c[1]Derjenige, der „Knabber“ genannt wird, hat in mir einen Ratgeber gefunden. Er sorgt sich sehr um Abigayle. Die Bitte des jungen Drachens wird erfüllt werden.\! In alten Zeiten gab es eine, die „Drachenkönigin“ genannt wurde. Dieser Titel wird nun an Tahnra zurückgegeben.\! Drachenkönigin Abigayle. Die Macht des Drachengeschlechts steht Euch nun zur Verfügung."
Queen of Dragons...?,Drachenkönigin …?
"It's a little on the nose if you ask me, but hey, might as well make it official.","Das ist ein bisschen hochtrabend, wenn man mich fragt, aber hey, wir können es ja auch offiziell machen."
"\c[1]Abigayle can now become the ""Queen of Dragons"" unit, an incredibly powerful new type of Dragon Rider. Access this new class in the Class Change menu.","\c[1]Abigayle kann jetzt die Einheit „Drachenkönigin“ werden, ein unglaublich mächtiger neuer Typ von Drachenreiter. Diese neue Klasse ist im Klassenänderungsmenü verfügbar."
