New Game,Neues Spiel
Load QuickSave,Schnellspeicherstand laden
Load Game,Spiel laden
Options,Optionen
Join Discord,Discord beitreten
Shutdown,Beenden
Deploy,Ausrücken
Organize Army,Armee bearbeiten
Tech Tree,Technologiebaum
Marketplace,Marktplatz
Tutorials and Info,Tutorials und Infos
Supports,Treffpunkt
Arena,Arena
Arena/Extras,Arena/Extras
System,System
Bronze Arena,Arena (Bronze)
Silver Arena,Arena (Silber)
Gold Arena,Arena (Gold)
Platinum Arena,Arena (Platin)
Save Game,Spiel speichern
Reload,Neu laden
To Title,Titelbildschirm
Main Volume,Lautstärke (gesamt)
Music Volume,Lautstärke (Musik)
SFX Volume,Lautstärke (Effekte)
Voice Volume,Lautstärke (Stimmen)
Tutorials,Tutorials
Instant Text,Schneller Text
Mouse,Maus
Tactical Grid,Strategisches Raster
Permadeath,Endgültiger Tod
Animation Speed,Animationstempo
Show Combats,Kämpfe zeigen
Screen Size,Anzeigemodus
Restore Defaults,Auf Standard zurücksetzen
Return to Game,Zurück zum Spiel
Exit Game/Return to Title,Spiel verlassen/Titelbildschirm
Yes,Ja
No,Nein
Exit Game,Spiel verlassen
Cancel,Abbrechen
Squad Operations,Trupp verwalten
Disband Squad,Trupp auflösen
Form New Squad,Neuen Trupp bilden
Reorder Squads,Trupps umsortieren
Unit Status,Einheitenstatus
Use Item,Gegenstand verwenden
Change Class,Klasse ändern
Dismiss Unit,Einheit entlassen
Exit,Verlassen
Recruit,Rekrutieren
Trader,Händler
Sell Items,Gegenstände verkaufen
Exchange,Warenbörse
Relationships,Beziehungen
Conversations,Gespräche
Archives,Archiv
Begin Mission,Mission beginnen
Mission Info,Missionsinfo
Organize,Bearbeiten
Retreat,Rückzug
Squad Status,Truppstatus
Remove Squad,Trupp entfernen
Replace Squad,Trupp ersetzen
Edit Squad,Trupp bearbeiten
Wait,Warten
Treasure,Schatz
Status,Status
End Turn,Runde beenden
Squad List,Truppliste
Hover Paths Disabled,Mouseover-Vorschau deaktiviert
Powers,Kräfte
Tutorial,Tutorial
Showing: Hover Only,Anzeige: Nur bei Mouseover
Language,Sprache
Move Unit,Einheit bewegen
Add Unit,Einheit hinzufügen
Remove Unit,Einheit entfernen
Artifacts,Artefakte
Clear Squad,Trupp zurücksetzen
Continue Main Story,Haupthandlung fortsetzen
Gaiden Chapter A: Unrelenting Ambition,"Gaiden, Kapitel A: Unablässiges Streben"
Gaiden Chapter B: Dragon's Haven,"Gaiden, Kapitel B: Drachenzuflucht"
Gaiden Chapter C: No Mercy for the Merciful,"Gaiden, Kapitel C: Keine Gnade für die Gnädigen"
Gaiden Chapter D: Clockwork City,"Gaiden, Kapitel D: Uhrwerkstadt"
Gaiden Chapter E: Ishtar's Lament,"Gaiden, Kapitel E: Ishtars Klage"
QuickSave,Schnellspeichern
QuickLoad,Schnellladen
Load,Laden
Redo Turn,Runde neu beginnen
Restart,Neustart
Exit Game/Title,Spiel verlassen/Titelbildschirm
Meteor,Meteor
Teleport,Teleportation
Exemplar,Glaubensritter
Terror,Schrecken
Blessing,Segen
Showing: Enemy Move,Anzeige: Gegnerische Bewegung
Showing: Ambush Tiles,Anzeige: Hinterhaltsfelder
Showing: Charge Tiles,Anzeige: Sturmangriffsfelder
Attack,Angriff
\M[tactic_normal.png]Normal Attack,\M[tactic_normal.png]Normaler Angriff
\M[tactic_forcesurrender.png]Force Surrender,\M[tactic_forcesurrender.png]Kapitulation erzwing.
\M[tactic_leader.png]Target Leader,\M[tactic_leader.png]Anführer anvisieren
\M[tactic_aggressive.png]Aggressive,\M[tactic_aggressive.png]Aggressiv
\M[tactic_cautious.png]Cautious,\M[tactic_cautious.png]Vorsichtig
Heal,Heilen
Heal/Revive,Heilen/Wiederbeleben
Revive,Wiederbeleben
Start Game,Spiel beginnen
Shop,Laden
Refresh Heals,Heilungen zurücksetzen
Move,Bewegen
Seize,Erobern
Activate,Aktivieren
Shuffle,Platz tauschen
Tactics,Taktik
Depart,Abreise
Armory,Arsenal
Demote,Degradieren
Promote,Befördern
Formation,Formation
All,Alles
Rename,Umbenennen
Title Screen,Titelbildschirm
Bronze,Bronze
Silver,Silber
Gold,Gold
Platinum,Platin
Requires:,Erfordert:
Rename Scroll,Namensschriftrolle
Resources Used:,Verwendete Ressourcen:
Form Squad,Trupp bilden
Enable Tutorials,Tutorials aktivieren
"Enable ""Permadeath""",Endgültigen Tod aktivieren
Skip All,Alle überspringen
Return to Base,Zurück zur Basis
Restart Mission,Mission neu starten
Load Save,Speicherstand laden
Return to Title,Titelbildschirm
Save/Load,Speichern/Laden
Select Squads,Trupps auswählen
Dismiss,Entlassen
Skip Chapter,Kapitel überspringen
Classic Portraits,Klassische Porträts
High-Res Font,Hochauflösende Schrift
Map Sprite,Karten-Sprite
Legends Chapters,Legenden-Kapitel
