ENGLISH,GERMAN
Iron Mine,Eisenmine
Gold Mine,Goldmine
Gems Mine,Edelsteinmine
Sunstone Mine,Sonnensteinmine
Obsidian Mine,Obsidianmine
Fort,Festung
Stables,Stall
Donari Temple,Donari-Tempel
Kallenberg,Kallenberg
Edennes,Edennes
Grodaal,Grodaal
Eastwall,Ostwall
Marrenburg Castle,Marrenburg
Maubonne,Maubonne
Marche,Marche
Centurion's Rest Compound,Zenturios Rast – Anlage
Enmar,Enmar
Lothingen,Lothen
Centurion's Rest,Zenturios Rast
Granheim Abbey,Abtei Granheim
Granheim Temple,Tempel Granheim
Lycia,Lycia
Fort Naxos,Fort Naxos
Hartbridge,Hartbrück
Conlingen,Conlingen
Donari Flagship,Donari-Flaggschiff
Donari Ship,Donari-Schiff
Tidereaver Ship,Schiff der Gezeitenräuber
Tidereaver Flagship,Flaggschiff der Gezeitenräuber
Lemelin Monastery,Lemelin-Kloster
Greyden Slave Complex,Sklavenlager Grauden
Moorsen,Moorsen
Auberlund,Auberlund
Port Herald,Heroldshaven
Westerfield Fortress,Festung Westerfeld
Lemelin Fortress,Festung Lemelin
Isanter Palace,Palast von Isanter
Kusloda,Kusloda
Teutoberg,Teutoberg
Trucea,Trucea
Innsbruck,Innsbruck
Osterbach,Osterbach
Fort Findorian,Fort Findorian
Balcross,Balkreuz
Fort Eureeka,Fort Eureeka
Miletos,Miletos
Casamir's Base,Casamirs Basis
Rimorgue,Rimorgue
Melmonde,Melmonde
Kalletos,Kalletos
Mytimia,Mytimia
Lucia,Lucia
Stormrook,Sturmbroch
Westerfield,Westerfeld
Imperial Sally Port,Kaiserliches Ausfallstor
Tilrode,Tilrode
Signy,Signy
Rittenbach,Rittenbach
Tresilian,Tresilian
Embor,Embor
Eastwall Front Base,Vorposten Ostwall
Eastwall Fortress,Festung Ostwall
Gorinheim,Gorinheim
New Grodaal,Neu-Grodaal
"Felnamia Front Base,",Vorposten Felnamia
"Nikeda,",Nikeda
Midglen,Mitthal
Kritea,Kritea
Blackstone,Schwarzstein
Sandraka Front Base,Vorposten Sandraka
Macbay,Macbay
Crestmoor,Krastenmoor
Greywind Shrine,Grauwindschrein
Greywind Lake,Grauwindsee
Ezrum,Ezrum
Fort Dakur,Fort Dakur
Qurmad,Qurmad
Reza,Reza
Dashun,Dashun
Sayunaa Palace,Palast von Sayunaa
Nephilim Army Base,Basis der Armee der Nephilim
Armitage,Armitage
Red Base,Rote Basis
Blue Base,Blaue Basis
Fort Sairaa,Fort Sairaa
Sidaah,Sidaah
Dragon Egg,Drachenei
Port Jenos,Jenoshaven
Pyrocite Mine,Pyrozitmine
Bazaar,Basar
Vinveil,Vinveil
Neubonne,Neubonne
Diana Front Base,Vorposten Diana
Eberminster,Ebmünster
Nikeda,Nikeda
Nikeda Redoubt,Bastion Nikeda
Herstadt,Herstadt
Felnamia,Felnamia
Veringian,Veringian
Fitch Family Farm,Hof der Fitch-Familie
Trapped Sayunaari,Gefangener Sayunaarer
Embor Palace,Palast von Embor
Helios Master Archive,Helios-Meisterarchiv
Prison escape,Ausbruch
Jidah,Jidah
