ENGLISH,GERMAN
World Lore,Hintergrundgeschichte
Tactics and Strategy,Strategien
Class List,Klassenliste
Terrains,Gelände
Reference Guide,Kompendium
Tutorial,Tutorial
Tahnra,Tahnra
"Our world. Creation of Donar. The first sapient life were the Earthenfey, who populated our world in its primal state. Now, Tahnra houses Humans, Skyborn, Barek Tor, and Demyrians. Our current story takes place entirely in the Human lands, but there is a vast, rich world beyond our borders.","Dies ist unsere Welt. Die Schöpfung Donars. Als erstes intelligentes Leben gab es die Erdwesen, die unsere Welt in ihrem Urzustand bevölkerten. Heute ist Tahnra die Heimat von Menschen, Barek Tor, Demyrianern und dem Volk des Himmelsstamms. Diese Geschichte handelt gänzlich in den Landen der Menschen, doch jenseits unserer Grenzen wartet noch eine große, vielfältige Welt."
Empire of Veridia,Kaiserreich Veridia
"The largest, most powerful entity in Tahnra. Its vast territory boasts the richest lands in the world.\\PARIts weakness is its political instability. The ruler is selected by an elective process involving both the nobility and the Temple. This system recently reached a critical failure state, resulting in the War of Veridian Succession.","Das größte und mächtigste Land Tahnras. Sein weitläufiges Gebiet umfasst den größten Reichtum der Welt.\\PARSein Schwachpunkt ist jedoch seine politische Instabilität. Der Herrscher wird in einem Vorgang gewählt, an dem der Adel und auch der Tempel beteiligt sind. Dieses System brach vor Kurzem zusammen, was zum veridianischen Thronfolgekrieg führte."
The Donari Temple,Der Donari-Tempel
"Founded by the Avatar of Donar, legendary hero. It has existed for the last thousand years; indeed its founding marks the beginning of the current Human calendar widely adopted by all the civilizations of Tahnra. \\PARThe city of Lemelin finds the Lemelin Monastery at its center, the highest Temple facility, which houses its Grandmaster and other Temple leadership.","Gegründet wurde er von der legendären Inkarnation Donars. Es gibt ihn seit tausend Jahren – der von den meisten Völkern Tahnras verwendete menschliche Kalender beginnt sogar mit seiner Gründung.\\PARIm Herzen der Stadt Lemelin liegt das Lemelin-Kloster, das oberste Heiligtum des Tempels, das den Großmeister sowie die restlichen Anführer beherbergt."
War of Veridian Succession,Der veridianische Thronfolgekrieg
"Date: Year 969-972\\PARLocation: Veridia Province, Western Sayunaa\\PARBelligerents: Various noble houses from Veridia and Sayunaa, Central Imperial government\\PARResult: Treaty of Trucea. Compromise between feuding nobles, Florina, descendent of House Iblis of Rimorgue, installed as Empress.\\PARTerritory changes: Though House Iblis made marginal gains to the West and South, all territory returned to pre-war borders following the Treaty of Trucea.\\PARCasualties: 124,000 military deaths, 2,000,000 military and civilians injured or displaced\\PARUndoubtedly the greatest disaster in recent memory, this war spiraled out of control with what began as a minor disagreement about the lineage of various possible successors following the untimely death of the former Emperor.","Zeitraum: Jahr 969–972\\PAROrt: Veridianische Provinz West-Sayunaa\\PARParteien: Diverse Adelshäuser Veridias und Sayunaas sowie die kaiserliche Regierung\\PARErgebnis: Der Vertrag von Trucea. Als Kompromiss zwischen den streitenden Adligen wurde Florina, Nachkommin des Hauses Iblis von Rimorgue, zur Kaiserin ernannt.\\PARGebietsänderungen: Haus Iblis gewann marginal an Territorium im Westen und Süden, ansonsten galten nach dem Vertrag von Trucea wieder die Grenzen zur Zeit vor dem Krieg.\\PARTote: 124.000 getötete Soldaten, 2.000.000 Soldaten und Zivilisten verletzt oder vertrieben\\PARDieser Krieg war zweifelsohne die größte Katastrophe unseres Zeitalters. Er begann als Zwist bezüglich der Abstammung diverser möglicher Thronfolger nach dem vorzeitigen Tod des Kaisers und geriet außer Kontrolle."
Kingdom of Sayunaa,Königreich Sayunaa
"This nation spans a sizeable territory in the hot, arid center of the mainland and is surrounded on all sides by treacherous mountains and desert.\\PARSuspicious of outsiders. Boasts a massive reserve of mineral wealth that fuels Sayunaa's power.","Dieses Land umfasst ein Gebiet beträchtlicher Größe im heißen, trockenen Inneren des Kontinents. Es ist auf allen Seiten von schwer passierbaren Gebirgen und Wüsten umgeben.\\PARFremden gegenüber ist man dort argwöhnisch. Es verfügt über einen großen Vorrat an Mineralien, der ihm zu Macht verhilft."
General Antares,General Antares
"Race: Veridian Human\\PARBirthplace: Armitage\\PARHeight: 6'0''\\PARWeight: 198 lbs\\PARBirth year: 948\\PARGeneral during the War of Veridian Succession, and leader of a Rebellion of his own creation in protest of government overreach.","Volk: Mensch (Veridianer)\\PARGeburtsort: Armitage\\PARGröße: 1,83 m\\PARGewicht: 90 kg\\PARGeburtsjahr: 948\\PAREr war ein General während des veridianischen Thronfolgekriegs sowie Anführer der Rebellion, die er als Protest gegen die Gängelung durch die Regierung gegründet hatte."
Squads,Trupps
"Your Army is organized into Squads. Squads are comprised of between 1 and 9 units, with one of them serving as the Squad Leader.\\PARSquad Capacity, the ability to include more units and artifacts, is determined by the LDR stat of the Squad Leader.\\PARSquad unit composition determines Squad Type, which affects movement and combat.\\PARUse the 'Organize' command in Home Base and Deployment phases to create, disband, and edit your Squads. You are also able to change class, equipment, traits, and assign Squad Leader.","Deine Armee ist in Trupps aufgeteilt. Trupps bestehen aus 1–9 Einheiten, von denen eine der Anführer des Trupps ist.\\PARDie Kapazität des Trupps bestimmt, ob du weitere Einheiten und Artefakte hinzufügen kannst, und hängt vom FÜH-Wert des Anführers ab.\\PARDie Einheitenzusammensetzung des Trupps bestimmt seinen Typ, von dem wiederum die Bewegung und Kampfart abhängt.\\PARVerwende „Bearbeiten“ in der Heimatbasis und beim Ausrücken, um Trupps zu bilden, aufzulösen, und zu bearbeiten. Außerdem kannst du Klassen, Ausrüstung und Eigenschaften ändern sowie den Anführer zuweisen."
Moving and Attacking,Bewegung und Angriff
