"Imperial Army Camp, Year 997","Lager der kaiserlichen Armee, Jahr 997"
Chapter 1: Rebellion,Kapitel 1: Rebellion
Engage with the forces of the Antares Rebellion and seize Eastwall Fortress for the Imperial Army.,Kämpft gegen die Streitkräfte von Antares’ Rebellion und erobert die Festung Ostwall für die kaiserliche Armee.
"Eastwall Fortress, Year 997","Festung Ostwall, Jahr 997"
Chapter 2: For Whose Sake?,Kapitel 2: Warum das alles?
Antares has fled with Empress Florina to the deep forest. Pursue his army and approach the main rebel hideout at Centurion's Rest.,Antares ist mit Kaiserin Florina tief in den Wald geflüchtet. Verfolgt seine Armee und nähert Euch dem Rebellenunterschlupf in Zenturios Rast.
"Centurion's Rest, Year 997","Zenturios Rast, Jahr 997"
Chapter 3: Crimson Star,Kapitel 3: Blutroter Stern
Antares is trapped in Centurion's Rest. Fight alongside the Imperial Army to besiege Centurion's Rest and destroy the rebellion.,"Antares sitzt in Zenturios Rast in der Falle. Kämpft an der Seite der kaiserlichen Armee, belagert Zenturios Rast und vernichtet die Rebellen."
"Secret Prison near Granheim, Year 997","Geheimgefängnis in der Nähe von Granheim, Jahr 997"
Chapter 4: Paradigm Shift,Kapitel 4: Paradigmenwechsel
"Stefan, master spy of the Donari Temple, must pull off a daring rescue from the clutches of the Followers of Zanatus.","Stefan, Meisterspion des Donari-Tempels, muss vor der Nase der Anhänger Zanatus’ eine gewagte Rettung ausführen."
"Granheim Abbey, Year 997","Abtei Granheim, Jahr 997"
Chapter 5: Divine Hammer of the Donari,Kapitel 5: Göttlicher Hammer der Donari
Chapter 5: Divine Hammer,Kapitel 5: Göttlicher Hammer
"Time to begin the journey to Lemelin Monastery. We will have to fight our way back, every step of the way.","Es ist Zeit, die Reise zum Lemelin-Kloster anzutreten. Wir werden unterwegs einige Schlachten schlagen müssen."
"Fort Naxos, Year 997","Fort Naxos, Jahr 997"
Chapter 6: Journey to Lemelin,Kapitel 6: Reise nach Lemelin
The Tidereaver Pirates have been unleashed upon us. We must hold Fort Naxos against their attack at all costs.,Die Piraten der Gezeitenräuber wurden gegen uns entfesselt. Wir müssen Fort Naxos um jeden Preis halten.
"Port Jenos, Year 997","Jenoshaven, Jahr 997"
Chapter 7: Tidereaver,Kapitel 7: Gezeitenräuber
A massive storm has forced the Tidereaver fleet to chain together and wait. We will capitalize on their weakness.,"Ein enormer Sturm hat die Flotte der Gezeitenräuber gezwungen, an einem Fleck zu warten. Diese Schwäche werden wir ausnutzen."
"Encampment at Greyden Swamp, Year 997","Lager am Sumpf von Grauden, Jahr 997"
Chapter 8: Marooned,Kapitel 8: Gestrandet
"The storm damaged our own ships, forcing us off course. But now, we have the opportunity to annihilate the Tidereaver presence completely.","Der Sturm hat unsere Schiffe beschädigt und uns vom Kurs abgebracht. Doch jetzt haben wir die Gelegenheit, die Gezeitenräuber ein für alle Mal zu vernichten."
"Lemelin Monastery, Year 997","Lemelin-Kloster, Jahr 997"
Chapter 9: Sanctuary,Kapitel 9: Zuflucht
We've reached Lemelin at last. But our enemies are eager to strike at any moment...,"Endlich haben wir Lemelin erreicht. Doch unsere Feinde lauern nur darauf, zuzuschlagen …"
Chapter 10: To War,Kapitel 10: Wir ziehen in den Krieg
"The Veridian Civil War has begun. We find ourselves aligned with the Western forces, in direct opposition to the Prime Minister. We set out now to save Isanter's capital city, and liberate Trucea.","Der veridianische Bürgerkrieg hat begonnen. Wir stehen auf der Seite der Streitkräfte des Westens und sind somit Gegner des Premierministers. Wir rücken jetzt aus, um die Hauptstadt von Isanter zu retten und Trucea zu befreien."
"Trucea, Year 997","Trucea, Jahr 997"
Chapter 11: Deadly Gambit,Kapitel 11: Tödliches Spiel
