ENGLISH,SPANISH
Steel Arming Sword,Espada de acero
A standard issue sword using the same design for the last Millenium used by Imperial armies.,Espada de uso común cuyo diseño se ha mantenido en el último siglo. La usan los ejércitos imperiales.
Elegant Blade,Espada elegante
"An exsquisitely-crafted ceremonial tuck, made for Veridian Emperor Krauser XIII. ",Elegante arma ceremonial que se forjó para el emperador veridiano Krauser XIII. 
Flame Saber,Sable ígneo
A sword bearing a flame enchantment from the depths of Mount Karnac.,Espada que alberga magia de fuego de lo profundo del monte Karnac.
Steelshatter,Rompeacero
An ancient blade made from a forgotten material designed to penetrate armor. ,Espada ancestral hecha de un material misterioso que puede cortar cualquier armadura.
Excalibur,Excálibur
"A holy blade designed by the Donari Temple centuries ago to be a likeness of Lightfury. While not infused with Donar's divine power, the sword bears extraordinary magical enchantments.","Espada sagrada forjada por los Templarios de Donar hace siglos a imagen y semejanza de Furialuz. Aunque no alberga el poder divino de Donar, cuenta con un extraordinario poder mágico."
Sin Credo,Sin Credo
"A mysterious weapon that draws vitality to the user from its surroundings, granting the user unnatural new abilities.","Arma misteriosa que transmite vitalidad a su portador del entorno y otorga nuevas habilidades sobrenaturales."
Steel Greatsword,Mandoble de acero
A standard issue longsword using the same design for the last Millenium used by Imperial armies.,Espadón de uso común cuyo diseño se mantuvo en el último siglo. La usan los ejércitos imperiales.
Giant's Thresher,Cortagigantes
A lost race of Giants occupy the extreme Western edges of the known world. Some of their tools have made it to human lands.,Una raza olvidada de gigantes ocupa los límites occidentales del mundo conocido. Varias de sus herramientas llegaron a manos humanas.
Kesh's Daikatana,Daikatana de Kesh
"A unique, elegant longsword designed by the ""Slayer of Genbu"", the late Master Kesh.","Espadón único y elegante diseñado por el «asesino de Genbu», el difunto maestro Kesh."
Dragonslayer,Matadragones
"A longsword bearing an enchantment derived from the blood of Adorimetra, Mother of Dragons. ","Espadón que alberga la magia proveniente de la sangre de Adorimetra, matriarca de los dragones. "
Balmung,Balmung
"The divine blade of Saint Ishtar, Nephilim Avatar of Sacrifice.","Espada divina del santo Ishtar, el avatar del nefilim del sacrificio."
Sayunaari War Pike,Pica bélica sayunaari
A tried and true staple of the venerated Sayunaari defense forces.,Emblema único y verdadero de los venerados ejércitos de defensa sayunaari.
Crystal Lance,Lanza de cristal
A relic of the Donari Temple designed to counter dark magic.,Reliquia de los Templarios de Donar que puede contrarrestar la magia oscura.
Fang of Duros,Colmillo de Duros
"A weapon built around a fang recovered from the legendary Black Dragon, Duros.","Arma tallada con el colmillo del legendario dragón negro Duros."
Eskandar's Karambit,Karambit de Eskandar
"A platina-plated specialized dagger wielded by the Great Chieftain of the Barek Tor, Eskandar.","Daga especializada de platino que portó Eskandar, el gran líder de los Barek Tor."
Obsidian Edge,Daga de obsidiana
A one-of-a-kind assassin's knife thought to be an ancient tool used by one of the founding members of the Tidereaver Pirates.,Daga de asesino única que supuestamente usaba uno de los fundadores de los Cazamareas.
Zero Point Blade,Daga de punto cero
The ancient Skyborn Dominion developed these as a sidearm for its warrior elite.,El antiguo Dominio Celestial forjó estas dagas como armas secundarias de sus guerreros de élite.
Acolyte's Mace,Maza de acólita
Standard-issue enchanted mace given to Temple Acolyte warriors.,Maza mágica de uso común que se otorga a las acólitas de los Templarios.
Crusader's Mace,Maza de cruzados
A massive weapon plated with obsidian wielded by the elite Donari Paladin order.,Arma enorme forjada en obsidiana que llevaba la orden de paladinas donari de élite.
Refuge,Refugio
A blessed hammer granting troops enhanced healing powers.,Martillo bendito que otorga poderes curativos a las tropas.
Guerilla Bow,Arco de guerrilla
A war-worn weapon proven to be highly accurate.,Arma deteriorada por el uso que resulta muy precisa.
Trueshot Bow,Arco certero
"A magically-crafted bow, designed to give its arrows incredible accuracy.",Arco mágico que otorga precisión increíble a las flechas.
Ataraxia,Ataraxia
"Millenia-old bow wielded by Lorelai, slayer of Duros, King of Dragons.","Arco milenario que portó Lorelai, el guerrero que derrotó a Duros, rey de los dragones."
Heartseeker,Buscacorazones
A bow enchanted with unknown dark energies whose arrows are extremely deadly.,Arco encantado con una energía siniestra cuyas flechas son muy letales.
Obsidian Arquebus,Arcabuz de obsidiana
"Specialized firearm developed from the exotic material, obsidian.","Arma de fuego especializada y fabricada con obsidiana, un material exótico."
Donari Staff,Vara donari
Standard issue enchanted staff wielded by the Sisterhood of Mercy.,Vara encantada de uso común que portaban las Hermanas Misericordes.
Blood Staff,Vara de sangre
A weapon that draws upon the wielder's own life force to grant them incredible magic power.,Arma que se nutre de la fuerza vital de su portador para otorgarle un poder mágico increíble.
Apprentice Spellbook,Grimorio de aprendiz
Standard issue magical guidebook wielded by Imperial Academy war mages.,Libro mágico de uso común que portaban los magos bélicos de la Academia Imperial.
Grandmaster Spellbook,Grimorio de gran maestro
Decades of study allows a war mage to understand the powerful techniques within this book.,Décadas de estudio permiten a un mago bélico entender los conjuros poderosos de este libro.
Auraweave Cloak,Manto de tela áurea
"An exsquisite cloak made from Auraweave, silk imbued with magic.","Manto elegante hecho de tela áurea, un tejido mágico."
Cyrene's Regalia,Atuendo de Cyrene
The divinely-enchanted uniform of the Avatar of Compassion.,Uniforme divino del avatar de la compasión.
Sergeant's Uniform,Uniforme de sargento
Imperial Academy officer's uniform.,Uniforme de oficial de la Academia Imperial.
Officer's Regalia,Atuendo de oficial
Higher echelons of Imperial military officers are granted this familiar uniform.,Uniforme famoso que reciben los oficiales de alto mando del ejército imperial.
Scout's Gear,Equipo de explorador
Standard issue Imperial Light Infantry battle gear.,Equipo de combate de uso común de la infantería imperial ligera.
Guerilla Armor,Armadura de guerrilla
"Rugged leather armor of an ancient Barek Tor design, optimal for jungle combat.",Armadura de cuero resistente con un diseño ancestral de los Barek Tor. Perfecta para luchar en la selva.
Shinobi Gi,Gi de shinobi
The garb of a master of the Caladori Arts allowing the wielder to dodge many incoming attacks.,Atuendo de un maestro de las artes caladori que permite esquivar gran número de ataques.
Blademaster's Armor,Armadura de esgrimidor
Mastercraft lamellar-plated armor from the new extinct Caladori civilization that occupied what is now known as Western Sayunaa.,"Armadura de láminas forjadas con precisión de la extinta civilización caladori, la cual ocupó la actual zona de Sayunaa Occidental."
Landis's Mirage,Milagro de Landis
"Divine cloak of the master of Guile, Saint Landis.","Manto divino del maestro de Guile, el santo Landis."
Steel Plate Armor,Coraza de acero
Standard issue Imperial Heavy Infantry battle gear.,Equipo de combate de uso común de la infantería imperial pesada.
Donari Armor,Armadura donari
Battle armor worn by the order of Donari Paladins for centuries.,Armadura de combate que han portado la orden de paladinas donari durante siglos.
Dragonscale Armor,Armadura de dragón
A steel full-plate battle armor adorned with the armored scales of a defeated dragon. ,Armadura de combate de láminas de metal adornadas con las duras escamas de un dragón vencido.
Imperial Battle Armor,Armadura imperial
Modern design of steel heavy armor worn by elite Veridian warriors. ,Diseño moderno de la armadura pesada de acero que llevan los guerreros veridianos de élite.
Obsidian Plate Armor,Coraza de obsidiana
"Full plate armor made from obsidian. Cumbersome, but offers incredible protection.","Coraza de láminas hechas de obsidiana. Es pesada, pero ofrece una protección increíble."
St. Teresa's Tiara,Tiara de Santa Teresa
"Tiara of Saint Teresa, one of the great heroes of the events surrounding the succession crisis of the last Veridian Emperor of House Krauser.","Tiara de Santa Teresa, la gran heroína de los altercados relacionados con la crisis de sucesión del último emperador veridiano de la Casa Krauser."
Hulking Pavise ,Pavés descomunal
"A recently-created, large wall of steel designed to attempt to deflect the bullets from Firearms.",Enorme escudo de acero fabricado hace poco para desviar las balas de las armas de fuego.
Aldor's Tower Shield,Escudo de torre de Aldor
Massive shield made from obsidian. Was gifted to the Duke of Rimorgue before the times of the Aetherium Crisis.,Escudo enorme de obsidiana. Fue cedido al duque de Rimorgue antes de la Crisis de Etérium.
St. Teresa's Bulwark,Baluarte de Santa Teresa
"Shield of Saint Teresa, one of the great heroes of the events surrounding the succession crisis of the last Veridian Emperor of House Krauser.","Escudo de Santa Teresa, la gran heroína de los altercados relacionados con la crisis de sucesión del último emperador veridiano de la Casa Krauser."
Skull of Rowdain,Cráneo de Rowdain
"Long thought forgotten, this millennia-old artifact bears the latent energy of a powerful necromancer who once terrorized Tahnra.",Artefacto milenario que se creía perdido. Alberga la energía latente de un poderoso nigromante que aterrorizó Tahnra.
Puffin Feather Amulet,Pluma de frailecillo
"Amulet made from the venerated Puffin, a mainstay of Tahnra's fauna.","Amuleto proveniente del venerado frailecillo, ave popular en todo Tahnra."
Ruby Ring,Anillo de rubí
Ring with a simple strength enchantment.,Anillo con un sencillo encantamiento de fuerza.
Emerald Ring,Anillo de esmeralda
Ring with a simple skill enchantment.,Anillo con un sencillo encantamiento de habilidad.
Sapphire Ring,Anillo de zafiro
Ring with a simple magic enchantment.,Anillo con un sencillo encantamiento de magia.
Ribbon,Lazo
Several of these were created by an eccentric wizard. They protect the wearer from the binding effects of the Siren and the Sorceress's magic.,Un excéntrico sabio creó gran número de estos lazos que protegen a su portador de la magia de sirenas y hechiceras.
Kesh's Toolkit,Kit de Kesh
The Barek Tor War Chieftain Eskandar's special grappling hook crafted for him personally by Grandmaster Kesh.,"Garfio especial de Eskandar, el jefe militar de los Barek Tor, diseñado especialmente para él por el gran maestro Kesh."
Noisy Cricket,Grillo ruidoso
The sound given off by these extraordinary creatures is indescribably irritating...,El ruido que emiten estas extraordinarias criaturas es muy molesto.
Boots of Tyranny,Botas de tiranía
"Enchanted boots that drains the spirit of the user, while granting them incredible stamina.",Botas encantadas que absorben el espíritu de su portador y le otorgan una resistencia increíble.
Imperial War Banner,Estandarte imperial
"The Imperial blue flag adorned with the likeness of Adorimetra, Queen of the Golden Dragon Brood, is known the world over.","Bandera imperial azul adornada con la imagen de Adorimetra, la reina de la cría de dragón dorada, que es famosa en el mundo entero."
Everlasting Potion,Poción eterna
A treasure of unknown origin. Highly sought after for its incredible ability to replenish itself over some time.,"Tesoro de origen desconocido, muy codiciado por su increíble poder de regeneración con el paso del tiempo."
Jade Figurine,Estatuilla de jade
"Find one of these, and the fortunes of war will turn to your favor.",Encuentra una de estas para propiciar la fortuna en la guerra.
Iblis Family Signet,Sello familiar de Iblis
"The Iblis family has a legendary history and a far-reaching impact on Tahnra, having offered the world many great warriors of days past.",La familia Iblis cuenta con una reputación legendaria y una influencia enorme en Tahnra. Es también la cuna de grandes guerreros del pasado.
Donar's Treatise of War,Tratado bélico de Donar
One of the few ancient divine documents written in Common Veridian that all may understand its secrets.,Uno de los pocos documentos divinos escritos en veridiano común para que todos comprendan sus secretos.
Soha's Blood Shard,Cristal sangrante de Soha
Fragment of a mysterious crystal shard of unfathomable power. No one has possessed it and lived.,Esquirla de un misterioso cristal con un poder inconmensurable. Ninguno de sus portadores sobrevivió.
Landis's Fixed Dice,Dado fijo de Landis
"The Divine Avatar of Justice created his own luck at every turn, though it earned him a suspicious reputation.","El avatar divino de la justicia forjó su suerte en cada instante, aunque esto hizo que se ganara una reputación algo dudosa."
Genbu Shell Fragment,Trozo de caparazón de Genbu
"A lone turtle, who inadvertedly consumed a piece of an Aetherium Shard, was transformed into a massive and powerful beast known today as Genbu. The pieces of his shell are priceless.",Una tortuga solitaria que consumió por accidente una esquirla de etérium y se transformó en una enorme y poderosa bestia conocida como Genbu. Los trozos de su caparazón son muy preciados.
Temporal Modulator,Modulador temporal
A legendary treasure that has remained a mainstay of adventurer's desires for millenia. Has unique control over the flow of time.,Tesoro legendario muy apreciado por los aventureros durante milenios. Puede controlar el flujo del tiempo.
Black Belt,Cinturón negro
Adorned with faded engraving about an ancient Arena Champion.,Adornado con grabados descoloridos sobre un campeón de la arena ancestral.
Cloak of Cunning,Manto de astucia
Equal the playing field against speedy foes with this masterfully-woven cloak.,Compite con cualquier rival veloz con este manto muy bien confeccionado.
Essence of Embor,Esencia de Embor
Magical charm that captures the bitter cold of the Emborian Tundra.,Talismán mágico que captura el frío crudo de la tundra de Embor.
Belinda's Field Kit,Kit médico de Belinda
The well-organized medical supply kit originally curated by a legendary Priestess of times past.,Kit de suministros médicos bien organizados que perteneció a una sacerdotisa legendaria.
Signet of Wrath,Sello de Ira
"The encapsulated power of the ancient demon of sin, Wrath.","Alberga el poder de Ira, el demonio ancestral del pecado."
Firewalker Boots,Botas ignífugas
Boots specifically designed for Obsidian miners braving the lava tubes of Mt. Karnac.,Botas diseñadas para los mineros de obsidiana y resistentes a la lava del Monte Karnac.
Shadowchaser Boots,Botas acechasombras
"Enchanted Boots worn by the notorious assassin, Kuroda.",Botas encantadas del infame asesino Kuroda.
Gilded Clover,Trébol dorado
What DOES Lucky do?!,¿Te sonríe la fortuna?
Mercurial Shoes,Zapatos volátiles
It's like walking on a cloud.,Te sentirás como si caminaras sobre una nube.
Caladori Charm,Colgante caladori
The Grandmaster always had a delightful sense of humor!,¡El gran maestro siempre tuvo un sentido del humor fantástico!
Fitch Farm Rancher Hat,Sombrero de huronero
Ain't no one who can handle 'em like old Barnabas!,¡Nadie puede con ellos como el viejo Barnabas!
Grothnor Lich's Skull,Cráneo de liche de Grothnor
Decent people shouldn't think about how one gets one of these things.,La gente decente no debería ni pensar en conseguir uno de estos.
Spencer's Spectacles,Anteojos de Antíope
Technologically-advanced relic of a bygone era with unknown mechanical properties.,Reliquia tecnológica de una era pasada con propiedades mecánicas desconocidas.
Aetherium Gemstone,Gema de etérium
"A piece of the Arc Donarium's inner core, salvaged recently and nearly priceless.","Pieza del núcleo interno del Arco Donarium obtenida hace poco y muy valiosa."
Sunset Bay Theatre Mask,Máscara de Bahía Ocaso
Ceremonial mask worn by the elusive Tidereaver sect in a remote pirate colony known as Sunset Bay.,Máscara ceremonial que llevaban los escurridizos Cazamareas en una colonia llamada Bahía Ocaso.
Unequip,Quitar
Unequip the current artifact.,Quita el artefacto actual.
Empty,Vacío
Select to equip an item.,Elige algo para equiparte.
Locked,Bloqueado
Locked.  Unlock Adept Artificer tech to unlock.,Bloqueado. Aprende «Artífice adepto» para desbloquear.
Locked.  Unlock Journeyman Artificer tech to unlock.,Bloqueado. Aprende «Artífice oficial» para desbloquear.
Ace of Spaces,As de galaxias
An indestructible card that defies age and time.,Una carta indestructible que desafía la edad y el tiempo.
Warfarer's Boots,Botas del contendiente
Shuffle becomes a free action,Los intercambios no consumen acciones.
Duelist's Contract,Contrato del duelista
All units on both teams get +1 attack at 1 range,Tocas las unidades de ambos equipos comienzan con +1 de ataque y 1 de alcance.
Do-It-Yourself Bandage,Vendaje de autocuración
Map heals are a free action,Las curaciones en el mapa no consumen acciones.
Emperor's Missive,Misiva del emperador
Tier 1 Units take 50% damage,Las unidades de grado 1 reciben un 50% de daño.
Donari Charm,Colgante donari
2 additional Map Heal charges,Permite realizar 2 curaciones adicionales en el mapa.
Commoner's Goblet,Copa de plebeyo
Non-story squad leaders only,Solo para líderes del pelotón que no participen en la historia.
Can only be equipped on Squads not lead by story characters,Solo se puede equipar a pelotones que no estén dirigidos por personajes de la historia.
Tailored Great Helm,Gran casco a medida
2 additional Armor per unit archetype in Squad,2 de armadura adicional por arquetipo de unidad en el pelotón.
Thorny Charm,Colgante espinado
Every Unit in Squad will resist 1 status effect per combat,Cada unidad del pelotón resistirá 1 perjuicio por combate.
