ENGLISH,SPANISH
\n[8].\! Got a minute?,\n[8].\! ¿Tienes un minuto?
"For you, always.","Para ti, siempre."
Eh... this kind of advice givin' isn't really my thing.,Eh... Esto de dar consejos no es lo mío.
"Whoa, who died, anyway?\! You're so serious at the moment, old man.","Uy, ¿es que la ha palmado alguien?\! Qué serio te has puesto, abuelete."
...Old man...,Abuelete...
"Listen, I know I'm no spring chicken, but my mind's still sharp as a tack.\! And I have a good mind to tell you you're breakin' a lotta hearts 'round here.","Escucha, ya sé que no soy ningún pipiolo, pero aún me conservo de lo más lucido.\! Y ganas no me faltan de contarte que andas por ahí rompiendo corazones a mansalva."
I beg your pardon??!,¡¿Perdona?!
"Just...\| I'm sure at this point I got nothin' more to teach you about swordplay.\! But I still notice these young fellas 'round you...\| You just gotta be aware of their intentions.\! Just...\| keep that in mind for me, alright?","Es solo que...\| Está claro que a estas alturas no tengo nada más que enseñarte sobre el manejo de la espada.\! Pero me doy cuenta de la juventud que te ronda...\| Debes tener cuidado con sus intenciones.\! Así que...\| ten eso en cuenta por mí, ¿vale?"
"Well... of course, Barnabas.","Claro... Por supuesto, Barnabas."
"I'd hate to see you goin' down the wrong path.\! That's all I ever wanted for you, \n[8].\! Just to be surrounded by those who have your back 'til the very end.\! You know...","No me gustaría verte descarrilar.\! Es lo único que siempre he querido para ti, \n[8].\! Verte que todo el mundo a tu alrededor te apoya hasta el final.\! Ya sabes..."
Kinda like a guy like me would.,Igual que lo haría alguien como yo.
Yeah.\! A guy just like you would.,Sí.\! Alguien como tú lo haría.
"Come on, Barnabas. There's gotta be a thousand stars I can recognize out tonight.\! Join me for a walk?","Vamos, Barnabas. Podría reconocer hasta mil estrellas en un cielo como el de esta noche.\! ¿Me acompañas a dar un paseo?"
"Sure thing, \n[8].\! I would ask you to lay off the ""old man"" thing, but... I know how that goes.","Claro que sí, \n[8].\! Te pediría que dejaras de fastidiar con lo de llamarme «abuelete», pero... Ya sé cómo está el tema."
"Haha, right you are.","Ja, ja. No te falta razón."
