ENGLISH,ENGLISH
"Here we stand, together again.\! You've a lot to answer for, \n[8].","Aquí estamos, juntos otra vez.\! Tienes mucho a lo que responder, \n[8]."
"No matter how many lies you pile onto yourself, you still play the part.\! Some day, Casamir, your lies are going to catch up to you.","A pesar de todas tus mentiras, sigues interpretando tu papel.\! Casamir, algún día tus mentiras te atraparán."
Your glib remarks mean nothing.\! All that matters is my imminent coronation to become Emperor of all Veridia.,"Tus comentarios locuaces no significan nada.\! Solo importa mi inminente coronación, que me convertirá en el emperador de toda Veridia."
"You've built quite a following, you know.\! They say you're the bringer of light, the hero of the West... some even think you're the reincarnation of their god.","Has conseguido un buen número de seguidores.\! Dicen que has traído la luz, que eres el adalid del oeste... Algunos incluso creen que eres la reencarnación de su dios."
"It seems pretending to be a religious savior to win the hearts of the people nearly won this war for you.\! The Temple is too dangerous to be left intact, as are their beliefs, and their...\| folk heroes.",Hacerte pasar por una figura salvadora religiosa para ganarte los corazones de la gente ha estado a punto de darte la victoria en esta guerra.\! Los Templarios son demasiado peligrosos para dejarlos en pie. Lo mismo ocurre con sus creencias y sus...\| héroes populares.
Gunners... ready!!!,"¡Artilleros, en posición!"
"Goodbye, \n[8].\! Give my regards to... whatever god you people worship these days.","Adiós, \n[8].\! Saluda de mi parte... al dios que adora tu pueblo actualmente."
FIRE!,¡FUEGO!
"\c[1]What have they done, my champion?\! Such folly, such recklessness.\! To cause you such harm...\| all for what?\! To continue this fairy tale, this... prophecy of theirs?!","\c[1]¿Qué has hecho, mi adalid?\! ¡Qué locura, qué imprudencia!\! Provocar tanto dolor,\| ¿para qué?\! ¿Para continuar con ese cuento de hadas, con esta profecía suya?"
"\c[1]You have become powerful, my champion. Peerless in this world!\! You know what you must do.\! Do it, and the power bestowed upon you will be yours forever.","\c[1]Has conseguido mucho poder, mi adalid. ¡Un poder sin igual!\! Ya sabes lo que tienes que hacer.\! Hazlo y el poder que te ha sido otorgado será tuyo para siempre."
It shall be done.,Así será.
