"Rest in peace, Kuroda.","Descansa en paz, Kuroda."
"That makes 18 souls you've asked me to send to the void. Is your bloodlust sated yet, or do you have a 19th for me?!",Con esa son 18 almas que me pediste que envíe al vacío. ¿Ya se sació tu sed de sangre o tienes la número 19 para mí?
"Stay your weapons, Razehl. I surely wouldn't want to cross blades with the likes of you!","Baja las armas, Razehl. No querría cruzar espadas con alguien como tú."
"That man you just defeated... Kuroda, they called him. Well, little do these people know. His name was something else entirely.\! But that is no matter to you or I anymore, is it?","El hombre que venciste recién... lo llamaban Kuroda. Bueno, esta gente no sabe nada. Su nombre era diferente en realidad.\! Pero eso ya no nos importa, ¿verdad?"
"I am in no mood for riddles. If you have business with me, out with it, old man.","No estoy de ánimo para acertijos. Si tienes algo que resolver conmigo, dilo de una vez, abuelete."
"I've been watching you, Razehl. I have a keen eye for true talent. And it would seem, you've proven me right.\! I've paid off these men, who have kept you as some...\| toy. Some implement of their puerile amusement.\! No, henceforth, you will be who you were made to be. The title of Kuroda... this title has spanned generations. An instrument of death. Kingmaker, and godslayer!\! That title is now yours. As so too are its many, many rewards - I'll see to that.","Te estuve observando, Razehl. Tengo buen ojo para el talento real. Y parece que demostraste que tengo razón.\! Pagué a estos hombres que te usaron como...\| un juguete. Un objeto para su diversión pueril.\! No, de ahora en más serás quien te corresponde ser. El título de Kuroda... abarca generaciones. Es un instrumento de muerte. Hacedor de reyes y matador de dioses.\! Ese título es tuyo ahora. Y también las muchas recompensas que trae. Me encargaré de eso."
...And you expect me to do as you ask now?,¿Y esperas que haga lo que me pides?
"You will. Not because it is my wish, but because it is yours. I know your heart, young Kuroda. Boiling, brimming with a desire for justice.\! Against the men who took your parents from you... took your future away, and any chance at peace.\! Together, we will cut them down, Kuroda. You need but trust me, little by little, as I lead you ultimately to their timely demise.","Lo harás. No porque lo quiera yo, más bien porque lo quieres tú. Sé lo que piensas, joven Kuroda. Ardes con el deseo de justicia.\! Contra los hombres que te quitaron a tus padres, que te quitaron el futuro y la oportunidad de paz.\! Juntos los destruiremos, Kuroda. Solo debes confiar en mí. Paso a paso, mientras te guío hacia el fin que merecen."
You're right.,Tienes razón.
Direct my blade. May the dogs calling for war never breathe again...,Guía mi espada. Que los perros que claman por la guerra no vuelvan a respirar.
"All in due time. The great lords of Ezrum, Calador, Reza, and Qurmad, and the Regent Lord of Sayunaari Palace must die.\! It is no concern of the Sayunaari people, for I have suitable replacements for all, ready to fill the void.\! Rest assured, I will see to it that they no longer act rashly, or for self-interest, but rather for the betterment of your people. Stability, and peace, at long last.","Todo a su debido tiempo. Los grandes señores de Ezrum, Calador, Reza y Qurmad y el líder del palacio sayunaari deben morir.\! No es problema para los sayunaari, pues tengo reemplazos idóneos para todos, listos para llenar el vacío.\! No te preocupes, me ocuparé de que ya no actúen con prisa ni por interés, sino para el bien de tu gente. Por fin habrá estabilidad y paz."
