Change to,Cambiar a
Demote to,Degradar a
Promote to,Ascender a
(Unit perma-death is suspended),(Muerte permanente de unidad suspendida)
Start a new game with these settings?,¿Iniciar una nueva partida con estos ajustes?
Reload the base?\NEWLINEData will be restored to when you last entered or saved in the base.,¿Quieres volver a cargar la base?\NEWLINESe recuperarán los datos de la última vez que entraste o guardaste en la base.
Return to title?\NEWLINEAll unsaved progress will be lost.,¿Quieres volver al menú de título?\NEWLINEPerderás los progresos que no hayas guardado.
Are you sure you want to exit the game?\NEWLINEAll unsaved progress will be lost.,¿Seguro que quieres salir del juego?\NEWLINEPerderás los progresos que no hayas guardado.
Select a difficulty,Elige la dificultad
Enable helpful hints throughout the game. Can be toggled in Options.,Activa pistas útiles durante todo el juego. Se puede cambiar en el menú de opciones.
Non-story characters incapacitated at the end of a mission are \NEWLINElost forever. Their resources will be refunded.,Perderás a los personajes principales que queden incapacitados \NEWLINEal final de una misión. Recuperarás los recursos invertidos.
Begin the game,Comenzar el juego
Deploy to the this side mission?,¿Quieres iniciar esta misión secundaria?
"WARNING! After completing this chapter, the threads of time will be disrupted, and some side quests will no longer be available. \\LINEAre you sure?","¡ATENCIÓN! Al completar este capítulo, la línea temporal cambiará y algunas misiones secundarias dejarán de estar disponibles.\\LINE¿Continuar?"
Deploy to the next Mission?,¿Quieres iniciar la siguiente misión?
Are you sure you want to exit?\NEWLINEAll unsaved progress will be lost.,¿Seguro que quieres salir?\NEWLINEPerderás los progresos que no hayas guardado.
Restore settings to default?,¿Restaurar ajustes predeterminados?
"These two will be bound together, preventing any other such bonds.\NEWLINE Are you sure?",Estos dos personajes se vincularán y no podrás vincularlos con otros.\NEWLINE¿Aceptar?
Are you sure you want to sell this item?,¿Seguro que quieres vender este objeto?
Item will be unequipped and sold.,El objeto dejará de estar equipado y se venderá.
Are you sure you want to purchase this?,¿Seguro que quieres comprar esto?
Are you sure you want to hire this mercenary?,¿Seguro que quieres contratar a este mercenario?
Are you sure you want to skip the cutscene?,¿Seguro que quieres saltarte esta escena?
Are you sure you want to skip all cutscenes (until next gameplay)?,¿Seguro que quieres saltarte todas las escenas (hasta el próximo combate)?
Are you sure you want to quicksave?\NEWLINEPrior Quicksave will be overwritten.,¿Seguro que quieres autoguardar?\NEWLINESe sobrescribirá la anterior partida autoguardada.
Are you sure you want to load?\NEWLINEProgress will be reverted to last QuickSave.,¿Seguro que quieres cargar una partida?\NEWLINERecuperarás los progresos del último autoguardado.
Are you sure you want to restart mission?\NEWLINEMission progress will be lost.,¿Seguro que quieres reiniciar la misión?\NEWLINEPerderás los progresos de la misión.
Are you sure you want to return to base?\NEWLINEALL mission progress will be lost.,¿Seguro que quieres volver a la base?\NEWLINEPerderás todos los progresos de la misión.
Are you sure you want to return to the beginning of the turn?\NEWLINEAll unsaved progress will be lost.,¿Seguro que quieres iniciar de nuevo el turno?\NEWLINEPerderás los progresos que no hayas guardado.
Finish deploying and begin mission?,¿Terminar de desplegar unidades y comenzar la misión?
Retreat this squad to base?\NEWLINEThey will be unavailable until next turn.,¿Retirar este pelotón a la base?\NEWLINEEl pelotón no estará disponible hasta el próximo turno.
