New Game,Nueva partida
Load QuickSave,Cargar autoguardado
Load Game,Cargar partida
Options,Opciones
Join Discord,Unirse a Discord
Shutdown,Salir
Deploy,Desplegar
Organize Army,Organizar ejército
Tech Tree,Árbol tecnológico
Marketplace,Mercado
Tutorials and Info,Tutoriales y datos
Supports,Apoyos
Arena,Arena
Arena/Extras,Arena/Extras
System,Sistema
Bronze Arena,Arena de bronce
Silver Arena,Arena de plata
Gold Arena,Arena de oro
Platinum Arena,Arena de platino
Save Game,Guardar partida
Reload,Volver a cargar
To Title,Al menú de título
Main Volume,Volumen general
Music Volume,Volumen de música
SFX Volume,Volumen de efectos
Voice Volume,Volumen de voces
Tutorials,Tutoriales
Instant Text,Texto inmediato
Mouse,Ratón
Tactical Grid,Cuadro táctico
Permadeath,Muerte permanente
Animation Speed,Rapidez de animaciones
Show Combats,Mostrar combates
Screen Size,Tamaño de pantalla
Restore Defaults,Restaurar ajustes
Return to Game,Volver atrás
Exit Game/Return to Title,Salir del juego/Volver a menú de título
Yes,Sí
No,No
Exit Game,Salir del juego
Cancel,Cancelar
Squad Operations,Operaciones de pelotón
Disband Squad,Disgregar pelotón
Form New Squad,Formar nuevo pelotón
Reorder Squads,Reordenar pelotones
Unit Status,Estado de unidad
Use Item,Usar objeto
Change Class,Cambiar clase
Dismiss Unit,Eliminar unidad
Exit,Salir
Recruit,Reclutar
Trader,Comerciante
Sell Items,Vender objetos
Exchange,Intercambiar
Relationships,Relaciones
Conversations,Conversaciones
Archives,Archivos
Begin Mission,Comenzar misión
Mission Info,Detalles de misión
Organize,Organizar
Retreat,Retirarse
Squad Status,Estado de pelotón
Remove Squad,Eliminar pelotón
Replace Squad,Remplazar pelotón
Edit Squad,Editar pelotón
Wait,Esperar
Treasure,Tesoro
Status,Estado
End Turn,Terminar turno
Squad List,Lista de pelotones
Hover Paths Disabled,Recorrido desactivado
Powers,Poderes
Tutorial,Tutorial
Showing: Hover Only,Mostrar: solo recorrido
Language,Idioma
Move Unit,Mover unidad
Add Unit,Añadir unidad
Remove Unit,Eliminar unidad
Artifacts,Artefactos
Clear Squad,Despejar pelotón
Continue Main Story,Continuar historia principal
Gaiden Chapter A: Unrelenting Ambition,Capítulo Gaiden A: Ambición ilimitada
Gaiden Chapter B: Dragon's Haven,Capítulo Gaiden B: El refugio del dragón
Gaiden Chapter C: No Mercy for the Merciful,Capítulo Gaiden C: Sin misericordia para los misericordes
Gaiden Chapter D: Clockwork City,Capítulo Gaiden D: Ciudad mecánica
Gaiden Chapter E: Ishtar's Lament,Capítulo Gaiden E: El lamento de Ishtar
QuickSave,Autoguardar
QuickLoad,Autocargar
Load,Cargar
Redo Turn,Rehacer turno
Restart,Reiniciar
Exit Game/Title,Salir del juego/título
Meteor,Meteorito
Teleport,Teletransporte
Exemplar,Paradigma
Terror,Terror
Blessing,Bendición
Showing: Enemy Move,Mostrar: movimiento enemigo
Showing: Ambush Tiles,Mostrar: casillas de emboscada
Showing: Charge Tiles,Mostrar: casillas de carga
Attack,Ataque
\M[tactic_normal.png]Normal Attack,\M[tactic_normal.png]Ataque normal
\M[tactic_forcesurrender.png]Force Surrender,\M[tactic_forcesurrender.png]Obligar a rendirse
\M[tactic_leader.png]Target Leader,\M[tactic_leader.png]Apuntar a líder
\M[tactic_aggressive.png]Aggressive,\M[tactic_aggressive.png]Ataque despiadado
\M[tactic_cautious.png]Cautious,\M[tactic_cautious.png]Prudencia
Heal,Curar
Heal/Revive,Curar/Resucitar
Revive,Resucitar
Start Game,Iniciar partida
Shop,Tienda
Refresh Heals,Recargar curaciones
Move,Movimiento
Seize,Asaltar
Activate,Activar
Shuffle,Intercambiarse
Tactics,Tácticas
Depart,Salir
Armory,Armería
Demote,Degradar
Promote,Ascender
Formation,Formación
All,Todo
Rename,Renombrar
Title Screen,Pantalla de título
Bronze,Bronce
Silver,Plata
Gold,Oro
Platinum,Platino
Requires:,Requiere:
Rename Scroll,Pergamino de nombre
Resources Used:,Recursos usados:
Form Squad,Formar pelotón
Enable Tutorials,Activar tutoriales
"Enable ""Permadeath""",Activar muerte permanente
Skip All,Saltar todo
Return to Base,Volver a la base
Restart Mission,Reiniciar misión
Load Save,Cargar partida
Return to Title,Volver a menú de título
Save/Load,Guardar/Cargar
Select Squads,Elegir pelotones
Dismiss,Eliminar
Skip Chapter,Omitir capítulo
Classic Portraits,Retratos clásicos
High-Res Font,Fuente de alta resolución
Map Sprite,Sprites del mapa
Legends Chapters,Capítulos de Leyendas
