ENGLISH,ENGLISH
World Lore,Trasfondo del juego
Tactics and Strategy,Tácticas y estrategia
Class List,Lista de clases
Terrains,Terrenos
Reference Guide,Guía de referencia
Tutorial,Tutorial
Tahnra,Tahnra
"Our world. Creation of Donar. The first sapient life were the Earthenfey, who populated our world in its primal state. Now, Tahnra houses Humans, Skyborn, Barek Tor, and Demyrians. Our current story takes place entirely in the Human lands, but there is a vast, rich world beyond our borders.","Nuestro mundo, obra de Donar. Los primeros seres con vida inteligente fueron los terráneos, quienes poblaron nuestro mundo en sus orígenes. Ahora, Tahnra alberga a humanos, celestiales, barek tor y demirianos. Nuestra historia actual tiene lugar por completo en tierras humanas, aunque hay un rico y enorme mundo más allá de nuestras fronteras."
Empire of Veridia,Imperio de Veridia
"The largest, most powerful entity in Tahnra. Its vast territory boasts the richest lands in the world.\\PARIts weakness is its political instability. The ruler is selected by an elective process involving both the nobility and the Temple. This system recently reached a critical failure state, resulting in the War of Veridian Succession.","Se trata de la entidad más poderosa de Tahnra. Su extenso territorio alberga las tiendas más ricas del mundo.\\PARSu mayor debilidad es su inestabilidad política. El gobernante se elige mediante votación en la que participan nobles y templarios. El sistema lleva desde hace poco en estado crítico, lo que podría desencadenar la Guerra de Sucesión de Veridia."
The Donari Temple,Templarios de Donar
"Founded by the Avatar of Donar, legendary hero. It has existed for the last thousand years; indeed its founding marks the beginning of the current Human calendar widely adopted by all the civilizations of Tahnra. \\PARThe city of Lemelin finds the Lemelin Monastery at its center, the highest Temple facility, which houses its Grandmaster and other Temple leadership.","Organización fundada por el avatar de Donar, un héroe legendario. Lleva existiendo desde el último milenio; de hecho, su fundación marca el inicio del actual calendario humano, que ha sido adoptado en todas las civilizaciones de Tahnra.\\PAREn el centro de la ciudad de Lemelin se encuentra su monasterio, el edificio más alto, donde descansan el gran maestro y otros líderes templarios."
War of Veridian Succession,Guerra de Sucesión de Veridia
"Date: Year 969-972\\PARLocation: Veridia Province, Western Sayunaa\\PARBelligerents: Various noble houses from Veridia and Sayunaa, Central Imperial government\\PARResult: Treaty of Trucea. Compromise between feuding nobles, Florina, descendent of House Iblis of Rimorgue, installed as Empress.\\PARTerritory changes: Though House Iblis made marginal gains to the West and South, all territory returned to pre-war borders following the Treaty of Trucea.\\PARCasualties: 124,000 military deaths, 2,000,000 military and civilians injured or displaced\\PARUndoubtedly the greatest disaster in recent memory, this war spiraled out of control with what began as a minor disagreement about the lineage of various possible successors following the untimely death of the former Emperor.","Fecha: año 969-972\\PARLugar: provincia de Veridia, Sayunaa occidental\\PARContendientes: varias casas de nobles de Veridia, Sayunaa y el Gobierno Central Imperial\\PARResultado: el tratado de Trucea. Conflicto entre nobles feudales y Florina, descendiente de la Casa Iblis de Rimorgue, por convertirse en emperatriz\\PARCambios territoriales: aunque la Casa Iblis acumuló ganancias marginales al oeste y al sur, todas las fronteras volvieron a como estaban antes de la guerra, de acuerdo con el tratado de Trucea\\PARBajas: 124 000 bajas militares, además de 2 000 000 de militares y civiles heridos o desplazados\\PARSin duda, la mayor catástrofe de la historia actual. Esta guerra comenzó con leves desavenencias (que no tardarían en recrudecerse) sobre el linaje de varios posibles sucesores tras la inesperada muerte del antiguo emperador."
Kingdom of Sayunaa,Reino de Sayunaa
"This nation spans a sizeable territory in the hot, arid center of the mainland and is surrounded on all sides by treacherous mountains and desert.\\PARSuspicious of outsiders. Boasts a massive reserve of mineral wealth that fuels Sayunaa's power.","Esta nación abarca un territorio considerable del cálido y árido centro del continente, rodeado de traicioneras montañas y desierto por todos los lados.\\PARSus habitantes desconfían de los extranjeros. Sayunaa cuenta con enormes reservas de minerales que fomentan su poder militar."
General Antares,General Antares
"Race: Veridian Human\\PARBirthplace: Armitage\\PARHeight: 6'0''\\PARWeight: 198 lbs\\PARBirth year: 948\\PARGeneral during the War of Veridian Succession, and leader of a Rebellion of his own creation in protest of government overreach.","Raza: humano veridiano\\PARLugar de nacimiento: Armitage\\PARAltura: 1,83 m\\PARPeso: 90 kg\\PARAño de nacimiento: 948\\PARGeneral durante la Guerra de Sucesión de Veridia y líder de la rebelión que él mismo propició en protesta de los excesos del Gobierno."
Squads,Pelotones
"Your Army is organized into Squads. Squads are comprised of between 1 and 9 units, with one of them serving as the Squad Leader.\\PARSquad Capacity, the ability to include more units and artifacts, is determined by the LDR stat of the Squad Leader.\\PARSquad unit composition determines Squad Type, which affects movement and combat.\\PARUse the 'Organize' command in Home Base and Deployment phases to create, disband, and edit your Squads. You are also able to change class, equipment, traits, and assign Squad Leader.","Tu ejército se divide en pelotones. Cada uno consta de entre 1 y 9 unidades, entre las cuales hay un líder.\\PARLa capacidad del pelotón, la posibilidad de añadir más unidades y artefactos, la determina el valor de LDR del líder del pelotón.\\PARLa composición de las unidades determina el tipo de pelotón, lo que afecta al movimiento y al combate.\\PARUsa el comando Organizar de la base de operaciones y las fases de despliegue para crear, disgregar y editar tus pelotones. También puedes cambiar clase, equipo, rasgos y líder del pelotón."
Moving and Attacking,Mover y atacar
"Squads move on the Tactical Map at your command. When first selecting a Squad, you will be given the option to move them to a tile within their movement range.\\PARSquads can attack before OR after moving, but if a Squad attacks, its turn is automatically over. The exception is Cavalry Squads, who can move after attacking.","Los pelotones se moverán por el mapa táctico siguiendo tus órdenes. Al seleccionar a un pelotón, tendrás la opción de moverlo a una casilla dentro de su alcance de movimiento.\\PARLos pelotones pueden atacar antes o después de moverse, pero al atacar, su turno acabará automáticamente. Los únicos pelotones que pueden moverse tras atacar son los de caballería."
Settlements,Asentamientos
"Villages, Towns, Castles, and Palaces are Settlements. When captured, these grant you Faction XP and Gold.","Las aldeas, las ciudades, los castillos y los palacios son asentamientos. Captúralos para conseguir EXP de facción y oro."
Mines,Minas
"Provides resources, including Iron, Gems, Gold, Obsidian, Pyrocite, and Sunstone.","Ofrece recursos, como hierro, gemas, oro, obsidiana, pirocita y piedras solares."
Bases,Bases
"Powerful defense bonuses for the gate defender. If one enemy Squad lands on the entrance tile to your Home Base, you will be defeated. Can usually Deploy squads mid-mission from Home Base. -10% damage taken from all attacks to a squad on the Base tile. -40% additional damage taken from range 2+ attacks.","Ofrecen ventajas de defensa a quien defienda la entrada. Si el pelotón de un enemigo llega a la casilla de entrada de tu base de operaciones, habrás perdido el combate. Por lo general, puedes desplegar pelotones en mitad de una misión desde la base de operaciones. El pelotón que esté en la casilla de una base de operaciones sufrirá -10 % de daño de todos los ataques y -40 % de daño adicional de los ataques desde 2 o más casillas de distancia."
Forts,Fuertes
Grants a bonus to high ground and evasion to the defender. -10% damage taken from all attacks to a squad on the Fort tile.,"Otorgan una ventaja de terreno alto, evasión y -10 % de daño de todos los ataques a los pelotones que estén en ellos."
Forests,Bosques
Rough Terrain. Ambushable Terrain. Provides a 50% evasion bonus against range2+ archery attacks.,Terrenos accidentados desde los que realizar emboscadas. Otorgan una ventaja de +50 % de evasión contra los ataques de arqueros situados a 2 o más casillas de distancia.
Hills,Colinas
Rough Terrain. Ambushable Terrain. High Ground.,Terrenos accidentados desde los que realizar emboscadas. Terrenos altos.
Allies (Green Army),Aliados (ejército verde)
"Allied Squads will appear in Green on the Tactical Map. Allies move on their own, and will be fighting against the same enemy as you. They cannot attack you, and you cannot attack them.",Los pelotones aliados aparecerán en verde en el mapa táctico. Los aliados se moverán por su cuenta y te ayudarán a combatir al enemigo. No podrán atacarte y tú no podrás atacarlos a ellos.
Roads,Senderos
Open Terrain. Provides a tile movement bonus.,Terrenos abiertos que otorga una ventaja de movimiento.
Walls,Murallas
Special defense Terrain. Provides high ground. Defense bonus vs Squads not on a Wall. Blocks melee attacks from the ground and blocks tile map movement. Can be traversed via a Ramp.,Terrenos altos de defensa especial. Otorgan ventajas de defensa contra los pelotones que no estén en ellas. Bloquean los ataques físicos y el avance desde una altura inferior. Se pueden atravesar a través de una rampa.
Cavalry,Caballería
"If the majority of a Squad's Capacity cost is from Cavalry unit types, it becomes a Cavalry Squad.\\PARCavalry Squads can move faster in 'Open' terrain, and can move after attacking. In the Tactics tech tree, Cavalry can learn how to perform a 'Charge Attack' when moving a large number of tiles in the same turn, and both attacker and defender are in Open Terrain.\\PARCavalry units are all vulnerable to Polearm users, or Hussars, an advanced Light Cavalry Class.'Hit and Run' is a feature of Normal Cavalry and Light Cavalry Squad Types. After taking an action such as attacking or healing, a Cavalry Squad can then move again using half of their original total Movement Points.","Si la mayor parte del coste de capacidad de un pelotón es de unidades de caballería, este se convertirá en un pelotón de caballería.\\PARLos pelotones de caballería se pueden mover más rápido en terreno abierto y se pueden mover después de atacar. En la rama «Tácticas y comandos», las unidades de caballería pueden aprender a realizar una «carga ofensiva» al moverse a lo largo de un buen número de casillas en un turno, siempre y cuando tanto atacante como defensor estén en terreno abierto.\\PARTodas las unidades de caballería son vulnerables a las unidades con lanza y a los húsares, una clase de caballería ligera avanzada. La función «Golpe y fuga» es típica de los pelotones de caballería normal y ligera. Tras realizar una acción como atacar o curar, los pelotones de caballería pueden moverse de nuevo usando la mitad de sus puntos de movimiento totales."
Stables,Establos
Provides War Horse resources when captured.,Otorgan caballos de guerra.
Donari Temples,Templos de Donar
"Visit a Temple to refresh out-of-battle heals, and revive defeated allies, for a gold fee.",Visita uno de estos templos para recargar tus curaciones fuera de combate y resucitar a tus aliados derrotados por un módico precio.
Conscripts and Mercenaries,Reclutas y mercenarios
"Conscripts are fresh, untrained recruits that are cheap and unlimited. Mercenaries are strong, but expensive, and not as loyal to your cause, but often come with their own gear and special traits.\\PARConscripts are the first 4 slots in the recruiting pool in the Home Base market.","Los reclutas son guerreros novatos y sin formación de coste bajo e ilimitados. Los mercenarios son fuertes, pero caros y no tan leales a tu causa. Suelen contar con su propio equipo y rasgos especiales.\\PARLos reclutas ocupan los 4 primeros espacios de unidades para reclutar en el mercado de la base de operaciones."
Artifacts,Artefactos
Artifacts modify the entire Squad. Effects can be positive or negative. Up to 3 Artifacts can be equipped on a Squad with full technology.,Los artefactos modifican todo un pelotón con efectos tanto positivos como negativos. Un pelotón puede equiparse con hasta 3 artefactos si desbloqueas todas las tecnologías.
Stealth,Unidades furtivas
"Assassins, Rogues, and Stefan's unit Classes are able to execute Stealth attacks. A Stealth attack is achieved when attacking as one of these Classes.\\PARWhen Stealth attacking, your attacks automatically target the back of the enemy formation.\\PAROn defense, these classes attack normally.","Asesinos, pícaros y el personaje de Stefan pueden asestar ataques furtivos. Solo ellos pueden realizar este tipo de ataques.\\PARAl usar un ataque furtivo, golpearás automáticamente la retaguardia del enemigo.\\PARAl defenderse, las unidades furtivas atacarán de forma normal."
Zanatus,Zanatus
"The demonic being who dominated humanity over 1000 years ago. Is the antithesis of Donar in every way. Origins still unknown, but the best translations and accounts can be summarized in a way that paints Zanatus as something not of this world. Something disturbingly unfamiliar to Donar's creation. Defeated in battle by the Avatar of Donar when stabbed through the heart with the holy blade, Lightfury.","Ser demoníaco que lleva más de 1000 años aterrorizando a los humanos. Es la antítesis de Donar en todos los sentidos. Se desconoce su origen, pero los textos y registros más fiables parecen indicar que no proviene de este mundo, algo sospechosamente ajeno a la creación de Donar. Fue derrotado en combate cuando el avatar de Donar atravesó su corazón con la espada sagrada, Furialuz."
Battle of Mount Ptolomea,Batalla del Monte Tolomea
"Date: Year 0\\PARThe confrontation between Zanatus and the five Nephilim, The Avatar of Donar, Galzus, Landis, Cyrene, and Ishtar. Just before this battle, the Avatar of Donar had lead a resistance effort to attempt to liberate Humanity from Zanatus's tyranny. In the final, desperate moments before ultimate defeat, the five experienced a divine intervention, infusing them with godlike power, divine weapons, and changed them from human to Nephilim by blood. Zanatus was ill-prepared for this, and the Nephilim destroyed the demon with a final blow from Lightfury. Zanatus's armies, who relied completely on the demon's singular leadership, fled in disarray, allowing humanity to break its shackles and win its salvation. Thereafter, the Donari Temple was founded, and the Nephilim canonized as gods.","Fecha: año 0\\PAREnfrentamiento entre Zanatus y los cinco nefilim: el avatar de Donar, Galzus, Landis, Cyrene e Ishtar. Antes de esta batalla, el avatar de Donar había dirigido a un grupo de resistencia con el fin de liberar a los humanos de la tiranía de Zanatus. En los últimos momentos antes de la derrota definitiva, los cinco guerreros vivieron una experiencia mística y los dioses les otorgaron poderes celestiales, armas divinas y sangre de nefilim. Zanatus no estaba preparado para esto y los nefilim lograron acabar con él asestándole un golpe final con Furialuz. Los ejércitos de Zanatus, que dependían por completo en el liderazgo del demonio, huyeron despavoridos, mientras que los humanos se liberaron de sus cadenas y ganaron su salvación. Con el tiempo, los Templarios de Donar se fundaron y los nefilim fueron canonizados."
Donar,Donar
"The creator of Tahnra and all things. Nature unknown, but is the being from which all of the Donari Temple's beliefs evolved. Believed to reside in a higher dimension commonly referred to as the ''Divine Realm''. Thought to have only made its presence known in the mortal realm once, during the intervention against Zanatus, but this is not confirmed. Donar's power has been infused into the divine weapons, and in the bloodline of the Nephilim. Commonly confused with the Avatar of Donar, who is often referred to simply as Donar. In the Temple scriptures, very little distinction is made between the mortal Nephilim who defeated Zanatus, and the creator god of all things. The Avatar of Donar represents the virtue of Truth, and the element of Light.","Creador de Tahnra y de todas las cosas. Se desconoce su naturaleza, pero es el ser del que evolucionaron todos los Templarios de Donar. Cuentan que habita en una dimensión superior llamada el reino divino. Supuestamente tan solo ha hecho acto de presencia en el reino mortal una vez, durante la batalla contra Zanatus, pero no se ha confirmado que así fuera. El poder de Donar permanece en las armas divinas y en el linaje de los nefilim. Se suele confundir con el avatar de Donar, a quien también se le llama Donar sencillamente. En las escrituras de los Templarios de Donar, se hace muy poca distinción entre el mortal nefilim que venció a Zanatus y el creador de todas las cosas. El avatar de Donar representa la virtud de la verdad y el elemento de la luz."
"Lightfury, Sword of Donar","Furialuz, la espada de Donar"
"Of course the divine weapon of the Avatar of Donar. However, this weapon seems unique among the other divine weapons. Lightfury has existed in Tahnra long before the Battle of Mount Ptolomea. Scholars and theologians have thrown around many beliefs and theories about Lightfury. The prevailing wisdom is that Lightfury is as old as Tahnra itself, and is the personal tool of Donar... his primary way of manifesting in the mortal realm wherever it is needed.","Como es obvio, esta es la espada del avatar de Donar. A diferencia del resto de armas divinas, esta parece única. Furialuz ha existido en Tahnra desde antes de la Batalla del Monte Tolomea. Los eruditos y teólogos han lanzado todo tipo de creencias y teorías sobre ella. La más extendida es la que afirma que es antigua como la propia Tahnra y la herramienta personal de Donar, su principal vía para manifestarse en el reino mortal cuando lo necesita."
Morale,Moral
"Morale is a Squad's fighting spirit. Player Morale, when high, has a chance to trigger extra turns in combat. Player Morale, when low, decreases attack power significantly.\\PAREnemy Morale, when high, increases attack power significantly, Enemy Morale, when low, decreases attack power significantly, and increases the chance they will willfully Surrender.\\PARMorale is mostly affected by battle victories, but can also be increased through relationships, and traits. Morale can be hurt via combat defeats, especially if the Squad leader falls.","La moral de un pelotón es su espíritu de lucha. Si tu moral está alta, tendrás más probabilidades de activar turnos extra en combate. Si está baja, tu poder de ataque disminuirá significativamente.\\PARDe igual forma, si la moral del enemigo está alta, sus ataques serán más dañinos; si está baja, su poder de ataque disminuirá significativamente y aumentarán las probabilidades de poder obligarlos a rendirse.\\PARLa moral aumenta sobre todo al ganar batallas, pero también al mejorar relaciones y equipar rasgos a los personajes. Perderás moral si pierdes batallas, sobre todo si lo hace el líder del pelotón."
Weather,Clima
"Storm and Blizzards will render Gunners, Dragoons, and Cannons unable to fire, unless you have the 'Breech-Loading Rifle' technology.\\PARHeat Wave can happen in Desert Climates, and causes significant Morale damage to unsheltered squads, unless your Squad is equipped with the 'Desert Warrior' trait.\\PARAll types of Weather have an effect on units depending on their Affinity - see the Quick Reference Guide for Affinity.","Las tormentas y ventiscas evitarán que los artilleros, arcabuceros y cañoneros disparen sus armas a menos que tengas la tecnología «Arma de retrocarga».\\PARPuedes sufrir una ola de calor en climas desérticos, lo que disminuirá bastante la moral de los pelotones no resguardados a menos que te equipes el rasgo «Guerrero de desierto».\\PARCada clima tiene un efecto distinto en las unidades, en función de su afinidad. Consulta las afinidades en la guía de referencia rápida."
Bazaars,Bazares
Bazaars are tents found on the tactical map. Sells Mercenaries and Artifacts higher in quality and rarity than you can purchase at the Home Base.,Los bazares son tiendas de campaña que encontrarás en el mapa táctico. Venden mercenarios y artefactos de alta calidad y rareza que podrás comprar cuando estés en la base de operaciones.
Tidereaver Pirates,Los piratas Cazamareas
"A massive, multi-layered organization of outlaws, warlords, raiders, assassins, extortionists, and slave traders who have connections to many government officials world wide.","Una enorme y diversa organización de forajidos, jefes militares, asaltantes, asesinos, extorsionadores y traficantes de esclavos que se relacionan con varios oficiales gubernamentales de todo el mundo."
The Barek Tor,Los barek tor
"One of the major sapient species of Tahnra outside of the Human realms. Mostly bipedal humanoids who have retained the advantages and drawbacks of their feline ancestors. They boast exceptional agility, night vision, and the ability to dominate the forest landscape far better than Humans. They mostly reside in their home island of Sinarra, a land utterly dominated by the deep jungle.","Una de las razas más inteligentes de Tahnra, además de los humanos. Gran parte de los bípedos humanoides que han conservado las ventajas y defectos de sus antepasados felinos. Cuentan con una gran agilidad, visión nocturna y la capacidad de gobernar los bosques mucho mejor que los humanos. Suelen habitar en su isla nativa de Sinarra, unas tierras repletas de profundas selvas."
Historium Magnus,Historium magnus
"The divine book written after the Battle of Mount Ptolomea, codifying the founding of the Donari Temple. It contains a recounting of the events of the war with Zanatus, the Nephilim and Donar's influence, and of the building of the new Temple and human empires that followed the victory over Zanatus. It is written in a language that has long been nearly extinct.","Libro divino que fue escrito tras la Batalla del Monte Tolomea y que narra la fundación de los Templarios de Donar. Relata los eventos de la guerra de Zanatus, los nefilim y la influencia de Donar, así como el resurgimiento de los nuevos Templarios de Donar y de los imperios humanos que se alzarían tras la derrota de Zanatus. Está escrito en una lengua muerta."
Veridian Civil War,Guerra Civil de Veridia
"Date: Year 997\\PARLocation: Southern Veridia Province\\PARBelligerents: The West comprised of the Duchy of Isanter and the Donari Temple, The East comprised of the Duchy of Rimorgue and the Central Imperial government.\\PARResult: Annihilation of the West and the Duchy of Rimorgue, ascent of the Empire of Archaelus and Emperor Casamir\\PARTerritory changes: The lands of the Donari Temple, Duchy of Rimorgue, and the Duchy of Isanter completely dismanted and absorbed into the Empire of Archaelus\\PARCasualties: 11,000 military deaths","Fecha: año 997\\PARLugar: provincia sur de Veridia\\PARContendientes: naciones occidentales del ducado de Isanter y los Templarios de Donar contra las naciones orientales del ducado de Rimorgue y el Gobierno Central Imperial\\PARResultado: desaparición de las naciones occidentales y del ducado de Rimorgue y ascenso del Imperio de Archaelus y del emperador Casamir\\PARCambios territoriales: las tierras de los Templarios de Donar, el ducado de Rimorgue y el de Isanter desaparecieron, y el Imperio de Archaelus se hizo con su control\\PARBajas: 11 000 militares"
Hand of Zanatus,Mano de Zanatus
"The fully-armored and heavily-armed champion who was unleashed to destroy the Lemelin Monastery. He possesses superhuman strength and magical power, as well as the Blade of Destruction, Balmung, which he wields with unsurpassed skill.","Campeón de férrea armadura y potentes armas que fue liberado con el fin de arrasar el monasterio de Lemelin. Cuenta con una fuerza y un poder mágico sobrehumanos. Además es capaz de blandir la espada de la destrucción, Balmung, con una destreza sin igual."
Treasures,Tesoros
"By walking any Squad on top of a Treasure on the map, we will automatically open the chest, yielding Gold, Resources, or Equipment. There is no need to execute an extra command, simply walk right on top of it.","Si colocas una unidad sobre un tesoro del mapa, abrirás automáticamente el cofre, que podrá otorgarte oro, recursos o equipo. No tendrás que hacer ninguna acción, simplemente colocarte en la casilla del tesoro."
Empire of Archaelus,Imperio de Archaelus
"The current hegemon of the Human world, ruled by Emperor Casamir. Archaelus directly controls all of Veridia and Sandraka nations, and imposes its will over Sayunaa which has become a vassal state. Derives its name from the original Human hegemony that followed the Battle of Mount Ptolomea, which was the first significant Human empire in Tahnra.","Actual potencia líder de la humanidad gobernada por el emperador Casamir. Archaelus controla directamente toda Veridia y Sandraka, además de imponer su férrea voluntad en Sayunaa, actual estado vasallo. Su nombre proviene de la principal potencia que prevaleció tras la Batalla del Monte Tolomea, la cual creó el primer imperio humano relevante en Tahnra."
Mount Ptolomea,Monte Tolomea
"The tallest mountain in the Human realm, which lies at the heart of the massive mountain ranges separating Veridia from Sayunaa. Pathways to this mountain are far too treacherous for travel by foot, other than one path painstakingly carved out over decades, which is tightly-controlled - its only outlet is to the Imperial Palace at Armitage.\\PARMount Ptolomea was the location of the last stand of humanity in the war against Zanatus, the location of Donar's miracle. Today, atop the summit lies the physical portal to the Divine Realm, which has not budged since its brief opening which allowed the power of Donar to flow into the mortal realm.","La montaña más alta del reino humano. Yace en el centro de las enormes cordilleras que separan Veridia y Sayunaa. Los senderos de esta montaña son extremadamente peligrosos como para recorrerlos a pie, a excepción de un camino laboriosamente trazado en las últimas décadas, fuertemente vigilado y cuya única salida conduce al palacio imperial de Armitage.\\PAREsta montaña fue también el enclave de la última batalla de los humanos contra Zanatus, lugar donde Donar obró su milagro. S cima está coronada por un portal físico que conduce al reino divino y que se ha mantenido cerrada a cal y canto desde la última vez que el poder de Donar logró colarse brevemente en el reino mortal."
Nephilim Battlefield Powers,Poderes de combate de los nefilim
"Battlefield skills that can be used at any time, independent of the move/attack turn cycle of our Squads. These powers are charged by the actions and events of the battle, such as dealing or taking damage, time passing, and other triggers.\\PARGalzus's power, Exemplar, reduces damage to one squad by %50, and provokes enemies to attack that squad for one turn. Accumulate this power by taking damage.\\PARLandis's Power, Teleport, teleports one squad up to 5 tiles away without spending movement points or using that squad's turn. Accumulate this power with movement that results in an attack in the same turn.\\PARIshtar's Power, Terror, greatly demoralizes Squads in a 3x3 area of effect. This power accumulates naturally over time.\\PARCyrene's power, Meteor, lands a meteor on a plus-shaped area of effect that damages all units in that squad. Cannot target enemies on Fort or Base tiles. Cannot exceed 50% of MaxHP depleted. Accumulate this power by dealing damage.\\PARDonar's power, Blessing, instantly refreshes one squad that has already spent their movement and/or attack, allowing another full action cycle in the same player phase. Accumulate this power as a sum of all four other Nephilim powers.\\PARTo use, access the ''Powers'' section of the main menu, as pictured above.","Las habilidades de combate se pueden usar en cualquier momento de tu turno, sin importar si aún no has movido o atacado con uno de tus pelotones. Estos poderes se cargan realizando acciones y eventos en la batalla, como causar o sufrir daño, dejar pasar el tiempo, etc.\\PAREl poder de Galzus, Paradigma, reduce el daño de un pelotón un 50 % e incita a los enemigos para que ataquen a ese pelotón durante un turno. Acumularás este poder al sufrir daño.\\PAREl poder de Landis, Teletransporte, te permite recorrer un máximo de 5 casillas de distancia sin consumir puntos de movimiento o usar el turno del pelotón. Acumularás este poder al moverte y atacar en un mismo turno.\\PAREl poder de Ishtar, Terror, desmoraliza enormemente a los pelotones enemigos en una zona de 3x3 casillas. Acumularás este poder con el paso del tiempo.\\PAREl poder de Cyrene, Meteorito, invoca un meteorito en una zona con forma de cruz y daña a los pelotones enemigos que se encuentren en ella. No afectará a enemigos que estén en fuertes o bases, ni podrás dañar a los enemigos por debajo del 50 % de sus PS máx. Acumularás este poder al causar daño al enemigo.\\PAREl poder de Donar, Bendición, reactiva a un pelotón que ya haya consumido su turno y le permite volver a moverse y atacar en la misma fase del jugador. Acumularás este poder como suma de los otro cuatro poderes de nefilim.\\PARPara usar un poder, entra en la sección Poderes del menú principal de combate, como aparece en la siguiente imagen."
Tech Tree,Árbol tecnológico
"We should always invest in Technology whenever we can. Tech advances will offer Army-wide benefits of many different types. There are 4 'tiers' of Technology that we can unlock as our faction continues to advance. To unlock technology, we need to level up Faction Rank. With every promotion in Faction Rank, we will be awarded a haul of Tech Points.\\PARAcademy of War focuses mostly on magic, the elements, and certain specialized warriors such as the Paladin, and War Mages.\\PARTactics and Command will advance our ability to field larger, more tactically-advanced armies, and give us certain specific advantages and new classes, such as the Swordmaster and Champion.\\PARCraftsmanship is the direct application of physical sciences to improve our army's weapons and armor.\\PAREach tech branch has its own 'Capstone' technology, which requires a complete fulfillment of all that branch's techs in the first 3 tiers. If you complete two whole tech trees, you can then unlock 'Dual Capstone's, which represent the ultimate in technological advance available.","Procura invertir puntos en el árbol tecnológico siempre que puedas. Los avances tecnológicos ofrecerán ventajas de todo tipo a tu ejército. Hay 4 grados de tecnología que podrás desbloquear a medida que tu facción avance. Para desbloquear tecnología, tendrás que aumentar el rango de tu facción. Cada vez que el rango de tu facción suba, recibirás unos cuantos puntos tecnológicos.\\PARAcademia bélica se centra sobre todo en la magia, los elementos y ciertos guerreros especializados, como la paladina y los magos bélicos.\\PARTácticas y comandos nos ayudará a mejorar nuestra estrategia, desplegar ejércitos mayores con mejores tácticas y conseguir ventajas específicas y nuevas clases, como la esgrimidora y el campeón.\\PARArtes y avances es la aplicación directa de las ciencias físicas para mejorar las armas y armaduras de nuestro ejército.\\PARCada rama tecnológica tiene su propia «ventaja definitiva», que se activará cuando hayas desbloqueado todas las ventajas de los 3 primeros rangos de esa rama. Si completas dos ramas del árbol tecnológico, podrás desbloquear dos ventajas definitivas, el máximo disponible."
Scions of Dargon,Vástagos de Dargon
"An underground spy organization made up of loyalitsts to the now-deposed Sayunaari monarchy who view the last legitimate monarch as the late King Kasim Dargon, who inherited a broken Sayunaari kingdom after the death of Queen Soha Dargon.","Organización espía clandestina compuesta por los fieles de la derrocada monarquía sayunaari que considera como último monarca legítimo al difunto rey Kasim Dargon, quien heredó el reino de Sayunaa dividido tras la muerte de la reina Soha Dargon."
The Aetherium Crisis,La Crisis de Etérium
"Date: Year 876-877\\PARLocation: Empire of Veridia, Kingdom of Sayunaa, Gondwanna Federation\\PARResult: Destruction of Novas Kedah and Ezrum, reform of the Donari Temple\\PARCasualties: 124,000 civilian deaths\\PARThe great tragedy and climax of the last age of Humanity, which spawned incredible heroes and legends, and set the foundation for the modern age.","Fecha: año 876-877\\PARLugar: Imperio de Veridia, Reino de Sayunaa y Federación de Gondwanna\\PARResultado: destrucción de Novas Kedah y Ezrum, reforma de los Templarios de Donar\\PARBajas: 124 000 bajas civiles\\PARGran tragedia que marcó la última era de la humanidad, de donde surgieron increíbles héroes y leyendas, y que asentó los cimientos de la era moderna."
XP and CP,EXP y PC
