"Imperial Army Camp, Year 997","Campamento del Ejército Imperial, año 997"
Chapter 1: Rebellion,Capítulo 1: Rebelión
Engage with the forces of the Antares Rebellion and seize Eastwall Fortress for the Imperial Army.,Enfréntate a los ejércitos de la Rebelión de Antares y captura la fortaleza de Muroriente para el Ejército Imperial.
"Eastwall Fortress, Year 997","Fortaleza de Muroriente, año 997"
Chapter 2: For Whose Sake?,Capítulo 2: ¿Por el bien de quién?
Antares has fled with Empress Florina to the deep forest. Pursue his army and approach the main rebel hideout at Centurion's Rest.,Antares ha huido con la emperatriz Florina hacia lo profundo del bosque. Persigue a su ejército y acércate al principal refugio de los rebeldes en Descanso del Centurión.
"Centurion's Rest, Year 997","Descanso del Centurión, año 997"
Chapter 3: Crimson Star,Capítulo 3: La estrella carmesí
Antares is trapped in Centurion's Rest. Fight alongside the Imperial Army to besiege Centurion's Rest and destroy the rebellion.,Antares está atrapado en Descanso del Centurión. Lucha junto al Ejército Imperial para asaltar Descanso del Centurión y acabar con la rebelión.
"Secret Prison near Granheim, Year 997","Prisión secreta cerca de Granheim, año 997"
Chapter 4: Paradigm Shift,Capítulo 4: Cambio de paradigma
"Stefan, master spy of the Donari Temple, must pull off a daring rescue from the clutches of the Followers of Zanatus.","Stefan, maestro espía de los Templarios de Donar, debe llevar a cabo un arriesgado rescate de las garras de los Seguidores de Zanatus."
"Granheim Abbey, Year 997","Abadía de Granheim, año 997"
Chapter 5: Divine Hammer of the Donari,Capítulo 5: El martillo divino de los donari
Chapter 5: Divine Hammer,Capítulo 5: El martillo divino
"Time to begin the journey to Lemelin Monastery. We will have to fight our way back, every step of the way.","Es hora de iniciar el viaje al monasterio de Lemelin. Tendremos que abrirnos paso, luchando una vez tras otra."
"Fort Naxos, Year 997","Fuerte Naxos, año 997"
Chapter 6: Journey to Lemelin,Capítulo 6: Viaje a Lemelin
The Tidereaver Pirates have been unleashed upon us. We must hold Fort Naxos against their attack at all costs.,Los Cazamareas nos han asaltado. Debemos proteger el fuerte Naxos de sus ataques cueste lo que cueste.
"Port Jenos, Year 997","Puerto Jenos, año 997"
Chapter 7: Tidereaver,Capítulo 7: Cazamareas
A massive storm has forced the Tidereaver fleet to chain together and wait. We will capitalize on their weakness.,Una enorme tormenta ha obligado a la flota de Cazamareas a agruparse y esperar. Debemos atacar sus puntos débiles.
"Encampment at Greyden Swamp, Year 997","Campamento del pantano de Greyden, año 997"
Chapter 8: Marooned,Capítulo 8: Aislados
"The storm damaged our own ships, forcing us off course. But now, we have the opportunity to annihilate the Tidereaver presence completely.","La tormenta dañó nuestros barcos y nos hizo naufragar, pero ahora tenemos la oportunidad de acabar con los Cazamareas de una vez por todas."
"Lemelin Monastery, Year 997","Monasterio de Lemelin, año 997"
Chapter 9: Sanctuary,Capítulo 9: Santuario
We've reached Lemelin at last. But our enemies are eager to strike at any moment...,Por fin hemos llegado a Lemelin. Pero nuestros enemigos parecen dispuestos a atacar en cualquier momento...
Chapter 10: To War,Capítulo 10: Hacia la guerra
"The Veridian Civil War has begun. We find ourselves aligned with the Western forces, in direct opposition to the Prime Minister. We set out now to save Isanter's capital city, and liberate Trucea.","La Guerra Civil de Veridia ha comenzado. Estamos con el bando del ejército del oeste, enfrentados directamente al primer ministro. Nos dirigimos ahora a la capital de Isanter para poder salvarla y liberar Trucea."
"Trucea, Year 997","Trucea, año 997"
Chapter 11: Deadly Gambit,Capítulo 11: Maniobra letal
"The Eastern forces are off balance. Time to take the fight to their turf. Their main base of operations lies ahead, at Fort Eureeka.","Los ejércitos del este están desequilibrados. Es hora de luchar en su territorio. Su principal base de operaciones está más adelante, en el fuerte Eureeka."
"Fort Eureeka, Year 997","Fuerte Eureeka, año 997"
Chapter 12: Upheaval,Capítulo 12: Alzamiento
"We've taken Fort Eureeka, but the Eastern forces remain steadfast. Man the defenses at Fort Eureeka and prepare for the battle of our lives.","Hemos tomado el fuerte Eureeka, pero los ejércitos del este siguen en pie. Lidera las defensas en el fuerte Eureeka y prepárate para la batalla de tu vida."
"Rimorgue River Valley, Year 997","Valle del río Rimorgue, año 997"
Chapter 13: Conquest,Capítulo 13: Conquista
Casamir has no business leading armies. Let us show him how it is done. Conquer Rimorgue and crush the resistance at Stormrook.,Casamir no tiene ni idea de cómo liderar un ejército. Enseñémosle cómo se hace. Conquista Rimorgue y acaba con la resistencia en Torre Tormenta.
"Westerfield Keep, Year 999","Torreón de Campoeste, año 999"
"Chapter 14: Paladin, Undaunted",Capítulo 14: Una paladina impasible
"Diana's Rebellion has stormed Westerfield Keep, a child detention facility. Wipe out the defenders and free the prisoners.","La rebelión de Diana ha asaltado el torreón de Campoeste, un centro de detención juvenil. Acaba con los defensores y libera a los prisioneros."
