ENGLISH,FRENCH
Steel Arming Sword,Épée en acier
A standard issue sword using the same design for the last Millenium used by Imperial armies.,Une épée standard du même type que celles utilisées par les armées impériales au cours du dernier millénaire.
Elegant Blade,Lame élégante
"An exsquisitely-crafted ceremonial tuck, made for Veridian Emperor Krauser XIII. ","Une lame de cérémonie d'une grande finesse, fabriquée pour l'empereur de Veridian, Krauser XIII. "
Flame Saber,Sabre de flammes
A sword bearing a flame enchantment from the depths of Mount Karnac.,Une épée portant un enchantement de feu provenant des profondeurs du Mont Karnac.
Steelshatter,Brisacier
An ancient blade made from a forgotten material designed to penetrate armor. ,"Une ancienne lame faite d'un matériau oublié, conçue pour pénétrer les armures. "
Excalibur,Excalibur
"A holy blade designed by the Donari Temple centuries ago to be a likeness of Lightfury. While not infused with Donar's divine power, the sword bears extraordinary magical enchantments.","Une lame sacrée conçue par le Temple Donari il y a des siècles pour ressembler à la lame Furie du Ciel. Bien qu'elle ne soit pas imprégnée du pouvoir divin de Donar, l'épée porte des enchantements magiques extraordinaires."
Sin Credo,Sin Credo
"A mysterious weapon that draws vitality to the user from its surroundings, granting the user unnatural new abilities.","Une arme mystérieuse qui puise la vitalité de son utilisateur dans son environnement, lui conférant de nouvelles capacités contre nature."
Steel Greatsword,Espadon en acier
A standard issue longsword using the same design for the last Millenium used by Imperial armies.,Un espadon standard du même type que celles utilisées par les armées impériales au cours du dernier millénaire.
Giant's Thresher,Batte de géant
A lost race of Giants occupy the extreme Western edges of the known world. Some of their tools have made it to human lands.,Une race perdue de Géants occupe l'extrême limite occidentale du monde connu. Certains de leurs outils sont parvenus jusqu'aux terres humaines.
Kesh's Daikatana,Daikatana de Kesh
"A unique, elegant longsword designed by the ""Slayer of Genbu"", the late Master Kesh.","Une épée longue unique et élégante conçue par le « tueur de Genbu », feu Maître Kesh."
Dragonslayer,Tueur de dragons
"A longsword bearing an enchantment derived from the blood of Adorimetra, Mother of Dragons. ","Une épée longue portant un enchantement dérivé du sang d'Adorimetra, la Mère des Dragons. "
Balmung,Balmung
"The divine blade of Saint Ishtar, Nephilim Avatar of Sacrifice.","La lame divine de Saint Ishtar, Avatar Nephilim du Sacrifice."
Sayunaari War Pike,Pique de guerre Sayunaari
A tried and true staple of the venerated Sayunaari defense forces.,Un équipement de base indémodable des forces de défense des Sayunaari.
Crystal Lance,Lance de Cristal
A relic of the Donari Temple designed to counter dark magic.,Une relique du Temple de Donar conçue pour contrer la magie noire.
