Change to,Changer en
Demote to,Rétrograder en
Promote to,Promouvoir en
(Unit perma-death is suspended),(La mort permanente de l'unité est suspendue)
Start a new game with these settings?,Commencer une nouvelle partie avec ces paramètres ?
Reload the base?\NEWLINEData will be restored to when you last entered or saved in the base.,Recharger la base?\NEWLINELes données seront restaurées à la dernière fois que vous êtes\NEWLINEentré ou avez sauvegardé dans la base.
Return to title?\NEWLINEAll unsaved progress will be lost.,Retourner à l'écran titre ?\NEWLINEToute progression non sauvegardée sera perdue.
Are you sure you want to exit the game?\NEWLINEAll unsaved progress will be lost.,Voulez-vous vraiment quitter le jeu ?\NEWLINEToute progression non sauvegardée sera perdue.
Select a difficulty,Sélectionnez une difficulté
Enable helpful hints throughout the game. Can be toggled in Options.,Activer les conseils utiles tout au long du jeu. Peut être activé dans les options.
Non-story characters incapacitated at the end of a mission are \NEWLINElost forever. Their resources will be refunded.,Les personnages qui ne font pas partie de l'histoire et qui sont\NEWLINEéliminés à la fin d'une mission sont perdus\NEWLINEà jamais. Leurs ressources seront restituées.
Begin the game,Commencer le jeu
Deploy to the this side mission?,Déployer dans cette mission annexe ?
"WARNING! After completing this chapter, the threads of time will be disrupted, and some side quests will no longer be available. \\LINEAre you sure?","AVERTISSEMENT ! Après avoir terminé ce chapitre, le fil du temps sera perturbé et certaines quêtes secondaires ne seront plus disponibles. \\LINEVoulez-vous vraiment continuer ?"
Deploy to the next Mission?,Déployer vers la prochaine mission ?
Are you sure you want to exit?\NEWLINEAll unsaved progress will be lost.,Voulez-vous vraiment quitter ?\NEWLINEToute progression non sauvegardée sera perdue.
Restore settings to default?,Restaurer les paramètres par défaut ?
"These two will be bound together, preventing any other such bonds.\NEWLINE Are you sure?","Ces deux héros seront liés, empêchant toute autre liaison de ce type.\NEWLINEConfirmer ?"
Are you sure you want to sell this item?,Voulez-vous vraiment vendre cet objet ?
Item will be unequipped and sold.,L'objet sera déséquipé et vendu.
Are you sure you want to purchase this?,Voulez-vous vraiment faire cet achat ?
Are you sure you want to hire this mercenary?,Voulez-vous vraiment engager ce mercenaire ?
Are you sure you want to skip the cutscene?,Voulez-vous vraiment passer la scène ?
Are you sure you want to skip all cutscenes (until next gameplay)?,Voulez-vous vraiment ignorer toutes les scènes (jusqu'au prochain temps de jeu) ?
Are you sure you want to quicksave?\NEWLINEPrior Quicksave will be overwritten.,Voulez-vous vraiment faire une sauvegarde rapide ?\NEWLINELa sauvegarde rapide précédente sera écrasée.
