ENGLISH,FRENCH
Duke Jaromir.\! How are the Emborian troops holding up?,Duc Jaromir.\! Comment se portent les troupes d'Emboria ?
"Well... I knew you were a man of few words, but you've really outdone yourself.","Eh bien... Je vous savais de peu de mots, mais là vous m'épatez."
...\| I find it difficult to fathom your existence.,...\| Je trouve difficile de concevoir votre existence.
...Still?!,Encore ?!
The idea of you continues to defy my understanding.\! You are...\| holy Donar.,Votre simple présence continue de mettre ma compréhension à mal.\! Vous êtes...\| le Saint Donar.
Nope.\! \n[8].,Non.\! \n[8].
"I know the scriptures like they were my own children.\! Donar stands before me.\! You are the embodiment of truth, and the bringer of light.",Je connais les écrits comme mes propres enfants.\! Donar se tient devant moi.\! Vous êtes l'incarnation de la vérité et celui qui apporte la lumière.
"Okay...\| sure.\! It is I, holy Donar!\! Gaze upon my radiance!\! I come to bring the ultimate truth in the universe!","Ouais...\| sûrement.\! C'est moi, le très Saint Donar !\! Que mon rayonnement vous aveugle !\! Je suis venu apporter la vérité ultime dans l'univers !"
"...You underestimate my faith, \n[8].\! Even through your jokes, my soul is shaken to its core.","... Vous sous-estimez ma foi, \n[8].\! Mon âme reste émue malgré vos pitreries."
"Sheesh.\! You ARE dedicated.\! Jaromir...\| I like you.\! You are... so noble, like a throwback to a nobler time.\! Please don't lower yourself to this.\! I am nothing special.","Eh bien...\! ÇA c'est de la dévotion.\! Jaromir...\| Je vous apprécie.\! Vous êtes si... noble. Comme si on était en ces temps où les gens savaient se comporter.\! S'il vous plaît, ne vous rabaissez pas à ça.\! Je ne suis rien de spécial."
"...Please, be my wife, \n[8].","...Acceptez d'être mon épouse, \n[8]."
...Wha-wha-whaaat?!,Ohlà ohlà ohlà !
"You have changed my life. Nay, the whole world.\! Your return to this world has given me purpose.\! Have I not been of benefit to you, \n[8]?","Vous avez changé ma vie. Que le monde m'en soit témoin.\! Votre retour en ce monde a redonné un but à ma vie.\! Ne vous ai-je pas été utile, \n[8] ?"
"Of course!\! I mean... no one else believes as strongly as you!\! It is quite a leap to try and wife me, though, fella!","Bien sûr que oui !\! Je veux dire que personne n'a autant la foi que vous !\! Par contre, c'est sacrément culotté de me demander en mariage !"
...May I know your answer?,Puis-je connaître votre réponse ?
"Well...\! You know how I like to think things over, but...","Eh bien...\! Vous savez que je n'aime pas me précipiter, mais..."
"What woman doesn't dream of a man like you, solemnly professing his dedication?","Quelle femme rejetterait un homme comme vous, si dévoué et honnête dans ses croyances ?"
"Okay, well, not the quickest on the uptake there, Duke.\! Yes! I accept.","Bon quand même un tantinet trop direct dans ses intentions, cher Duc.\! Oui ! J'accepte !"
That warms my heart greatly.\! You shall make a fine Duchess.,Cela met mon cœur en joie.\! Vous ferez une incroyable Duchesse.
"Whoa there, Duchess?\! I am apparently the reincarnation of your god, and you'd demote me to Duchess?!\! I think I'll make you my Mr. Donar instead. Ha ha ha...",Hein ? Comment ça « Duchesse » ?\! Je suis l'incarnation d'un Dieu et me voilà tout d'un coup « Duchesse » ?\! C'est plutôt vous qui allez devenir mon M. Donar. Ha ha ha...
