"Rest in peace, Kuroda.","Repose en paix, Kuroda."
"That makes 18 souls you've asked me to send to the void. Is your bloodlust sated yet, or do you have a 19th for me?!","Cela fait 18 âmes que tu m'as demandé d'envoyer dans le néant. Ta soif de sang est-elle déjà rassasiée, ou en as-tu une 19ème à me proposer ?!"
"Stay your weapons, Razehl. I surely wouldn't want to cross blades with the likes of you!","Garde tes armes, Razehl. Je ne veux certainement pas me retrouver à devoir me battre avec des gens comme toi !"
"That man you just defeated... Kuroda, they called him. Well, little do these people know. His name was something else entirely.\! But that is no matter to you or I anymore, is it?","Cet homme que tu viens de vaincre... Kuroda, ils l'ont appelé. Ces gens sont loin de s'en douter. Son nom était complètement différent.\! Mais cela n'a plus d'importance pour toi ou moi, n'est-ce pas ?"
"I am in no mood for riddles. If you have business with me, out with it, old man.","Je ne suis pas d'humeur pour les devinettes. Si tu as des affaires à me confier, vas-y, vieil homme."
"I've been watching you, Razehl. I have a keen eye for true talent. And it would seem, you've proven me right.\! I've paid off these men, who have kept you as some...\| toy. Some implement of their puerile amusement.\! No, henceforth, you will be who you were made to be. The title of Kuroda... this title has spanned generations. An instrument of death. Kingmaker, and godslayer!\! That title is now yours. As so too are its many, many rewards - I'll see to that.","Je t'ai observé, Razehl. J'ai l'œil pour repérer les vrais talents. Il semblerait que tu m'aies donné raison.\! J'ai payé ces hommes, qui t'ont gardé comme un... \| jouet. Un instrument de leur divertissement futile. \! Non, dorénavant, tu seras ce que tu es censé être. La fonction de Kuroda... ce titre a traversé les générations. Un instrument de la mort. Faiseur de roi et tueur de dieux ! \!  Ce titre est désormais le tien. Tout comme ses nombreuses récompenses, et j'y veillerai."
...And you expect me to do as you ask now?,...Et tu t'attends à ce que je fasse ce que tu me demandes maintenant ?
"You will. Not because it is my wish, but because it is yours. I know your heart, young Kuroda. Boiling, brimming with a desire for justice.\! Against the men who took your parents from you... took your future away, and any chance at peace.\! Together, we will cut them down, Kuroda. You need but trust me, little by little, as I lead you ultimately to their timely demise.","Tu le feras. Non pas parce que c'est mon souhait, mais parce que c'est le tien. Je connais ton cœur, jeune Kuroda. Bouillant, débordant d'un désir de justice.\! Contre les hommes qui t'ont enlevé tes parents... qui t'ont privé de ton avenir et de toute chance de paix.\! Ensemble, nous les vaincrons, Kuroda. Tu n'as qu'à me faire confiance, petit à petit, pour que je te mène à leur perte."
You're right.,Tu as raison.
Direct my blade. May the dogs calling for war never breathe again...,Guide ma lame. Que les chiens qui appellent à la guerre ne respirent plus jamais...
"All in due time. The great lords of Ezrum, Calador, Reza, and Qurmad, and the Regent Lord of Sayunaari Palace must die.\! It is no concern of the Sayunaari people, for I have suitable replacements for all, ready to fill the void.\! Rest assured, I will see to it that they no longer act rashly, or for self-interest, but rather for the betterment of your people. Stability, and peace, at long last.","Chaque chose en son temps. Les grands seigneurs d'Ezrum, de Calador, de Reza et de Qurmad, ainsi que le seigneur du palais de Sayunaari doivent mourir. \! Cela ne concerne pas le peuple de Sayunaari, car j'ai des remplaçants convenables pour tous, prêts à combler le vide.\! Rassure-toi, je veillerai à ce qu'ils n'agissent plus de façon irréfléchie ou par intérêt personnel, mais plutôt pour le bien de ton peuple. La stabilité et la paix, pour de bon."
