"\c[1]The Avatar of Donar's army is victorious today. The catastrophe has been avoided, the brood continuity of my kin is protected.","\c[1]L'armée de l'Avatar de Donar est victorieuse aujourd'hui. La catastrophe a été évitée, la pérennité des couvées de ma parenté est protégée."
"Those boys were no joke. I've never seen the Archaelus armies fight with such fervor. What gives, dragon?","Ces gars-là ne plaisantaient pas. Je n'ai jamais vu les armées d'Archaelus se battre avec une telle ferveur. Qu'est-ce qui se passe, dragon ?"
"\c[1]Brief is the timeline of a human's life. Not brief is mine. Also not brief is the timeline of the forces arrayed against the Avatar of Donar.\! Ageless, is the dark one. The one not of the essence of Tahnra's creation.",\c[1]La vie d'un être humain est brève. La mienne ne l'est pas. La chronologie des forces qui s'opposent à l'Avatar de Donar l'est également.\! Les ténèbres ne vieillissent pas. Celui qui n'est pas de l'essence de la création de Tahnra.
Zanatus.,Zanatus.
"\c[1]The one not of Tahnra bears an understanding beyond that which is possible within one mere timeline of the human.\! This empire named Archaelus, this army named Nephilim Army. Brief contrivances these are, to the dark one.\! To him, the mission is one that spans millennia. As long as his life. As my life.","\c[1]Celui qui n'est pas de Tahnra possède une compréhension qui dépasse ce qui est possible dans une seule ligne temporelle de l'humain.\! Cet empire nommé Archaelus, cette armée nommée Nephilim Army. Pour les ténèbres, ce ne sont que de brefs artifices.\! Pour lui, la mission s'étend sur des millénaires. Aussi longtemps que sa vie. Comme la mienne."
"Yeah, I think that's pretty clear at this point. So, what exactly is this mission of his, anyway? The one I keep getting told I couldn't possibly understand?","Oui, je pense que c'est assez clair à ce stade. Quelle est donc sa mission au juste ? Celle dont on me dit sans cesse que je ne peux pas comprendre ?"
So...,Alors...
"Dear Azuros, please trust \n[8] with your wisdom!","Cher Azuros, faites confiance\n[8] à votre sagesse !"
"\c[1]Adorimetra, the Gold. Mother of all of my kin. Mother of Azuros.\! First born of Donar in all Tahnra. First to awaken, when the god of creation awakened this world.\! Just as the Avatar of Donar stands before Azuros, so too does Azuros live.\! The dark one is not a descendant of Adorimetra. Not a descendant of Donar. An infestation.\! The mission of the human's timeline is to destroy, or to impede Zanatus.\! To destroy his body, and followers, and most crucially, his words. Words he has infused within the language of the mortal beings of Tahnra. Words which will be the undoing of all things.\! Words whose nature lie beyond even the understanding of Azuros...","\c[1]Adorimetra, l'Or. Mère de tous mes proches. Mère d'Azuros.\! Première née de Donar dans tout le Tahnra. Première à s'éveiller, lorsque le dieu de la création a éveillé le monde.\! Tout comme l'Avatar de Donar se tient devant Azuros, Azuros vit également. \! Les ténèbres ne sont pas un descendant d'Adorimetra. Pas un descendant de Donar. Une infestation.  \! La mission de la ligne temporelle de l'humain est de détruire, ou d'entraver Zanatus. \!Détruire son corps, ses adeptes et, surtout, ses mots. Des mots qu'il a insufflés dans le langage des êtres mortels de Tahnra. Des mots qui vont causer la perte de toutes les choses.\! Des mots dont la nature dépasse même la compréhension d'Azuros..."
"An infestation. Interesting choice of words, Azuros. Everything else has been about some overwhelming power of creation.\! You, me, Abigayle, the magic that brought me back... all living things, all elements of nature, even Casamir, perhaps. But the one outlier is Zanatus.\! Any insight into what exactly he is, then?","Une infestation. Le choix des mots est intéressant, Azuros. Tout le reste parlait d'une énorme puissance de création.  \!Vous, moi, Abigayle, la magie qui m'a ramené... tous les êtres vivants, tous les éléments de la nature, même Casamir, peut-être. Cependant, le seul cas particulier est celui de Zanatus.  \!Avez-vous une idée de ce qu'il est exactement ?"
"I'm sorry, \n[8], this is all Dear Azuros knows. I feel a great regret within him. There is very little he doesn't know, thus the nature of Zanatus frustrates him greatly!","Je suis désolé,\n[8], c'est tout ce que Cher Azuros sait. J'éprouve un grand regret en lui. Il y a très peu de choses qu'il ne sait pas, donc la nature des Zanatus le frustre énormément !"
\c[1]Abigayle.,\c[1]Abigayle.
"Yes, Dear Azuros?","Oui, Cher Azuros ?"
"\c[1]The one named ""Nibbler"" has found counsel in me. He cares for Abigayle greatly. The young dragon's request will be fulfilled.\! In times ancient, there was one called ""Queen of Dragons"". This title will now return to Tahnra.\! Queen of Dragons Abigayle. The power of dragonkind is now yours to wield.","\c[1]Celui qui s'appelle ""Nibbler"" a trouvé en moi un conseiller. Il s'inquiète beaucoup pour Abigayle. La demande du jeune dragon sera exaucée.\! Dans les temps anciens, il y avait une personne qui se nommait ""Reine des Dragons"". Ce titre revient maintenant à Tahnra.\! Reine des dragons Abigayle. Le pouvoir de l'humanité des dragons t'appartient désormais."
Queen of Dragons...?,Reine des Dragons... ?
"It's a little on the nose if you ask me, but hey, might as well make it official.","À mon avis, c'est un peu exagéré, mais bon, autant l'officialiser."
"\c[1]Abigayle can now become the ""Queen of Dragons"" unit, an incredibly powerful new type of Dragon Rider. Access this new class in the Class Change menu.","\c[1]Abigayle peut maintenant devenir la ""Reine des dragons"", un nouveau type de dragonnier incroyablement puissant. Accède à cette nouvelle classe dans le menu Changement de classe."
