ENGLISH,JAPANESE
XP Codex,経験値の写本
Used to instantly level up any Unit in your Army. Can only be used on a Unit with a lower level than your highest leveled Unit.,選択したユニットを瞬時にレベルアップする。ただし、自軍で最もレベルの高いユニットには使用できない。
CP Codex,熟練度の写本
Used to increase the Class Mastery of the current Class of any Unit in your Army by 500.,選択したユニットのクラス熟練度を500増加させる。
Bronze Arena Token,闘技場の銅メダル
"""The Imperial Academy has not sanctioned these gladitorial games, but is happy to recruit its victors.""",「帝国士官学校は剣闘試合を許可していないが、その勝者は喜んで採用する」
Silver Arena Token,闘技場の銀メダル
"""The Emborian Tundra is vast and harsh, and forges much more resilient warriors.""",「エンボーのツンドラは広大かつ過酷であり、体力溢れる戦士を育成する」
Gold Arena Token,闘技場の金メダル
"""In the deserts of Sayunaa lies a fortress hidden in the cliffs. A location soaked with the blood of many generations of gladiators.""",「サユナーの砂漠の断崖に、隠された要塞がある。そこは、幾年にもわたって剣闘士の血が染み込んだ場所だ」
Platinum Arena Token,闘技場のプラチナメダル
Proof of Merit,功績の証書
Use on a Tier 3 unit with maxed CP to upgrade them to a gold version of their current class. Will no longer be able to class change.,CPが最大になっているティア3ユニットに使用すると、現行クラスのゴールドバージョンにアップグレードする。これを使うと、以後クラスチェンジはできなくなるので注意。
Iron,鉄
"This common resource is a staple of any army, and is used to create steel equipment. ",この汎用資源はあらゆる軍隊にとって重要であり、装備の制作などに使用される。
Obsidian,黒曜石
"An exotic, dense, super-tensile material master blacksmiths can use to greatly augment steel equipment. While weapons become slightly heavier, they become much more deadly.",熟練の鍛冶屋が鋼鉄製の装備を強化するために使用する、エキゾチックかつ高密度、高伸張の素材。武器がわずかに重くなるが、その威力は大幅に上がる。
Sunstone,日長石
A rare and precious stone that exhibits the unique ability to focus and enhance healing and Light magics.,治癒と光の魔法を集中し、強化する力を持つ、希少かつ貴重な石。
Gems,宝石
Somewhat commonly-found gemstones that are required in most magicraft.,様々な魔術に求められる、一般的な宝石。
Pyrocite,パイロサイト
"The most precious resource of our time. This highly unstable ore has been useless until recently. Now, we can harness its explosive power.",世で最も貴重な資源。この非常に不安定な鉱石は、最近まで実用性すら見出されていなかった。現在では、その爆発力の利用法が普及している。
Horses,馬
Specially-bred war horses large and brave enough to enter the flames of battle.,大きく勇敢な性質に品種改良された軍馬。
Tech Points,技術ポイント
Donari Chronicle,ドナー年代記
"Used by Squad Leaders only to simulate defeating an enemy squad of 6 equal level units,
granting XP and CP, as well as LDR and Loyalty progress to the whole squad.","部隊リーダーのみが使用でき、同じレベルの6ユニットからなる敵部隊を倒すシミュレーションを行うことができる。
XPとCPを与えるだけでなく、チーム全体のLDRと忠誠を向上させる。"
Mint Leaves of Magic,魔法のミント
Used to increase a Unit's MAG by a small amount.,ユニットのMAGをわずかに上げる。
Roast Beef of Might,力のローストビーフ
Used to increase a Unit's STR by a small amount.,ユニットのSTRをわずかに上げる。
Apple of Agility,敏捷のリンゴ
Used to increase a Unit's SKL by a small amount.,ユニットのSKLをわずかに上げる。
Salmon of Health,体力のサーモン
Used to increase a Unit's MaxHP by a small amount.,ユニットの最大HPをわずかに上げる。
Medal of Valor,勇気のメダル
"Increase a unit's LDR by +3 up to 50, +2 up to 60, +1 up to 70, cannot be used on a Unit with 70+ LDR.",ユニットのLDRを50未満の場合は3、60未満の場合は2、70未満の場合は1上げる。70以上のユニットには使用できない。
Affinity: Earth,属性:地
"Change a unit's Affinity to Earth. Stats will change retroactively. ++HP, -SKL","ユニットの属性を「地」に変更し、それに応じて次のようにステータスを変更する。
++HP, -SKL"
Affinity: Water,属性:水
"Change a unit's Affinity to Water. Stats will change retroactively. +HP, -STR, -SKL, + MAG","ユニットの属性を「水」に変更し、それに応じて次のようにステータスを変更する。
+HP, -STR, -SKL, + MAG"
Affinity: Lightning,属性:雷
