ENGLISH,JAPANESE
"Hey Narima, how'd you end up hanging around the Tidereavers?",ああ、ナリマ。君はどうしてタイドリーバーに捕まったんだ？
"When the Tidereavers raid your home town, kill all the men and take all the women and children, one must find a way to survive.\! The Tidereavers have been my whole life...",やつらは私の故郷を襲撃し、男を全員殺し、女子供をさらった。それでも、なんとかして生き延びなければならなかったの。\!タイドリーバーは私の人生のすべてを奪ったわ...
Sounds familiar. Doing anything at all just to see another day.,その気持ちはよくわかる。今日と明日を生きるために、なんでもしなければならないという境遇は、私も経験した。
"Yes, it seems your Succession War made life hard for a great many, in both your country and in mine.",そうね、あなたの国でも私の国でも、かの継承戦争は多くの民の生活を破壊した。
"Sayunaa, right?",君の国とは、サユナーのことだろう？
A young Veridian knows my country? Unusual.,あら、若いベリディア人が私の国を知ってるですって？これは珍しい。
"Guess your features just seem familiar.\! My good friend, Jules, was adopted by a wealthy family in Veridia, but he's an orphan from Sayunaa.\! You two could be cousins, perhaps.",サユナー人の友達がいるからな。\!ジュールスはベリディアの裕福な家庭に育ったが、実はサユナー人の孤児だったんだ。\!ひょっとして、君と彼は親戚なのかもしれない。
"Jules...?\| Yes, I have seen him among your cohort...\| So innocent and unspoiled by the evils of our world...",ジュールス...？\|ああ、そういえばそんな人がいたわね...\|こんなひどい時代に生まれたのに、あまりにもお人好しで、純粋で...
...What's the matter?,...ん、どうかしたのか？
...\| It is nothing.,...\|いいえ、何も。
"Well anyway, glad to have you among us, Narima.\! I'm sure your knowledge of the Tidereavers will come in handy.",とにかく、君のような心強い味方ができて、本当にうれしいよ、ナリマ。\!そのタイドリーバーに関する知識も、今後の戦いで役立つ時が来るだろう。
"I will be ever grateful for my freedom.\! My bow is yours to command, Veridian.",あなたには既に、返せない程の恩があるわ。\!私の弓が必要な時は、いつでも使いなさい。
