"Rest in peace, Kuroda.",安らかに眠れ、クロダよ。
"That makes 18 souls you've asked me to send to the void. Is your bloodlust sated yet, or do you have a 19th for me?!",これで、18人の魂を冥府に送った。お前たちの血を見る願望は、もう満たされただろう？　それとも、19人目を用意するのか！？
"Stay your weapons, Razehl. I surely wouldn't want to cross blades with the likes of you!",武器を納めるがいい、ラゼール。この私とて、お前程の男と刃を交えたくはないのでな！
"That man you just defeated... Kuroda, they called him. Well, little do these people know. His name was something else entirely.\! But that is no matter to you or I anymore, is it?",お前が倒したその男...クロダと呼ばれていたが、ほとんど素性もわからんのだ。元々、その名は本名ですらない。\!まあ、そんなことは、今となってはどうでもいい話だが...
"I am in no mood for riddles. If you have business with me, out with it, old man.",悪いが、今は無駄話に興じる気分ではない。用があるならさっさと言え。
"I've been watching you, Razehl. I have a keen eye for true talent. And it would seem, you've proven me right.\! I've paid off these men, who have kept you as some...\| toy. Some implement of their puerile amusement.\! No, henceforth, you will be who you were made to be. The title of Kuroda... this title has spanned generations. An instrument of death. Kingmaker, and godslayer!\! That title is now yours. As so too are its many, many rewards - I'll see to that.",お前の闘いぶり、とくと見させてもらったぞ、ラゼール。私は人を見る目には、特に自信がある。そしてどうやら今回も、それに狂いはなかったようだ。\!私はすでに、かつてお前を弄んだ男たちに...報いを与えた。\|拷問や虐待という、幼稚な娯楽に手を染めた者どもにな。\!そしてこれよりお前は、本当の自分に目覚めるのだ。栄えある「クロダ」の名を襲名して...。その称号は世代を超えて受け継がれてきた。究極の殺戮兵器として、王の意志の執行人として、そして神殺しをなす者として！\!その偉大なる名が今、お前のものになったのだ。そして今後は、任務執行の対価として、莫大な報酬を得ることになるだろう...
...And you expect me to do as you ask now?,...この私が、お前の望みに気安く応じるとでも？
"You will. Not because it is my wish, but because it is yours. I know your heart, young Kuroda. Boiling, brimming with a desire for justice.\! Against the men who took your parents from you... took your future away, and any chance at peace.\! Together, we will cut them down, Kuroda. You need but trust me, little by little, as I lead you ultimately to their timely demise.",ああ、応じるとも。なぜならそれは、お前の望みでもあるからだ。お前の考えていることはわかるぞ、若きクロダよ。燃え盛るような正義への渇望。\!己の親の仇...平和な生と未来を奪った者への復讐だ。\!ならばその夢、私と共に叶えようではないか。さあ、信じてついてくるがよい。1人ずつ、確実に、お前を苦しめた者たちを、地獄の底に送ってやるのだ...
You're right.,いいだろう。
Direct my blade. May the dogs calling for war never breathe again...,我が刃を導くがいい。戦好きの貴族や政治家どもを...あの血に狂った畜生どもを、己の体から噴き出す血で窒息させてやる...
"All in due time. The great lords of Ezrum, Calador, Reza, and Qurmad, and the Regent Lord of Sayunaari Palace must die.\! It is no concern of the Sayunaari people, for I have suitable replacements for all, ready to fill the void.\! Rest assured, I will see to it that they no longer act rashly, or for self-interest, but rather for the betterment of your people. Stability, and peace, at long last.",そうとも。エズラム、カラドール、レザ、クアマッドの領主、そしてサユナー宮殿の宰相に...然るべき死を与えるのだ。\!だが、サユナーの民については、心配はいらぬ。その穴を埋める後任者は、すでに用意してあるからな。\!ゆえに安心するがいい。今後お前の国の指導者が早まったことをせず、己の利を追求せず、民のために尽くすよう、影から取り計らってくれよう。それにより、世に長きにわたる安定と平和がもたらされるだろう...
