"\c[1]The Avatar of Donar's army is victorious today. The catastrophe has been avoided, the brood continuity of my kin is protected.",\c[1]このたび、ドナーの化身の軍は勝利した。悲劇は回避され、血族の継承者は守られた。
"Those boys were no joke. I've never seen the Archaelus armies fight with such fervor. What gives, dragon?",いやあ、苦しい戦いだったな。アルケロス帝国軍が、死に物狂いになって抵抗するとは...これは一体どういうことなんだ、竜よ？
"\c[1]Brief is the timeline of a human's life. Not brief is mine. Also not brief is the timeline of the forces arrayed against the Avatar of Donar.\! Ageless, is the dark one. The one not of the essence of Tahnra's creation.",\c[1]人の生は短いが、竜の生はそうではない。また、ドナーの化身の敵も同様だ。\!時なき者...暗黒の存在...ターンラの創造物でなきもの。
Zanatus.,ザナトゥスか。
"\c[1]The one not of Tahnra bears an understanding beyond that which is possible within one mere timeline of the human.\! This empire named Archaelus, this army named Nephilim Army. Brief contrivances these are, to the dark one.\! To him, the mission is one that spans millennia. As long as his life. As my life.",\c[1]ターンラに属さぬものは、儚き存在である人間が想像にも及ばぬような、悠久への深い理解を持っている。\!かの者の帝国は、アルケロスの名を得て、我らはネフィリム軍の名を得た。だが、この戦いの背後には、暗黒なる者の計略がある。\!かの者にとって、それは数千年もの時をかけた大業なのだ。己の生のすべてをつぎこむほどのな。
"Yeah, I think that's pretty clear at this point. So, what exactly is this mission of his, anyway? The one I keep getting told I couldn't possibly understand?",なるほど、それは私もだんだんとわかってきている。しかし、その男の数千年の悲願とは、一体何なのだろう？　それが、いくら考えてもわからないのだ。
So...,だから...
"Dear Azuros, please trust \n[8] with your wisdom!",アズロス、\n[8]を信じて。この人に、知れる限りのすべてを明かして！
"\c[1]Adorimetra, the Gold. Mother of all of my kin. Mother of Azuros.\! First born of Donar in all Tahnra. First to awaken, when the god of creation awakened this world.\! Just as the Avatar of Donar stands before Azuros, so too does Azuros live.\! The dark one is not a descendant of Adorimetra. Not a descendant of Donar. An infestation.\! The mission of the human's timeline is to destroy, or to impede Zanatus.\! To destroy his body, and followers, and most crucially, his words. Words he has infused within the language of the mortal beings of Tahnra. Words which will be the undoing of all things.\! Words whose nature lie beyond even the understanding of Azuros...",\c[1]黄金竜アドリメトラは、我が血族の母であり、このアズロスの母。\!ターンラで最初に生まれしドナー、創造神が世界を作った時、最初に目覚めし者。\!そして、ドナーの化身も、アズロスも、そちら側に属すのだ。\! 対して闇の者は、アドリメトラの子孫でも、ドナーの子孫でもない。恐ろしき疫病である。\!人間の使命は、ザナトゥスを食い止め、粉砕することだ。\!ザナトゥスを破壊し、その従者を破壊し、そして何より、その言葉を破壊することが求められるのだ。かの者がターンラの人民に吹き込んだ言葉を、世のすべてを破滅に追いやるその言葉を、\!このアズロスの理解をも超えた呪われし言葉を、永久に葬らねばならない...
"An infestation. Interesting choice of words, Azuros. Everything else has been about some overwhelming power of creation.\! You, me, Abigayle, the magic that brought me back... all living things, all elements of nature, even Casamir, perhaps. But the one outlier is Zanatus.\! Any insight into what exactly he is, then?",疫病...か。それは興味深い言い方だな、アズロス。創造神に属さぬ唯一の存在。\!あなたも、私も、アビゲイルも、すべての生きとし生ける者が ―あのカサミールでさえも― 創造の力の下にある。だが、その外にあるのがザナトゥス、か。\!では、やつの存在とは一体何なのだろう？
"I'm sorry, \n[8], this is all Dear Azuros knows. I feel a great regret within him. There is very little he doesn't know, thus the nature of Zanatus frustrates him greatly!",ごめんなさい、\n[8]。アズロスにわかることは、ここまでみたい。なんだか、すごく申し訳なく思ってるみたいよ。アズロスが知らないことなんて、ほとんどないのに...ザナトゥスの本質は、彼にも悩みの種みたい！
\c[1]Abigayle.,\c[1]アビゲイルよ。
"Yes, Dear Azuros?",何、アズロス？
"\c[1]The one named ""Nibbler"" has found counsel in me. He cares for Abigayle greatly. The young dragon's request will be fulfilled.\! In times ancient, there was one called ""Queen of Dragons"". This title will now return to Tahnra.\! Queen of Dragons Abigayle. The power of dragonkind is now yours to wield.",\c[1]「カミカミ」なる者が、進言をよこした。なんでも、アビゲイルをとても気にかけているという。ゆえに、その若き竜の願いを果たしたい。\!太古の昔には、「竜の女王」と呼ばれる存在がいた。そしてその称号は、今の世に再び蘇ることとなる。\!竜の女王アビゲイルよ、これからは我が血族を、自らの手足として使うがよい。
Queen of Dragons...?,竜の女王...？
"It's a little on the nose if you ask me, but hey, might as well make it official.",なんだかすごい響きの称号だが、もらっておくに越したことはないだろう。
"\c[1]Abigayle can now become the ""Queen of Dragons"" unit, an incredibly powerful new type of Dragon Rider. Access this new class in the Class Change menu.",\c[1]アビゲイルは今後、超強力な新しいタイプの竜騎兵「ドラゴンクイーン」になることができます。「クラスチェンジ」メニューから、この新クラスに変更することができます。
