ENGLISH,JAPANESE
World Lore,伝説
Tactics and Strategy,戦略
Class List,クラス一覧
Terrains,地形
Reference Guide,ガイド
Tutorial,チュートリアル
Tahnra,ターンラ
"Our world. Creation of Donar. The first sapient life were the Earthenfey, who populated our world in its primal state. Now, Tahnra houses Humans, Skyborn, Barek Tor, and Demyrians. Our current story takes place entirely in the Human lands, but there is a vast, rich world beyond our borders.",我らが世界。ドナーの創造物。最初の知的生命体はアーセンフェイであり、この世界で原始的な生活を送っていた。現在、ターンラは人間、スカイボーン、バレクトール、デミリアンといった知的生命を抱えている。我々の現在の物語は、完全に人間の領地で繰り広げられているものであるが、その境界を越えた先には広大で豊かな世界が広がっている。
Empire of Veridia,ベリディア帝国
"The largest, most powerful entity in Tahnra. Its vast territory boasts the richest lands in the world.\\PARIts weakness is its political instability. The ruler is selected by an elective process involving both the nobility and the Temple. This system recently reached a critical failure state, resulting in the War of Veridian Succession.",ターンラ最大にして最強の国家。その広大な領土は世界で一番の豊かさを誇っている。\\PAR同国の唯一の弱点は、昨今続く政情不安であろう。その君主は、貴族と神殿の両者が関与する一種の選挙によって選出される。しかし、このシステムは近年になって機能不全に陥り、その結果としてベリディア継承戦争が勃発した。
The Donari Temple,ドナー神殿
"Founded by the Avatar of Donar, legendary hero. It has existed for the last thousand years; indeed its founding marks the beginning of the current Human calendar widely adopted by all the civilizations of Tahnra. \\PARThe city of Lemelin finds the Lemelin Monastery at its center, the highest Temple facility, which houses its Grandmaster and other Temple leadership.",伝説の英雄ドナーの化身によって設立され、千年間存続してきた。その影響力は、ターンラの全文明が同神殿の設立年を基準とする暦を採用していることからもうかがえる。\\PARレメリン市の中心には、大祭司やその他の神殿の指導者を収容する最高位施設であるレメリン修道院がある。
War of Veridian Succession,ベリディア継承戦争
"Date: Year 969-972\\PARLocation: Veridia Province, Western Sayunaa\\PARBelligerents: Various noble houses from Veridia and Sayunaa, Central Imperial government\\PARResult: Treaty of Trucea. Compromise between feuding nobles, Florina, descendent of House Iblis of Rimorgue, installed as Empress.\\PARTerritory changes: Though House Iblis made marginal gains to the West and South, all territory returned to pre-war borders following the Treaty of Trucea.\\PARCasualties: 124,000 military deaths, 2,000,000 military and civilians injured or displaced\\PARUndoubtedly the greatest disaster in recent memory, this war spiraled out of control with what began as a minor disagreement about the lineage of various possible successors following the untimely death of the former Emperor.","期間:969年～972年\\PAR戦地:ベリディア各地、西サユナー\\PAR交戦勢力:帝国政府、ベリディアおよびサユナーの貴族\\PAR結果:トルセア条約の締結。反目する貴族同士の妥協により、リモーグのイブリス家の末裔であるフロリーナが戴冠。\\PAR領土の変更:イブリス家は西部と南部にわずかな利益をもたらしたが、トルセア条約の後、すべての領土は戦前の国境に戻された。\\PAR死傷者:124,000人の軍人が死亡、2,000,000人の軍人と民間人が負傷または難民化\\PARターンラの近代史で最大の惨事となったこの戦争は、先代皇帝の早すぎる死の後、後継者候補選定に関する小さな意見の不一致から始まり、それはやがて制御不能に陥った。"
Kingdom of Sayunaa,サユナー王国
"This nation spans a sizeable territory in the hot, arid center of the mainland and is surrounded on all sides by treacherous mountains and desert.\\PARSuspicious of outsiders. Boasts a massive reserve of mineral wealth that fuels Sayunaa's power.",同国は、暑く乾燥した中央部に広大な領土を有し、危険な山々と砂漠に四方を囲まれている。\\PAR部外者を疑う。サユナーは、同国に多大な富をもたらす豊富な鉱物資源を誇っている。
General Antares,アンタレス将軍
"Race: Veridian Human\\PARBirthplace: Armitage\\PARHeight: 6'0''\\PARWeight: 198 lbs\\PARBirth year: 948\\PARGeneral during the War of Veridian Succession, and leader of a Rebellion of his own creation in protest of government overreach.",民族:ベリディア人\\PAR出身:アーミテージ\\PAR身長:6フィート\\PAR体重:198ポンド\\PAR誕生年:948年\\PARベリディア継承戦争で活躍した将軍であり、政府の行き過ぎた政策に抗議して反乱を起こしたリーダー。
Squads,部隊
"Your Army is organized into Squads. Squads are comprised of between 1 and 9 units, with one of them serving as the Squad Leader.\\PARSquad Capacity, the ability to include more units and artifacts, is determined by the LDR stat of the Squad Leader.\\PARSquad unit composition determines Squad Type, which affects movement and combat.\\PARUse the 'Organize' command in Home Base and Deployment phases to create, disband, and edit your Squads. You are also able to change class, equipment, traits, and assign Squad Leader.",このゲームの軍は、部隊の集まりから成る。分隊は1～9ユニットで構成され、そのうちの1人が分リーダーを務める。\\PAR部隊キャパシティ（これが高いと、より多くのユニットや装備を抱えることができる）は、部隊リーダーのLDRの値によって決定される。\\PAR部隊ユニットの構成は、移動と戦闘に影響を与える部隊タイプを決定する。\\PAR部隊の作成、解散、編集は、本拠地および進軍準備フェイズで「部隊編成」を選択することで行える。また、クラス、装備、特性を変更したり、部隊リーダーを割り当てることもできる。
Moving and Attacking,移動と攻撃
"Squads move on the Tactical Map at your command. When first selecting a Squad, you will be given the option to move them to a tile within their movement range.\\PARSquads can attack before OR after moving, but if a Squad attacks, its turn is automatically over. The exception is Cavalry Squads, who can move after attacking.",部隊はプレーヤーの指示でマップ上を移動する。部隊を選択すると、まず移動範囲内のマスに部隊を移動するオプションが与えられる。\\PAR部隊は移動前または移動後に攻撃できるが、部隊が攻撃した場合、そのターンは自動で終了する。ただし、例外として騎兵部隊は攻撃後に移動できる。
Settlements,居住地
"Villages, Towns, Castles, and Palaces are Settlements. When captured, these grant you Faction XP and Gold.",村、町、城、宮殿などは居住地に分類される。それらを占領すると、勢力XPとゴールドを獲得することができる。
Mines,鉱山
"Provides resources, including Iron, Gems, Gold, Obsidian, Pyrocite, and Sunstone.",鉄、宝石、金、黒曜石、パイロサイト、日長石などの資源を得ることができる。
Bases,基地
"Powerful defense bonuses for the gate defender. If one enemy Squad lands on the entrance tile to your Home Base, you will be defeated. Can usually Deploy squads mid-mission from Home Base. -10% damage taken from all attacks to a squad on the Base tile. -40% additional damage taken from range 2+ attacks.",その上に陣取る部隊には、強力な守備ボーナスが与えられる。自軍の本拠地の入り口に敵部隊が到達すると、その時点で敗北となる。通常、本拠地からミッションの途中で部隊を展開することができる。本拠地の上にいる部隊への全攻撃ダメージ-10％。2マス以上の射程からの追加ダメージ-40％。
Forts,砦
Grants a bonus to high ground and evasion to the defender. -10% damage taken from all attacks to a squad on the Fort tile.,守備側に高地および回避ボーナスを与える。砦の上にいる部隊への全攻撃ダメージ-10％。
Forests,森
Rough Terrain. Ambushable Terrain. Provides a 50% evasion bonus against range2+ archery attacks.,荒れた地形。奇襲可能な地形。射程2以上の弓による攻撃に対し、50％の回避ボーナスを与える。
Hills,山
Rough Terrain. Ambushable Terrain. High Ground.,荒れた地形。奇襲可能な地形。高地。
Allies (Green Army),友軍（緑色の部隊）
"Allied Squads will appear in Green on the Tactical Map. Allies move on their own, and will be fighting against the same enemy as you. They cannot attack you, and you cannot attack them.",友軍の部隊は、マップ上で緑色で表示される。友軍は自動で行動し、自軍と同じ敵と戦う。友軍は自軍を攻撃せず、自軍も友軍を攻撃することはできない。
Roads,道路
Open Terrain. Provides a tile movement bonus.,開けた地形。舞台に移動距離ボーナスを与える。
Walls,壁
Special defense Terrain. Provides high ground. Defense bonus vs Squads not on a Wall. Blocks melee attacks from the ground and blocks tile map movement. Can be traversed via a Ramp.,特殊な守備地形。高地。壁の上にいる敵以外との戦闘時、守備ボーナスを得ることができる。また、壁は地面からの近接攻撃をブロックし、部隊の移動をブロックする。階段から上がることができる。
Cavalry,騎兵
"If the majority of a Squad's Capacity cost is from Cavalry unit types, it becomes a Cavalry Squad.\\PARCavalry Squads can move faster in 'Open' terrain, and can move after attacking. In the Tactics tech tree, Cavalry can learn how to perform a 'Charge Attack' when moving a large number of tiles in the same turn, and both attacker and defender are in Open Terrain.\\PARCavalry units are all vulnerable to Polearm users, or Hussars, an advanced Light Cavalry Class.'Hit and Run' is a feature of Normal Cavalry and Light Cavalry Squad Types. After taking an action such as attacking or healing, a Cavalry Squad can then move again using half of their original total Movement Points.",部隊のキャパシティコストの大部分が騎兵ユニットからである場合、それは騎兵部隊とみなされる。\\PAR騎兵部隊は「開けた」地形でより速く移動できる。また、攻撃後にも移動できる。戦術の技術ツリーでは、攻撃側と守備側の両方が開けた地形にいる時、そのターンに多くのマスを移動する時に騎兵が実行できる「突撃攻撃」を学ぶことができる。\\PAR騎兵ユニットはいずれも、槍の使い手または高度な軽装騎兵クラスである「ハッサー」に対して相性が悪い。「ヒット・エンド・ラン」は、通常の騎兵および軽装騎兵部隊タイプの機能となっている。騎兵部隊は、攻撃や回復などのアクションを行った後、元の合計移動ポイントの半分を使用して再び移動することができる。
Stables,馬小屋
Provides War Horse resources when captured.,占領すると、軍馬を得ることができる。
Donari Temples,ドナー神殿
"Visit a Temple to refresh out-of-battle heals, and revive defeated allies, for a gold fee.",神殿を訪れると、ユニットを回復したり、戦闘不能状態から復活させることができる。ただし、有料であることに注意。
Conscripts and Mercenaries,徴集兵と傭兵
