"Imperial Army Camp, Year 997",帝国軍宿営地、997年
Chapter 1: Rebellion,第1章:反乱
Engage with the forces of the Antares Rebellion and seize Eastwall Fortress for the Imperial Army.,アンタレスの反乱軍と戦い、帝国軍の一員としてイーストウォール砦を占領しよう。
"Eastwall Fortress, Year 997",イーストウォール砦、997年
Chapter 2: For Whose Sake?,第2章:誰がために
Antares has fled with Empress Florina to the deep forest. Pursue his army and approach the main rebel hideout at Centurion's Rest.,アンタレスは、フロリーナ女帝と共に森の奥へ逃亡した。彼の軍隊を追跡し、センチュリオンズレストにある反乱軍の拠点に接近しよう。
"Centurion's Rest, Year 997",センチュリオンズレスト、997年
Chapter 3: Crimson Star,第3章:赤い星
Antares is trapped in Centurion's Rest. Fight alongside the Imperial Army to besiege Centurion's Rest and destroy the rebellion.,アンタレスはセンチュリオンズレストに立て籠もった。センチュリオンズレストを包囲し、反乱を鎮圧するために帝国軍と共に戦おう。
"Secret Prison near Granheim, Year 997",グランハイム近郊の秘密牢獄、997年
Chapter 4: Paradigm Shift,第4章:パラダイム・シフト
"Stefan, master spy of the Donari Temple, must pull off a daring rescue from the clutches of the Followers of Zanatus.",ドナー神殿のスパイであるステファンは、ザナトゥス教団を出し抜くために、大胆な救出作戦を実行する。
"Granheim Abbey, Year 997",グランハイム修道院、997年
Chapter 5: Divine Hammer of the Donari,第5章:ドナー神の鉄槌
Chapter 5: Divine Hammer,第5章:神の鉄槌
"Time to begin the journey to Lemelin Monastery. We will have to fight our way back, every step of the way.",レメリン修道院へ向かう時が来た。その途上では、様々な敵と戦わなければならない。
"Fort Naxos, Year 997",ナクソス砦、997年
Chapter 6: Journey to Lemelin,第6章:レメリンへの旅路
The Tidereaver Pirates have been unleashed upon us. We must hold Fort Naxos against their attack at all costs.,タイドリーバーのならず者たちが襲いかかってきた。なんとしてもナクソス砦を守り抜こう。
"Port Jenos, Year 997",ジェノス港、997年
Chapter 7: Tidereaver,第7章:タイドリーバー
A massive storm has forced the Tidereaver fleet to chain together and wait. We will capitalize on their weakness.,大嵐により、タイドリーバーの船団は海上に留まることを余儀なくされている。ならば、この機を利用しない手はないだろう。
"Encampment at Greyden Swamp, Year 997",グレイデン湿地の野営地、997年
Chapter 8: Marooned,第8章:孤島の戦い
"The storm damaged our own ships, forcing us off course. But now, we have the opportunity to annihilate the Tidereaver presence completely.",嵐は一行の船に損害を与え、進路変更を余儀なくされた。しかし怪我の功名か、タイドリーバーを壊滅させる絶好のチャンスが巡ってきたのだった。
"Lemelin Monastery, Year 997",レメリン修道院、997年
Chapter 9: Sanctuary,第9章:聖域
We've reached Lemelin at last. But our enemies are eager to strike at any moment...,ついにレメリンに到着した。しかし、敵はどうやらこちらへの襲撃を渇望しているようだ...
Chapter 10: To War,第10章:戦火の中へ
"The Veridian Civil War has begun. We find ourselves aligned with the Western forces, in direct opposition to the Prime Minister. We set out now to save Isanter's capital city, and liberate Trucea.",ベリディア内乱開戦の火ぶたが落とされた。西側陣営と同盟を結んだことにより、これからカサミール首相と全面対決することになる。さあ、イサンテルの都を救い、トルセアを解放するために行軍を開始しよう。
"Trucea, Year 997",トルセア、997年
Chapter 11: Deadly Gambit,第11章:危険な策略
"The Eastern forces are off balance. Time to take the fight to their turf. Their main base of operations lies ahead, at Fort Eureeka.",東側陣営にほころびが出ている。今こそ敵の縄張りに乗り込み、戦いを挑もう。敵陣営の主要な作戦基地は前線のエウレカ砦にある。
"Fort Eureeka, Year 997",エウレカ砦、997年
Chapter 12: Upheaval,第12章:混沌
"We've taken Fort Eureeka, but the Eastern forces remain steadfast. Man the defenses at Fort Eureeka and prepare for the battle of our lives.",エウレカ砦を制圧したが、東側陣営の戦力は依然として堅固だ。エウレカ砦の防御を固め、命がけの戦いに備えよう。
"Rimorgue River Valley, Year 997",リモーグ渓谷、997年
Chapter 13: Conquest,第13章:制圧
