ENGLISH,KOREAN
"Good thing we showed up, huh Jules?\! Can't let the others take all the glory.","우리가 거기에 나타나서 다행이다, 그치 줄스? \! 다른 녀석들이 영광을 독차지하게 둘 순 없지."
"Aw, come on.\! Glory's not all that important!","아, 이러지 말자. \! 영광은 그리 중요하지 않아!"
Says you.\! You're sweet and all but you were adopted by rich nobles!\! The rest of us have to scratch and claw for everything we get.,너야 그렇게 말하지. \! 넌 상냥하고 착하긴 하지만 어쨌든 부유한 귀족에게 입양됐으니까! \! 나같은 서민들은 열심히 발버둥쳐서 긁어모으지 않으면 아무것도 얻을 수 있다고.
"What do you want so bad, anyway?\! You're doing great!",그렇게 절실히 원하는 게 대체 뭐야? \! 넌 이미 잘 하고 있는걸!
Jules... have I ever told you that I tried to become a Paladin?,줄스...내가 성기사가 되려 했었다는 얘길 했던가?
"Not yet, but that seems right up your alley!","아직은, 하지만 너랑 잘 어울리는 진로인 것 같은데!"
"Exactly what I keep saying!\! But the Temple leadership said I was ""too hotheaded and ambitious""!\! Ugh... so here I am just a plain old army priestess.",내 말이 그거야! \! 하지만 교단 지도층은 내가 ‘너무 성급하고 야망이 넘친다’고 해! \! 으...그래서 여기에 그냥 군종 여사제로 와 있는 거지.
"I'm sorry, Sybil...\| This seems very important to you.","그거 안됐다, 시빌... \| 너한텐 아주 중요한 일로 보이는데."
"Have you ever seen the girls in the Sisterhood of Justice?!\! They're so amazing, and loved by everyone.\! I have to become a Paladin somehow... I just have to.\! Sorry, I'm being so selfish... what do you want for your future, Jules?","정의의 자매회의 여자들을 본 적 있어?! \! 너무 멋져, 그리고 모두의 사랑을 받고. \! 난 어떻게든 성기사가 되어야겠어... 반드시 되고 말거야. \! 미안, 내가 너무 내 이야기만 했네...넌 미래에 뭘 원해, 줄스?"
Well...\| I can't say I've thought about it too much!\! I just take things day by day.,글쎄... \| 난 그건 딱히 생각해본 적이 없어서! \! 난 하루하루 그냥 지낼 뿐이야.
"Yeah, that's probably easier than always chasing the future...","그래, 늘 미래만 쫓는 것보다는 그게 아마 쉬울 거야..."
