"Rest in peace, Kuroda.","편히 쉬시오, 쿠로다."
"That makes 18 souls you've asked me to send to the void. Is your bloodlust sated yet, or do you have a 19th for me?!","18번째요. 당신들 때문에 내가 직접 공허로 돌려보내야 했던 영혼의 수 말이오. 그 피의 갈증이 이제 좀 만족되셨소, 아니면 이제 또 19번째를 데려올 참이오?!"
"Stay your weapons, Razehl. I surely wouldn't want to cross blades with the likes of you!","무기를 거두시게, 라젤. 자네와 같은 이와 검을 맞대는 건 내가 정말 피하고 싶은 일이니!"
"That man you just defeated... Kuroda, they called him. Well, little do these people know. His name was something else entirely.\! But that is no matter to you or I anymore, is it?","자네가 방금 패배시킨 자... 쿠로다, 라고 불렸었지. 흐음, 이들은 정말 아무것도 모르는군. 그의 이름은 사실 전혀 다른 것이었네만.\! 하지만 그건 이제 자네나 나에게 별로 상관할 바가 아니지, 그렇지 않나?"
"I am in no mood for riddles. If you have business with me, out with it, old man.","수수께끼를 풀 기분이 아니오. 내게 할 말이 있거든 썩 내뱉으시오, 늙은이."
"I've been watching you, Razehl. I have a keen eye for true talent. And it would seem, you've proven me right.\! I've paid off these men, who have kept you as some...\| toy. Some implement of their puerile amusement.\! No, henceforth, you will be who you were made to be. The title of Kuroda... this title has spanned generations. An instrument of death. Kingmaker, and godslayer!\! That title is now yours. As so too are its many, many rewards - I'll see to that.","난 자네를 관찰해왔다네, 라젤. 난 진정한 재능을 찾는 안목이 있는 편이지. 그리고 보아하니, 자네는 내가 옳았음을 증명했어.\! 내가 이들에게 값을 치뤘네, 자네를 무슨...\| 장난감 취급하던 자들 말일세. 그자들에게 자네는 유치한 장난질의 일부였던 셈이지.\| 안 될 말이지, 지금부터는 다를거야, 자네는 이제 진정 자네가 되었어야만 할 자가 될 걸세. 쿠로다라는 호칭... 이 호칭은 수 세대에 걸쳐 전해졌지. 죽음의 대행자, 킹메이커... 그리고 신살자!\! 이 호칭은 이제 자네걸세. 그리고 함께 딸려올 많은, 수많은 보상까지도 - 이는 내가 보장하지."
...And you expect me to do as you ask now?,"...그리고 이제 당신이 하는 '부탁'을 내가 그대로 수행하리라 생각하는거요?"
"You will. Not because it is my wish, but because it is yours. I know your heart, young Kuroda. Boiling, brimming with a desire for justice.\! Against the men who took your parents from you... took your future away, and any chance at peace.\! Together, we will cut them down, Kuroda. You need but trust me, little by little, as I lead you ultimately to their timely demise.","자네는 그렇게 할 거야. 내가 원해서 그러는게 아닌, 바로 자네가 원하기 때문이지. 난 자네의 마음 속 깊은 열망을 알고 있네, 젊은 쿠로다여. 정의 구현을 바라는 그 끓어넘치는 열망말이야.\! 자네의 부모를 빼앗고... 자네의 미래마저도 앗아가버린 자들을 응징할 수만 있다면, 그리하여 마침내 안식을 구할 수 있기를 바라고 있지.\! 우리가 함께라면, 그들을 베어넘길 수 있다네, 쿠로다. 내가 자네를 놈들이 파멸하는 그 순간으로 차근차근 인도할테니, 그저 날 믿어주게."
You're right.,당신의 말이 옳소.
Direct my blade. May the dogs calling for war never breathe again...,내 검이 향할 곳을 가리키시오. 전쟁을 부르짖는 승냥이들은 다시는 숨 쉬지 못할테니...
"All in due time. The great lords of Ezrum, Calador, Reza, and Qurmad, and the Regent Lord of Sayunaari Palace must die.\! It is no concern of the Sayunaari people, for I have suitable replacements for all, ready to fill the void.\! Rest assured, I will see to it that they no longer act rashly, or for self-interest, but rather for the betterment of your people. Stability, and peace, at long last.","때가 되면 부르겠네. 에즈룸, 칼라도르, 레자 그리고 쿼마드의 대군주들 그리고 사유나 왕궁에 있는 섭정공 까지 모두가 죽어마땅하지.\! 사유나 인들은 걱정할 필요가 없네, 나에겐 그들의 빈 자리를 충분히 대체할 만한 자들이 있으니.\! 안심해도 좋네, 빈 자리를 대체할 인선은 성급하거나 이기적으로 굴지 못하도록 조치를 취할걸세. 이제 그들은 자네 동포들의 삶의 질 향상을 위해 노력하게 될거야. 안정, 그리고 평화가 드디어 이 땅에 도래하게 될 걸세."
