Column1,Column2
"\c[1]The Avatar of Donar's army is victorious today. The catastrophe has been avoided, the brood continuity of my kin is protected.","\c[1]도나르의 현신의 군대가 오늘 승리했도다. 예견되었던 참사는 회피되었고, 내 혈족의 지속성은 다시 안전해졌다."
"Those boys were no joke. I've never seen the Archaelus armies fight with such fervor. What gives, dragon?","저들은 정말이지 만만치 않은 상대였어요. 아르켈루스 제국군이 저렇게 격렬하게 싸우는 모습은 처음인데요. 대체 어떻게 된 거에요, 아주로스?"
"\c[1]Brief is the timeline of a human's life. Not brief is mine. Also not brief is the timeline of the forces arrayed against the Avatar of Donar.\! Ageless, is the dark one. The one not of the essence of Tahnra's creation.","\c[1]인간의 일생은 마치 찰나와도 같다. 나의 일생은 그렇지 아니하다. 그리고 도나르의 현신에 대항하기 위해 집결한 세력의 일생 역시 짧지 아니하다.\! 시대를 초월한 자, 그것이 바로 어두운 자이다. 탄라의 정수로 이루어진 창조물에 속하지 아니한 자."
Zanatus.,자나투스.
"\c[1]The one not of Tahnra bears an understanding beyond that which is possible within one mere timeline of the human.\! This empire named Archaelus, this army named Nephilim Army. Brief contrivances these are, to the dark one.\! To him, the mission is one that spans millennia. As long as his life. As my life.","\c[1]탄라에서 태어나지 아니한 자는, 인간의 한낱 일생에서 배울 수 있는 것들을 뛰어넘은 지식과 이해를 가지고 있도다.\! 이 아르켈루스라는 이름의 제국, 그리고 네필림 군대로 명명된 이 군대까지. 어두운 자에게 이러한 것들은 가벼운 수완이다.\! 그 자에게 있어서 사명이란, 천년의 세월에 걸친 것이다. 그 자의 평생에 걸친 것이다. 나의 평생과도 같은 기간이다."
"Yeah, I think that's pretty clear at this point. So, what exactly is this mission of his, anyway? The one I keep getting told I couldn't possibly understand?","네, 그건 현 시점에서는 꽤 명백한 사실이죠. 그래서 그 자의 사명이라는게 정확히 뭔가요? 계속 제가 이해할 수 없을거라고 하던데요?"
So...,그래서...
"Dear Azuros, please trust \n[8] with your wisdom!","아주로스 님, 부디 \n[8]에게 당신의 지혜를 알려주세요!"
"\c[1]Adorimetra, the Gold. Mother of all of my kin. Mother of Azuros.\! First born of Donar in all Tahnra. First to awaken, when the god of creation awakened this world.\! Just as the Avatar of Donar stands before Azuros, so too does Azuros live.\! The dark one is not a descendant of Adorimetra. Not a descendant of Donar. An infestation.\! The mission of the human's timeline is to destroy, or to impede Zanatus.\! To destroy his body, and followers, and most crucially, his words. Words he has infused within the language of the mortal beings of Tahnra. Words which will be the undoing of all things.\! Words whose nature lie beyond even the understanding of Azuros...","\c[1]금빛의 아도리메트라. 내 혈족 모두의 어머니. 나 아주로스의 어머니.\! 탄라 전체에서 도나르께서 가장 먼저 빚어내신 분. 창조의 신이 이 세계를 일으켰을때, 가장 먼저 깨어나신 분.\! 도나르의 현신이 아주로스의 앞에 서 있듯이, 아주로스 또한 살아 숨쉰다.\! 어두운 자는 아도리메트리아의 후손이 아니다. 도나르의 후손 또한 아니다. 그 자는 해충과 같은 존재다.\! 인류의 일생에 걸친 사명은 자나투스를 막거나, 혹은 파괴하는 것이다.\! 그 자의 육신과 추종자들, 그리고 무엇보다도 가장 중요한 그의 가르침을 파괴하는 것이다. 그 자가 탄라 필멸자들의 언어에 혼입시킨 가르침들. 모든 것들을 몰락시킬 단초가 될 가르침이다.\! 그 가르침의 본질은, 나 아주로스의 이해조차 넘어섰도다..."
"An infestation. Interesting choice of words, Azuros. Everything else has been about some overwhelming power of creation.\! You, me, Abigayle, the magic that brought me back... all living things, all elements of nature, even Casamir, perhaps. But the one outlier is Zanatus.\! Any insight into what exactly he is, then?","해충과 같은 존재라. 재미있는 단어의 선택이네요, 아주로스. 다른 말씀들은 창조의 힘이 가진 어마어마한 힘에 대한 것이네요.\! 당신과 나, 아비게일, 그리고 날 죽음에서 다시 되돌린 마법까지... 모든 생명체, 모든 자연의 법칙들, 심지어 카사미르까지도, 어쩌면. 하지만 단 하나 있는 예외가 자나투스라니.\! 그러면, 그가 정확히 어떤 존재인지에 대한 통찰 같은건 없으신가요?"
"I'm sorry, \n[8], this is all Dear Azuros knows. I feel a great regret within him. There is very little he doesn't know, thus the nature of Zanatus frustrates him greatly!","미안해요, \n[8], 아주로스 님께서 아시는 건 이게 전부에요. 그 분의 내면에서 큰 후회가 제게 느껴져요. 그 분께서 모르시는건 거의 없다시피한데, 그러다보니 자나투스의 존재 자체가 그 분에게 큰 좌절감을 안기고 있어요!"
\c[1]Abigayle.,\c[1]아비게일.
"Yes, Dear Azuros?","네, 아주로스 님?"
"\c[1]The one named ""Nibbler"" has found counsel in me. He cares for Abigayle greatly. The young dragon's request will be fulfilled.\! In times ancient, there was one called ""Queen of Dragons"". This title will now return to Tahnra.\! Queen of Dragons Abigayle. The power of dragonkind is now yours to wield.","\c[1]""깨물이"" 라고 불리는 동족이 내게 도움을 구했다. 그는 아비게일을 아주 소중히 여긴다. 그 젊은 용의 부탁은 이루어질 것이다.\! 고대에는, ""용들의 여왕""이라 불리는 자가 있었다. 이 호칭은 이제 다시 탄라로 되돌아오리라.\! 용들의 여왕 아비게일. 용족의 힘은 이제 그대가 바라는 대로 행해질 것이다."""
Queen of Dragons...?,용들의 여왕...?
"It's a little on the nose if you ask me, but hey, might as well make it official.","표현이 너무 직설적인것 같기는 하지만, 뭐 어때, 이왕 이렇게 된 거 공식화 하는게 낫지."
"\c[1]Abigayle has become the ""Queen of Dragons"" unit, an incredibly powerful new type of Dragon Rider.","\c[1]아비게일은 ""용들의 여왕"", 굉장히 강력한, 새로운 용기사 유닛이 되었습니다."
,
