Change to,다음으로 변경 - 
Demote to,다음으로 강등 - 
Promote to,다음으로 승급 - 
(Unit perma-death is suspended),(유닛 영구 사망이 유예됩니다)
Start a new game with these settings?,이 설정으로 새 게임을 시작할까요?
Reload the base?\NEWLINEData will be restored to when you last entered or saved in the base.,기지를 다시 불러오시겠습니까?\NEWLINE기지로 마지막으로 복귀 또는 저장한 시점으로 데이터가 복구됩니다.
Return to title?\NEWLINEAll unsaved progress will be lost.,타이틀 화면으로 돌아가시겠습니까?\NEWLINE저장하지 않은 진행 상황이 사라집니다.
Are you sure you want to exit the game?\NEWLINEAll unsaved progress will be lost.,정말 게임을 종료하시겠습니까?\NEWLINE저장하지 않은 진행 상황은 사라집니다.
Select a difficulty,난이도 선택
Enable helpful hints throughout the game. Can be toggled in Options.,게임 내내 도움이 되는 힌트 활성화. 옵션 메뉴에서 켜고 끌 수 있습니다.
Non-story characters incapacitated at the end of a mission are \NEWLINElost forever. Their resources will be refunded.,"주,조연 등장인물이 아닌 캐릭터가 전투불능이 된 채로 미션 종료 시\NEWLINE영구적으로 사라집니다. 해당 유닛의 자원은 반환됩니다."
Begin the game,게임 시작
Deploy to the this side mission?,이 사이드 미션에 출격할까요?
"WARNING! After completing this chapter, the threads of time will be disrupted, and some side quests will no longer be available. \\LINEAre you sure?","경고! 이 장을 완료한 후에는 시간선이 엉키게 되어, 일부 사이드 퀘스트는 더 이상 진행할 수 없습니다. \\LINE정말 진행하시겠습니까?"
Deploy to the next Mission?,다음 미션에 출격할까요?
Are you sure you want to exit?\NEWLINEAll unsaved progress will be lost.,정말 종료하시겠습니까?\NEWLINE저장하지 않은 진행 상황은 사라집니다.
Restore settings to default?,모든 설정을 기본 설정으로 되돌릴까요?
"These two will be bound together, preventing any other such bonds.\NEWLINE Are you sure?","이 둘을 결속하여, 추후 이와 같은 다른 결속을 막습니다.\NEWLINE 정말 진행하시겠습니까?"
Are you sure you want to sell this item?,정말 이 아이템을 판매하시겠습니까?
Item will be unequipped and sold.,아이템 장착이 해제되어 판매됩니다.
Are you sure you want to purchase this?,정말 이 아이템을 구매하시겠습니까?
Are you sure you want to hire this mercenary?,정말 이 용병을 고용하시겠습니까?
Are you sure you want to skip the cutscene?,정말 이 컷씬을 건너뛰시겠습니까?
Are you sure you want to skip all cutscenes (until next gameplay)?,정말 모든 컷씬을 (다음 게임플레이까지) 건너뛰시겠습니까?
Are you sure you want to quicksave?\NEWLINEPrior Quicksave will be overwritten.,정말 빠른 저장을 하시겠습니까?\NEWLINE이전 빠른 저장을 덮어씁니다.
Are you sure you want to load?\NEWLINEProgress will be reverted to last QuickSave.,정말 불러오시겠습니까?\NEWLINE마지막 빠른 저장 시점으로 게임 진행이 돌아갑니다.
Are you sure you want to restart mission?\NEWLINEMission progress will be lost.,정말 미션을 다시 시작하시겠습니까?\NEWLINE지금까지의 미션 진행 사항이 사라집니다.
Are you sure you want to return to base?\NEWLINEALL mission progress will be lost.,정말 기지로 돌아가시겠습니까?\NEWLINE모든 미션 진행 사항이 사라집니다.
Are you sure you want to return to the beginning of the turn?\NEWLINEAll unsaved progress will be lost.,정말 턴 시작으로 되돌아 가시겠습니까?\NEWLINE저장하지 않은 모든 진행 사항이 사라집니다.
Finish deploying and begin mission?,배치를 마치고 미션을 시작할까요?
