Column1,Column2
Devoa,드보아
Lindly,린들리
Antares,안타레스
Alexei,알렉세이
Roland,롤랜드
Lothair,로테어
Trihan,트리한
Terenor,테레노어
Casamir,카사미르
Geoffrey,조프리
Gwynneth,기네스
Kalytos,칼리토스
Arm 1,팔 1
Arm 2,팔 2
Arm 3,팔 3
Arm 4,팔 4
Johan,조핸
Mafu,마푸
Nibbler,깨물이
Cloudrender Athelis,구름찢는자 아텔리스
"A new age is upon us - and dragons will rule it from the skies!""""",새로운 시대가 우리에게 당도했다 - 이제 용이 하늘에서 지배할 것이다!
Lady Clarimonde,레이디 클래리몬드
"The ultimate leader is the ultimate servant, and will achieve victory over a tyrant.","궁극의 지도자는 궁극의 시종이며, 폭군을 무찔러 승리를 이루리라."
Kaffi the Curious,호기심 많은 카피
"Oh, another bad guy? How would you like me to kill them all this time?""","오, 또 다른 악당인가? 이번에는 어떤 식으로 죽이기를 바라나?"
The Outcast,추방자
"""If you will not have me, then you will die...""","날 취하지 않는다면, 넌 죽게 될 것이다..."
Lt. Archibald,아치볼드 중위
"""Those who cling to the past will be swallowed up by the future.""",과거에 연연하는 자는 미래에 의해 삼켜진다.
Slayer Alphonse,슬레이어 알폰스
"""I do not fear these great beasts. They are cunning, but they do not understand the ways of war.""","나는 거대한 괴물이 두렵지 않다. 교활하긴 하지만, 전쟁의 방식을 제대로 이해하지 못하니까."
Renalyn Steelheart,레날린 강철심장
"""I have nothing left but my blade. May it carve a new path for me.""",내게 남겨진 건 이 검 뿐이다. 이 검으로 새로운 길을 닦을 수 있기를.
Konrad the Cold,냉기의 콘래드
"""Whaddya think, cool name, huh?! Okay well, it is descriptive, is it not?""","어때, 이름 좀 멋있지 않나?! 그래 음, 최소한 이름만 들어도 알겠잖아, 안 그래?"
Warlord Tatar,군벌 타타르
"""The deserts of Sayunaa could not take my life, nor will any of you fools!""","사유나 사막이 내 생명을 앗아갈 수 없듯이, 너희 바보 놈들도 마찬가지다!"
Sir Rolante,롤란트 경
"""The lost noble souls of the past live within me.""",과거의 사라진 고귀한 영혼들이 내 안에 살아 있다.
Teriq the Wicked,사악한 테리크
"""Usually they beg for the sweet release of death.""",보통 저들은 달콤한 죽음의 손길을 빌곤 하지.
Matriarch Rosalie,여족장 로잘리
"""Men of Veridia, come to my side, and we shall purge this fallen world of filth and sin!""","베리디아의 남성들이여, 내 곁으로 오라, 이 타락한 세상에서 오물과 죄악을 쓸어내리라."
Deadeye Domak,데드아이 도마크
"""Got another one.""",또 하나 걸렸군.
Centhos the Muse,센토스 더 뮤즈
"""Words belie actions... always seek to pierce the veil to one`s true self.""",말은 행동을 배신하지...늘 진정한 자신을 감싼 베일을 꿰뚫어봐.
Zeteni the Undying,불사자 제테니
"""Offense wins battles. Defense wins wars. Those who understand this shape our world.""",공격은 전투를 승리로 이끌고 방어는 전쟁을 승리로 이끈다. 이것을 이해하는 자가 우리 세상을 만들어간다.
General Bizen,바이젠 장군
"""I am not impressed by these firearms. Witness the true power of the marksman.""",나는 화기에 감탄하지 않는다. 명사수의 진정한 힘을 목격하라.
Cutthroat Klok,잔혹한 클록
"""Fame is transient. Glory is meaningless. But wealth is joy.""",명성은 일시적인 것이다. 영광은 의미없다. 하지만 부는 기쁨이다.
Lord Carnith,로드 카니스
"""I will guard the future of Veridia just as my ancestors did... whatever and whomever that may be.""",나는 조상들이 그랬듯 베리디아의 미래를 지킬 것이다...그게 무엇이든 누구든 간에.
Calvor the Tireless,지치지 않는 자 칼버
"""If we do this right, we wont even need cumbersome armor.""","이걸 제대로 해 내면, 무거운 방어구 따위는 필요 없지."
Philbert,필버트
Paul,폴
Terric,테릭
Hough,휴이
Rainer,레이너
Richard,리처드
Peter,피터
Gerald,제럴드
Rauf,라우프
Norman,노먼
Elye,일라이
Hal,핼
Amaury,마오리
Humphrey,험프리
Milon,밀론
Bert,버트
Christopher,크리스토퍼
Simon,사이먼
Drewett,드루엇
Wyat,와이어트
Armond,아몬드
Edmund,에드문드
Ludvig,루드비그
Robert,로버트
Thomas,토머스
Hadrian,하드리언
Batholemew,바톨로뮤
Emeric,에머릭
Ingraham,잉그럼
Bernier,버니어
Balan,발란
Wiscar,위스카
Isaac,아이삭
Powell,파월
Folc,폴크
Manfred,맨프레드
Uriel,유리엘
Herman,허먼
Henry,헨리
Frederick,프레드릭
Tybost,타이보스트
Percival,퍼시벌
Owen,오웬
Wymond,와이몬드
Joffridus,조프리더스
Robertus,로버터스
Brom,브롬
Elliot,엘리엇
Atkin,앳킨
Digory,디고리
Alfred,알프레드
Barrett,바렛
Jasper,재스퍼
Gavin,개빈
Mercer,머서
Beringer,베링어
Gunther,군터
Tobias,토비아스
Athel,애델
Dennis,데니스
Mark,마크
Shaner,샤너
Jacobin,자코빈
Percy,퍼시
Franklin,프랭클린
Sham,섐
Naser,네이저
Farzin,파진
Sina,시나
Kamram,캠램
Sadeq,사데크
Bahrad,바하드
Reza,레자
Nader,네이더
Arman,마르만
Karim,카림
Abbas,아바스
Milad,밀라드
Darmok,다모크
Parsa,팔사
Burkhart,부르크하트
Otto,오토
Walter,월터
Manuel,마누엘
Jorg,조르그
Tilmann,틸만
Tristan,트리스탄
Markus,마커스
Hugo,휴고
Antonin,안토닌
Nico,니코
Andre,안드레
Ernst,언스트
Cristof,크리스토프
Andreas,안드레아스
Ferdinand,퍼디난드
Julius,줄리어스
Reinhardt,라인하르트
Jillad,질라드
Raphael,라파엘
Justin,저스틴
Jon,존
Matthew,매튜
Brent,브렌트
Timothy,티모시
Ryan,라이언
Jacob,제이콥
Nicholas,니콜라스
Ethron,에스론
William,윌리엄
Antonio,안토니오
Gregory,그레고리
Joel,조엘
Noel,노엘
Anthony,안토니
MacLaine,맥클레인
Chad,챼드
Brad,브래드
Lambert,램버트
Andrew,앤드루
Salem,세일럼
Zephyr,제피르
Ozmon,오즈몬
