ENGLISH,KOREAN
World Lore,세계관
Tactics and Strategy,전략과 전술
Class List,병과 목록
Terrains,지형
Reference Guide,전술 가이드
Tutorial,튜토리얼
Tahnra,탄라
"Our world. Creation of Donar. The first sapient life were the Earthenfey, who populated our world in its primal state. Now, Tahnra houses Humans, Skyborn, Barek Tor, and Demyrians. Our current story takes place entirely in the Human lands, but there is a vast, rich world beyond our borders.","우리의 세계. 도나르의 창조물. 태초에 이 세계를 거닐던 최초의 지성체는 어든프레이였다. 이제, 탄라에는 인간들, 스카이본, 바렉 토르 그리고 데미리안들이 있다. 우리의 이번 이야기는 인간들의 땅에서만 일어나는 것이지만, 국경 너머에는 거대하고도 풍성한 세계가 펼쳐져 있다."
Empire of Veridia,베리디아 제국
"The largest, most powerful entity in Tahnra. Its vast territory boasts the richest lands in the world.\\PARIts weakness is its political instability. The ruler is selected by an elective process involving both the nobility and the Temple. This system recently reached a critical failure state, resulting in the War of Veridian Succession.","베리디아 제국은 탄라에서 가장 크고 강대한 존재이다. 제국의 넓은 강역은 세계에서 가장 비옥한 땅들을 자랑한다.\\PAR 제국의 약점은 정치적 불안정성이다. 제국의 지도자는 귀족과 도나리교 양측의 선거를 통해 선정된다. 이 시스템은 최근 치명적인 실패에 이르러, 베리디아 계승 전쟁이 발발하게 된다."
The Donari Temple,도나리교
"Founded by the Avatar of Donar, legendary hero. It has existed for the last thousand years; indeed its founding marks the beginning of the current Human calendar widely adopted by all the civilizations of Tahnra. \\PARThe city of Lemelin finds the Lemelin Monastery at its center, the highest Temple facility, which houses its Grandmaster and other Temple leadership.","전설적인 영웅, 도나르의 현신이 설립한 종교. 지난 천 년간 존재해 왔다. 도나리교의 설립은 탄라 문명권에서는 말 그대로 인류 역사의 시작을 뜻한다. \\PAR레멜린 시에는 교단의 최고 시설인 레멜린 수도원이 그 중심에 있고, 수도원 안에는 대사제와 기타 교단 지도층이 살고 있다."
War of Veridian Succession,베리디아 계승 전쟁
"Date: Year 969-972\\PARLocation: Veridia Province, Western Sayunaa\\PARBelligerents: Various noble houses from Veridia and Sayunaa, Central Imperial government\\PARResult: Treaty of Trucea. Compromise between feuding nobles, Florina, descendent of House Iblis of Rimorgue, installed as Empress.\\PARTerritory changes: Though House Iblis made marginal gains to the West and South, all territory returned to pre-war borders following the Treaty of Trucea.\\PARCasualties: 124,000 military deaths, 2,000,000 military and civilians injured or displaced\\PARUndoubtedly the greatest disaster in recent memory, this war spiraled out of control with what began as a minor disagreement about the lineage of various possible successors following the untimely death of the former Emperor.","날짜: 969-972년\\PAR위치: 베리디아 주, 사유나 서부\\PAR교전국: 베리디아와 사유나의 여러 귀족 가문, 중앙 제국 정부\\PAR결과: 트루세아 협정. 앙숙인 귀족들 간의 협의로 리모르그의 이블리스 가문 후손 플로리나가 여황으로 추대됨.\\PAR영토 변화: 이블리스 가가 서부와 남부를 조금 얻긴 했지만, 모든 영토는 트루세아 협정에 의거, 전쟁 이전의 경계로 되돌려졌다.\\PAR사상자: 군사 사망자 124,000, 군과 민간인 부상 및 실종자 2,000,000\\PAR의심할 여지 없이 근래의 가장 큰 재앙이었던 이 전쟁은, 전 황제의 때이른 죽음 이후 다양한 후계자들의 혈통에 대한 사소한 의견 불일치로 시작되어 걷잡을 수 없는 규모로 확대되어 통제를 벗어나 버렸다."
Kingdom of Sayunaa,사유나 왕국
"This nation spans a sizeable territory in the hot, arid center of the mainland and is surrounded on all sides by treacherous mountains and desert.\\PARSuspicious of outsiders. Boasts a massive reserve of mineral wealth that fuels Sayunaa's power.","뜨겁고 건조한 본토 중심에 상당한 영토를 가진 나라로, 사방이 위험한 산막과 사막으로 감싸져 있다.\\PAR외부인에 대한 의심이 강하다. 사유나의 막대한 광물 자원은 나라의 국력을 뒷받침한다."
General Antares,안타레스 장군
"Race: Veridian Human\\PARBirthplace: Armitage\\PARHeight: 6'0''\\PARWeight: 198 lbs\\PARBirth year: 948\\PARGeneral during the War of Veridian Succession, and leader of a Rebellion of his own creation in protest of government overreach.","종족: 베리디아 인\\PAR출생지: 아미티지\\PAR신장: 182cm\\PAR몸무게: 90kg\\PAR생년: 948년\\PAR베리디아 계승 전쟁 기간의 장군으로, 정부의 지나친 개입에 대한 항의의 뜻으로 그 자신이 스스로 결성한 반군의 지도자."
Squads,부대
"Your Army is organized into Squads. Squads are comprised of between 1 and 9 units, with one of them serving as the Squad Leader.\\PARSquad Capacity, the ability to include more units and artifacts, is determined by the LDR stat of the Squad Leader.\\PARSquad unit composition determines Squad Type, which affects movement and combat.\\PARUse the 'Organize' command in Home Base and Deployment phases to create, disband, and edit your Squads. You are also able to change class, equipment, traits, and assign Squad Leader.","군대는 부대 단위로 구성됩니다. 부대는 1개에서 9개의 유닛으로 구성되며, 유닛 중 하나가 부대장 역할을 합니다.\\PAR부대의 보급 한계, 더 많은 유닛과 유물을 포함할 수 있는 능력은 부대장의 통솔력 능력치에 의해 결정됩니다.\\PAR부대의 종류는 부대 유닛의 구성에 따라 결정되는데, 이는 부대의 이동 거리와 전투에 영향을 미칩니다.\\PAR기지 및 부대 배치 단계에서 '부대 관리'를 이용하여 부대를 생성, 해체 및 수정할 수 있습니다. 또한 부대 유닛의 병과, 특성, 그리고 부대의 유물 및 부대장의 변경도 가능합니다."
Moving and Attacking,이동과 공격
"Squads move on the Tactical Map at your command. When first selecting a Squad, you will be given the option to move them to a tile within their movement range.\\PARSquads can attack before OR after moving, but if a Squad attacks, its turn is automatically over. The exception is Cavalry Squads, who can move after attacking.","부대는 전술 지도 위에서 명령한 대로 이동합니다. 처음 부대를 선택할 때, 이동 범위 안에 있는 타일로 이동시킬 수 있습니다.\\PAR부대는 이동 전이나 후에 공격할 수 있지만, 부대가 공격하면 자동으로 턴이 끝납니다. 기병 부대는 예외로, 공격한 후에 이동할 수 있습니다"
Settlements,정착지
"Villages, Towns, Castles, and Palaces are Settlements. When captured, these grant you Faction XP and Gold.","마을, 소도시, 성, 궁전은 정착지입니다. 점령하면 이 곳에서 진영 XP와 금화를 획득할 수 있습니다."
Mines,광산
"Provides resources, including Iron, Gems, Gold, Obsidian, Pyrocite, and Sunstone.","철, 보석, 금화, 흑요석, 파이로사이트, 태양석 같은 자원을 제공합니다."
Bases,기지
"Powerful defense bonuses for the gate defender. If one enemy Squad lands on the entrance tile to your Home Base, you will be defeated. Can usually Deploy squads mid-mission from Home Base. -10% damage taken from all attacks to a squad on the Base tile. -40% additional damage taken from range 2+ attacks.","성문 방어병에게 강력한 방어력 보너스를 줍니다. 적 부대 하나가 아군 기지의 입구 타일에 올라서면 패배합니다. 보통은 미션 도중 부대를 아군 기지에서 추가 배치할 수 있습니다. 기지 타일 위의 부대는 모든 종류의 공격으로부터 피해를 10% 덜 받습니다. 2타일 이상의 공격에서는 피해를 40% 추가로 덜 받습니다."""
Forts,요새
Grants a bonus to high ground and evasion to the defender. -10% damage taken from all attacks to a squad on the Fort tile.,고지대 보너스를 주고 방어자에게 회피 보너스를 줍니다. 요새 타일 위의 부대는 모든 종류의 공격으로부터 피해를 10% 덜 받습니다.
Forests,숲
Rough Terrain. Ambushable Terrain. Provides a 50% evasion bonus against range2+ archery attacks.,거친 지형. 매복 가능 지형. 2타일 이상의 궁수 공격에 대해서 50% 회피 보너스가 주어집니다.
Hills,언덕
Rough Terrain. Ambushable Terrain. High Ground.,거친 지형. 매복 가능 지형. 고지대
Allies (Green Army),동맹 (녹색 군대)
"Allied Squads will appear in Green on the Tactical Map. Allies move on their own, and will be fighting against the same enemy as you. They cannot attack you, and you cannot attack them.","동맹군 부대는 전술 지도에서 녹색으로 표시됩니다. 동맹군은 스스로 이동하며, 당신의 적군을 상대로 싸웁니다. 당신을 공격할 수는 없으며, 당신도 동맹군을 공격할 수 없습니다."
Roads,도로
Open Terrain. Provides a tile movement bonus.,열린 지형. 타일 이동 보너스를 제공합니다.
Walls,성벽
Special defense Terrain. Provides high ground. Defense bonus vs Squads not on a Wall. Blocks melee attacks from the ground and blocks tile map movement. Can be traversed via a Ramp.,"특수 방어 지형. 고지대 보너스를 제공합니다. 성벽에 있지 않은 부대를 상대시 방어 보너스를 제공합니다. 지면으로부터의 근접 공격을 막아주고, 전술 지도 이동을 막습니다. 경사로를 통해 오를 수 있습니다."
Cavalry,기병
"If the majority of a Squad's Capacity cost is from Cavalry unit types, it becomes a Cavalry Squad.\\PARCavalry Squads can move faster in 'Open' terrain, and can move after attacking. In the Tactics tech tree, Cavalry can learn how to perform a 'Charge Attack' when moving a large number of tiles in the same turn, and both attacker and defender are in Open Terrain.\\PARCavalry units are all vulnerable to Polearm users, or Hussars, an advanced Light Cavalry Class.'Hit and Run' is a feature of Normal Cavalry and Light Cavalry Squad Types. After taking an action such as attacking or healing, a Cavalry Squad can then move again using half of their original total Movement Points.","부대의 보급 비용이 주로 기병 유닛 종류에서 나올 때 부대는 기병 부대가 됩니다.\\PAR기병 부대는 ‘열린’ 지형에서 더 빠르게 이동하며, 공격 후에도 이동할 수 있습니다. '연구 개발'의 '전술과 명령'에서 기병은 많은 수의 타일을 한 턴에 이동하고, 공격자와 수비자 모두 열린 지형에 있을 때 발동되는 ‘돌격 공격’ 을 배울 수 있습니다.\\PAR기병 유닛은 모두 장창병 및 고급 경기병 병과인 창기병에 취약합니다. 일반 기병과 경기병 부대 종류는 '치고 빠지기'가 특징입니다. 공격이나 치유 같은 행동을 취한 후, 기병 부대는 잔여 이동 가능거리의 절반만큼 다시 이동할 수 있습니다."
Stables,마구간
Provides War Horse resources when captured.,점령하면 전투마 자원을 제공합니다.
Donari Temples,도나리교 사원
"Visit a Temple to refresh out-of-battle heals, and revive defeated allies, for a gold fee.","사원을 방문하면 금화를 지불해 전술 지도에서의 치유 횟수 재충전, 사망한 아군 유닛의 부활이 가능합니다."
Conscripts and Mercenaries,징집병과 용병
"Conscripts are fresh, untrained recruits that are cheap and unlimited. Mercenaries are strong, but expensive, and not as loyal to your cause, but often come with their own gear and special traits.\\PARConscripts are the first 4 slots in the recruiting pool in the Home Base market.","징집병은 저렴하고 무제한 제공되는, 훈련 받지 않은 새로운 신병입니다. 용병들은 강하지만 비싸고, 당신의 대의에 충성하지는 않지만, 자신만의 장비와 특성이 있을 수 있습니다.\\PAR징집병은 기지 교역소에서 모집 탭의 첫 4개 채용 슬롯에 나타납니다."
Artifacts,유물
