"Imperial Army Camp, Year 997","제국군 야영지, 997년"
Chapter 1: Rebellion,제 1장: 반란
Engage with the forces of the Antares Rebellion and seize Eastwall Fortress for the Imperial Army.,안타레스 반군과 교전하여 제국군을 위해 이스트월 요새를 점령하세요.
"Eastwall Fortress, Year 997","이스트월 요새, 997년"
Chapter 2: For Whose Sake?,제 2장: 누구를 위해서인가?
Antares has fled with Empress Florina to the deep forest. Pursue his army and approach the main rebel hideout at Centurion's Rest.,안타레스가 플로리나 여황와 함께 깊은 숲으로 달아났습니다. 그의 군대를 추격하여 백인대장의 안식처에 있는 반군의 주 은신처에 접근하세요.
"Centurion's Rest, Year 997","백인대장의 안식처, 997년"
Chapter 3: Crimson Star,제 3장: 진홍빛 별
Antares is trapped in Centurion's Rest. Fight alongside the Imperial Army to besiege Centurion's Rest and destroy the rebellion.,안타레스가 백인대장의 안식처에 갇혀 있습니다. 제국군과 함께 싸워 백인대장의 안식처를 포위하고 반군을 궤멸시키세요.
"Secret Prison near Granheim, Year 997","그랜하임 근처의 비밀 감옥, 997년"
Chapter 4: Paradigm Shift,제 4장: 인식의 전환
"Stefan, master spy of the Donari Temple, must pull off a daring rescue from the clutches of the Followers of Zanatus.",도나리교 최고의 첩보원 스테판이 자나투스의 추종자들 손아귀에서 대담한 구출을 성공해야만 합니다.
"Granheim Abbey, Year 997","그랜하임 수도원, 997년"
Chapter 5: Divine Hammer of the Donari,제 5장: 도나리의 신성한 망치
Chapter 5: Divine Hammer,제 5장: 신성한 망치
"Time to begin the journey to Lemelin Monastery. We will have to fight our way back, every step of the way.","레멜린 대수도원으로 여정을 시작할 때입니다. 여정의 매 걸음, 싸움이 이어질 것입니다."
"Fort Naxos, Year 997","낙소스 요새, 997년"
Chapter 6: Journey to Lemelin,제 6장: 레멜린으로 가는 길
The Tidereaver Pirates have been unleashed upon us. We must hold Fort Naxos against their attack at all costs.,타이트리버 해적들이 우리 앞에 모습을 드러냈습니다. 무슨 수를 써서라도 이들의 공격에서 낙소스 요새를 지켜내야 합니다.
"Port Jenos, Year 997","제노스 항구, 997년"
Chapter 7: Tidereaver,제 7장: 타이드리버
A massive storm has forced the Tidereaver fleet to chain together and wait. We will capitalize on their weakness.,거대한 폭풍은 타이드리버 선단이 서로 사슬을 걸어매고 폭풍이 지나가기를 기다리게 했습니다. 이들의 약점을 극대화해야 합니다.
"Encampment at Greyden Swamp, Year 997","그레이덴 늪지 캠프, 997년"
Chapter 8: Marooned,제 8장: 난파됨
"The storm damaged our own ships, forcing us off course. But now, we have the opportunity to annihilate the Tidereaver presence completely.","폭풍이 우리 선단에 피해를 줘서 항로를 벗어나게 됐습니다. 하지만 이제, 우리는 타이드리버의 존재를 완전히 궤멸시킬 기회가 생겼습니다."
"Lemelin Monastery, Year 997","레멜린 대수도원, 997년"
Chapter 9: Sanctuary,제 9장: 보호구역
We've reached Lemelin at last. But our enemies are eager to strike at any moment...,마침내 레멜린에 닿았습니다. 하지만 우리의 적들은 언제든 공격하려 준비하고 있습니다...
Chapter 10: To War,제 10장: 전쟁으로
"The Veridian Civil War has begun. We find ourselves aligned with the Western forces, in direct opposition to the Prime Minister. We set out now to save Isanter's capital city, and liberate Trucea.",베리디아 내전이 시작되었습니다. 우리는 수상과 직접 대립하는 서부군과 연합했습니다. 이제 이산테르의 수도를 구하고 트루세아를 해방시켜야 합니다.
"Trucea, Year 997","트루세아, 997년"
Chapter 11: Deadly Gambit,제 11장: 죽음의 도박
"The Eastern forces are off balance. Time to take the fight to their turf. Their main base of operations lies ahead, at Fort Eureeka.","동부군의 균형이 무너졌습니다. 이제 싸움을 저들의 영역으로 끌고 갈 때입니다. 이들의 작전 기지는 저 앞, 유리카 요새입니다."
"Fort Eureeka, Year 997","유리카 요새, 997년"
Chapter 12: Upheaval,제 12장: 격변
"We've taken Fort Eureeka, but the Eastern forces remain steadfast. Man the defenses at Fort Eureeka and prepare for the battle of our lives.","유리카 요새를 손에 넣었지만, 동부군은 아직 확고부동합니다. 유리카 요새의 성벽에 병사를 세우고, 목숨을 건 전투를 준비하십시오."
"Rimorgue River Valley, Year 997","리모르그 강 계곡, 997년"
Chapter 13: Conquest,제 13장: 정복
Casamir has no business leading armies. Let us show him how it is done. Conquer Rimorgue and crush the resistance at Stormrook.,카사미르는 군을 이끌 자격이 없다. 군의 일이 어떻게 이루어져야 하는지 본때를 보여라. 리모르그를 정복하고 스톰루크의 저항 세력을 분쇄하라.
"Westerfield Keep, Year 999","웨스터필드 성, 999년"
"Chapter 14: Paladin, Undaunted",제 14장: 불굴의 성기사
"Diana's Rebellion has stormed Westerfield Keep, a child detention facility. Wipe out the defenders and free the prisoners.",다이애나의 반란군은 아동 수용소인 웨스터필드 성을 습격했습니다. 방어군을 몰아내고 죄수들을 풀어주세요.
"Outside Westerfield, year 999","웨스터필드 교외, 999년"
Chapter 15: Westerfield Escape,제 15장: 웨스터필드 탈출
"We've freed the children, but overwhelming reinforcements have arrived. We must cross the river and arrive safely at Centurion's Rest before we are overtaken.","아이들을 구해냈지만, 적의 압도적인 증원군이 도달했습니다. 우리는 이들과 맞닥뜨리기 전에 강을 건너 백인대장의 안식처에 안전히 당도해야 합니다."
"Centurion's Rest, Year 999","백인대장의 안식처, 999년"
Chapter 16: Desperation,제 16장: 필사적
"We cannot ignore the Nephilim Prophecy any longer. Break into the Imperial Palace via its rear sally port, clearing the way to Mount Ptolomea.","더 이상 네필림 예언을 무시할 수 없습니다. 후면의 진입로를 통해 황궁으로 침입하여, 프톨로메아 산으로 가는 길을 확보하세요."
"Rebel Front Base, Year 999","반군 전진 기지, 999년"
Chapter 17: Coaxing the Divine,제 17장: 신성을 구슬리기
"The enemy has taken great measures to prevent access to the path to Mount Ptolomea. We must shatter their magical barrier, allowing Diana free passage to her destiny.","적이 프톨로메아 산으로 가는 길을 막기 위해 많은 조치를 취해 뒀습니다. 우리는 저들의 마법 장벽을 부숴, 다이애나가 운명에 이를 수 있는 길을 터야 합니다."
Chapter 18: Emborian Dawn,제 18장: 엠보어의 새벽
"The Avatar of Donar has returned to Tahnra, signaling the true beginning of the Nephilim Army. Our first objective is to liberate the far north lands of Embor.","도나르의 현신이 탄라로 돌아와서, 네필림 군대의 진정한 시작을 알립니다. 우리의 첫 번째 목표는 먼 북쪽의 땅 엠보어를 해방시키는 것입니다."
"Embor, Year 999","엠보어, 999년"
Chapter 19: Return to Eastwall,제 19장: 이스트월로의 귀환
"Lysander has managed to establish a stronghold in Eastwall Fortress, but faces overwhelming odds. We must reinforce his army and reunite with our companions.","라이샌더는 이스트월 요새에 거점을 마련했지만, 압도적인 난관을 마주하고 있습니다. 우리는 라이샌더의 군대를 증원하고 우리의 동료들을 규합해야 합니다."
Chapter 20: Wild Card,제 20장: 비장의 카드
The Historium Magnus has been stolen! We know the thief has fled to the active volcano at Mount Karnac.,히스토리움 마그누스가 도난당했습니다! 우리는 도둑이 카르낙 활화산으로 달아났다는 것을 알고 있습니다.
"Nephilim Base near Sandraka, Year 999","산드라카 근처 네필림 기지, 999년"
Chapter 21: Liberating Sandraka,제 21장: 산드라카 해방
"We have established a strongpoint on the Sandraka continent. If we can seize the large city of Crestmoor, we will strike a critical blow to Casamir's grip on the South.",우리는 산드라카 대륙에 거점을 설립했습니다. 대도시 크레스트무어를 손에 넣으면 남부에 대한 카사미르의 영향력에 치명타를 날릴 수 있습니다.
"Greywind Peak, Year 999","그레이윈드 봉우리, 999년"
Chapter 22: Greywind Peak,제 22장: 그레이윈드 봉우리
"Greywind Peak stands before us, and within it, Diana's destiny as a fully-realized Nephilim warrior.","그레이윈드 봉우리가 우리 앞에 서 있고, 그 안에는 네필림 전사로 완전히 탈바꿈하는 다이애나의 운명이 기다리고 있습니다."
"Nephilim Army Sayunaa Front Base, Year 999","네필림 군대 사유나 전진 기지, 999년"
Chapter 23: Unwise Alliance,제 23장: 현명하지 못한 동맹
"The Kingdom of Sayunaa has subjugated itself to Casamir to avoid war, and has disposed of their own monarchs. We must try to rein in the Sayunaari, by any means necessary.","사유나 왕국은 전쟁을 피하기 위해 카사미르에게 예속되고, 자신들의 왕을 없앴습니다. 우리는 수단과 방법을 가리지 않고 사유나 사람들을 멈춰야 합니다."
"Ezrum, Year 999","에즈룸, 999년"
Chapter 24: Scorched Sands,제 24장: 타는 듯한 모래
"The Sayunaari have thrown in completely for Casamir, and against us. We must try to salvage the situation. By reducing their warmaking ability, we may demoralize them enough to call for peace.","사유나 사람들은 완전히 카사미르의 손아귀에 들어가 우리를 대적하고 있습니다. 우리는 이 상황을 돌이켜야 합니다. 이들의 전쟁 능력을 감소시킴으로써, 우리는 평화 협상이 가능할 정도로 이들의 사기를 꺾을 수 있을지도 모릅니다."
"Fort Dakur, Year 999","다쿠르 요새, 999년"
Chapter 25: Kingdom of Gold,제 25장: 황금의 왕국
"The golden city of Sayunaa's capital lies before us. Regent Lord Cyrus stands defiant, throwing many unwilling Sayunaari into battle. May Donar bring this war to an end soon.","사유나의 황금 도시가 우리 앞에 서 있습니다. 섭정 영주 사이러스는 아직 저항중이며, 싸움을 원치 않는 많은 사유나 사람들을 전투에 몰아넣고 있습니다. 도나르께서 이 전쟁을 곧 끝내주시길."
"Nephilim Army Front Base outside Stormrook, Year 999","스톰루크 바깥 네필림 군대 전진 기지, 999년"
Chapter 26: Stormrook Looms,제 26장: 지척의 스톰루크
"With Sayunaa and its resources on our side, our army has grown powerful. We now face a massive clash in the Rimorgue River Valley. If we can conquer Stormrook and Rimorgue, Casamir is doomed.","사유나와 사유나의 자원이 우리 것이 되면서 우리 군대는 강력해졌습니다. 이제 우리는 리모르그 강 계곡에서의 거대한 충돌을 마주하고 있습니다. 스톰루크와 리모르그를 정복할 수 있다면, 카사미르는 파멸할 것입니다."
"Nephilim Army Front Base at Armitage, Year 999","아미티지의 네필림 군대 전진 기지, 999년"
Chapter 27: Return to the Origin,제 27장: 근원으로의 회귀
"Casamir refuses to surrender despite obvious defeat. As we move to conquer Armitage, we must consider the lives of the Imperial soldiers whose morale is broken and are desperate for peace.","카사미르는 명백한 패배에도 항복을 거부합니다. 아미티지를 정복하러 움직일 때, 우리는 사기가 저하되고 절박하게 평화를 원하는 제국군의 목숨을 고려해야 합니다."
"Armitage Base, Year 999","아미티지 기지, 999년"
