ENGLISH,PORTUGUÊS (BRASIL)
Steel Arming Sword,Espada cavaleiresca de aço
A standard issue sword using the same design for the last Millenium used by Imperial armies.,Uma espada forjada padrão com o mesmo desenho usado no último milênio pelos exércitos imperiais.
Elegant Blade,Espada elegante
"An exsquisitely-crafted ceremonial tuck, made for Veridian Emperor Krauser XIII. ","Uma dobra cerimonial requintadamente trabalhada, feita para o imperador veridiano Krauser XIII. "
Flame Saber,Sabre de chamas
A sword bearing a flame enchantment from the depths of Mount Karnac.,Uma espada com encantamento de fogo das profundezas do Monte Karnac.
Steelshatter,Estilhaçadora
An ancient blade made from a forgotten material designed to penetrate armor. ,"Uma antiga espada forjada de um material esquecido, projetada para penetrar armaduras. "
Excalibur,Excalibur
"A holy blade designed by the Donari Temple centuries ago to be a likeness of Lightfury. While not infused with Donar's divine power, the sword bears extraordinary magical enchantments.","Uma espada sagrada projetada pelo Templo Donari séculos atrás para ser similar à Furiluz. Apesar de não conter o poder divino de Donar, a espada carrega encantamentos extraordinariamente mágicos."
Sin Credo,Credo-pecador
"A mysterious weapon that draws vitality to the user from its surroundings, granting the user unnatural new abilities.","Uma arma misteriosa que drena a vitalidade dos arredores para seu usuário, concedendo novas habilidade sobrenaturais."
Steel Greatsword,Espada longa de aço
A standard issue longsword using the same design for the last Millenium used by Imperial armies.,Uma espada longa forjada padrão com o mesmo desenho usado no último milênio pelos exércitos imperiais.
Giant's Thresher,Foice dos gigantes
A lost race of Giants occupy the extreme Western edges of the known world. Some of their tools have made it to human lands.,Uma raça perdida de gigantes ocupa os confins ocidentais do mundo conhecido. Algumas de suas ferramentas chegou às terras humanas.
Kesh's Daikatana,Daikatana de Kesh
"A unique, elegant longsword designed by the ""Slayer of Genbu"", the late Master Kesh.","Uma espada longa única e elegante projetada pelo “Ceifador de Genbu"", o falecido Mestre Kesh."
Dragonslayer,Matadragão
"A longsword bearing an enchantment derived from the blood of Adorimetra, Mother of Dragons. ","Uma espada longa encantada pelo sangue de Adorimetra, Mãe dos Dragões. "
Balmung,Balmung
"The divine blade of Saint Ishtar, Nephilim Avatar of Sacrifice.","A espada divina de Santo Ishtar, avatar do sacrifício de Nephilim."
Sayunaari War Pike,Pique de guerra Sayunaari
A tried and true staple of the venerated Sayunaari defense forces.,Uma haste testada e eficiente das veneradas forças de defesa Sayunaari
Crystal Lance,Lança de cristal
A relic of the Donari Temple designed to counter dark magic.,"Uma relíquia do Templo Donari, projetada para combater magia das trevas."
Fang of Duros,Presa de Duros
"A weapon built around a fang recovered from the legendary Black Dragon, Duros.","Uma arma construída ao redor de uma presa do lendário dragão negro, Duros."
Eskandar's Karambit,Karambit de Eskandar
"A platina-plated specialized dagger wielded by the Great Chieftain of the Barek Tor, Eskandar.","Uma adaga especializada de platina que foi utilizada pelo grande chefe de Barek Tor, Eskandar."
Obsidian Edge,Fio de obsidiana
A one-of-a-kind assassin's knife thought to be an ancient tool used by one of the founding members of the Tidereaver Pirates.,Uma lâmina única de assassino que acreditam ser uma antiga ferramenta usada por um dos membros fundadores dos Piratas Saquemar.
Zero Point Blade,Lâmina do ponto zero
The ancient Skyborn Dominion developed these as a sidearm for its warrior elite.,O antigo Domínio Naticeleste a desenvolveu como uma arma secundária para seus guerreiros de elite.
Acolyte's Mace,Maça Acolita
Standard-issue enchanted mace given to Temple Acolyte warriors.,Maça encantada padrão dada aos guerreiros do Templo Acolita.
