ENGLISH,PORTUGUÊS (BRASIL)
XP Codex,Códice de EXP
Used to instantly level up any Unit in your Army. Can only be used on a Unit with a lower level than your highest leveled Unit.,Usado para aumentar o nível instantaneamente de qualquer unidade em seu exército. Pode ser usado somente em uma unidade com um nível inferior à sua unidade mais alta.
CP Codex,Códice de PC
Used to increase the Class Mastery of the current Class of any Unit in your Army by 500.,Usado para aumentar a Maestria de classe da classe atual de qualquer unidade em seu exército em 500.
Bronze Arena Token,Ficha de arena de bronze
"""The Imperial Academy has not sanctioned these gladitorial games, but is happy to recruit its victors.""","“A Academia Imperial não sancionou esses jogos de gladiadores, mas está disposta a recrutar seus vencedores.”"
Silver Arena Token,Ficha de arena de prata
"""The Emborian Tundra is vast and harsh, and forges much more resilient warriors.""",“A Tundra Emboriana é vasta e dura e forja guerreiros muito mais resilientes.”
Gold Arena Token,Ficha de arena de ouro
"""In the deserts of Sayunaa lies a fortress hidden in the cliffs. A location soaked with the blood of many generations of gladiators.""",“Nos desertos de Sayunaa jaz uma fortaleza escondida nas colinas. Um local banhado pelo sangue de inúmeras gerações de gladiadores.”
Platinum Arena Token,Ficha de arena de platina
Proof of Merit,Prova de mérito
Use on a Tier 3 unit with maxed CP to upgrade them to a gold version of their current class. Will no longer be able to class change.,Use uma unidade de nível 3 com CP máximo para melhorá-la para uma versão de ouro de sua classe atual. Não será mais possível mudar de classe.
Iron,Ferro
"This common resource is a staple of any army, and is used to create steel equipment. ",Este recurso comum é fundamental para qualquer exército e é usado para criar equipamentos de aço. 
Obsidian,Obsidiana
"An exotic, dense, super-tensile material master blacksmiths can use to greatly augment steel equipment. While weapons become slightly heavier, they become much more deadly.","Um material exótico, denso e super elástico que mestres ferreiros podem usar para melhorar consideravelmente equipamentos de aço. Ao passo que armas se tornam levemente mais pesadas, também se tornam muito mais mortais."
Sunstone,Pedra do sol
A rare and precious stone that exhibits the unique ability to focus and enhance healing and Light magics.,Uma pedra rara e preciosa que possui a capacidade única de concentrar e melhorar magias de cura e de luz.
Gems,Gemas
