ENGLISH,PORTUGUÊS (BRASIL)
My king. All is well. The Dargon dynasty is restored.,Meu rei. Tudo está bem. A dinastia de Dargon foi restaurada.
"I'll never get used to that...\| Especially from you, Narima.","Nunca me acostumarei com isso...\| Especialmente, vindo de você, Narima."
"You must embrace your heritage.\! Our people are desperate for a return to the glory of old.\! Do not worry, we of the Scions of Dargon will not leave your side.","Você deve abraçar sua linhagem.\! Nosso povo está desesperado pelo retorno da glória do passado.\! Não se preocupe, nós dos Herdeiros de Dargon não deixaremos o seu lado."
"Thanks so much...\! But please, you've done so much of the work!\! All I did was be born!\! You should still refer to me as Jules.","Muito obrigado...\! Mas, por favor, você fez tanto!\! Tudo o que fiz foi nascer!\! Você ainda deveria se referir a mim como Jules."
"That is another matter...\! The name 'Jules' was given to you by Veridian aristocracy.\! It is not a proper name for a Sayunaari king.\! May I suggest Kasim, the name of your great grandfather, the first descendant of Dargon who was denied the crown.","Essa é outra questão...\! O nome “Jules” foi lhe dado pela aristocracia veridiana.\! Não é um nome adequado para um rei sayunaari.\! Será que posso sugerir Kasim, o nome de seu tataravô? O primeiro descendente de Dargon, cuja coroa lhe foi negada."
King Kasim of Dargon...\| Well...\| Let me think about it!,Rei Kasim de Dargon...\| Bom...\| Vou pensar a respeito!
Have you considered acquiring a Queen to pass on your royal lineage?,Já considerou adquirir uma rainha para passar sua linhagem real?
"'Acquiring'? Haha, not yet...",“Adquirir”? Ha ha... ainda não...
"I implore you to take a Sayunaari woman. A tender, pretty one.\! When we have time, you will find that Sayunaa is overflowing with them.","Imploro que escolha uma mulher sayunaari. Uma afetuosa e bonita.\! Quando tivermos tempo, verá que Sayunaa está cheia delas."
"Oh, okay.\! Well... what about you?\! You're a Sayunaari woman, are you not?","Ah, ok.\! Bom... e que tal você?\! Você é uma mulher sayunaari, não é?"
"My king...\| I am hardened by war. I could not provide a warm haven for you to rely upon as a man.\! Sayunaari men like you are traditional, and would be better served...",Meu rei...\| Fui endurecida pela guerra. Não poderia oferecer um abrigo caloroso para você contar como um homem.\! Homens sayunaari como você são tradicionais e encontrarão algo melhor...
"But I'm not like them at all, I love that you're tough and determined. Like a war goddess!\! But please don't think about that. Even with all you've been through, you never lost sight of your life's work.\! I have never admired one as much as I do you...\| You are Sayunaa's greatest hero!","Mas eu não sou nada como eles. Eu amo que você seja valente e determinada. Como uma deusa da guerra!\! Mas, por favor, não pense nisso. Mesmo com tudo pelo que passou, você nunca perdeu de vista o trabalho da sua vida.\! Eu nunca admirei tanto alguém como a admiro...\| Você é a maior heroína de Sayunaa!"
"You humble me...\| Jules...\| you face tremendous challenges.\! I will let you fall back into me for refuge, whenever you need. Forever and beyond, my king...","Não tenho palavras...\| Jules...\| você enfrentará grandes desafios.\! Deixarei que me procure para abrigá-lo, sempre que precisar. Para sempre e além, meu rei..."
