"Rest in peace, Kuroda.","Descanse em paz, Kuroda."
"That makes 18 souls you've asked me to send to the void. Is your bloodlust sated yet, or do you have a 19th for me?!",Assim se vão 18 almas que você me pediu para enviar para o vazio. Sua sede de sangue já está saciada ou você tem uma 19ª para mim??
"Stay your weapons, Razehl. I surely wouldn't want to cross blades with the likes of you!","Acalme suas armas, Razehl. Com certeza, não gostaria de enfrentar alguém como você!"
"That man you just defeated... Kuroda, they called him. Well, little do these people know. His name was something else entirely.\! But that is no matter to you or I anymore, is it?","Aquele homem que você acabou de derrotar... Kuroda, como o chamavam. Bom, mal sabem essas pessoas. O nome dele era completamente diferente.\! Mas isso não importa mais para você e para mim, não é mesmo?"
"I am in no mood for riddles. If you have business with me, out with it, old man.","Não estou com disposição para charadas. Se tem negócios comigo, é melhor falar logo, velho."
"I've been watching you, Razehl. I have a keen eye for true talent. And it would seem, you've proven me right.\! I've paid off these men, who have kept you as some...\| toy. Some implement of their puerile amusement.\! No, henceforth, you will be who you were made to be. The title of Kuroda... this title has spanned generations. An instrument of death. Kingmaker, and godslayer!\! That title is now yours. As so too are its many, many rewards - I'll see to that.","Eu o tenho observado, Razehl. Tenho um olhar atento para verdadeiros talentos. E parece que você provou que estou certo.\! Subornei esses homens, que o mantiveram como algum...\| brinquedo. Um mero instrumento para a diversão infantil deles.\! Não mais. Doravante, você será quem foi feito para ser. O título de Kuroda... esse título se estende por gerações. Um instrumento da morte. Criador de reis e assassino de deuses!\! Esse título agora é seu. Assim como também serão suas as muitas e muitas recompensas."
...And you expect me to do as you ask now?,... E espera que eu faça o que você pede agora?
"You will. Not because it is my wish, but because it is yours. I know your heart, young Kuroda. Boiling, brimming with a desire for justice.\! Against the men who took your parents from you... took your future away, and any chance at peace.\! Together, we will cut them down, Kuroda. You need but trust me, little by little, as I lead you ultimately to their timely demise.","Você vai. Não porque é meu desejo, mas porque é o seu. Conheço o seu coração, jovem Kuroda. Fervendo e transbordando com um desejo por justiça.\! Contra os homens que tiraram seus pais de você... tiraram seu futuro e qualquer chance de paz.\! Juntos, vamos derrubá-los, Kuroda. Você só precisa confiar em mim, pouco a pouco, enquanto eu o guio até a morte deles no momento certo."
You're right.,Você tem razão.
Direct my blade. May the dogs calling for war never breathe again...,Conduza minha lâmina. Quem sabe os cães uivando por guerra nunca mais respirem...
"All in due time. The great lords of Ezrum, Calador, Reza, and Qurmad, and the Regent Lord of Sayunaari Palace must die.\! It is no concern of the Sayunaari people, for I have suitable replacements for all, ready to fill the void.\! Rest assured, I will see to it that they no longer act rashly, or for self-interest, but rather for the betterment of your people. Stability, and peace, at long last.","Tudo a seu tempo. Os grandes senhores de Ezrum, Calador, Reza e Qurmad, assim como o Senhor Regente do Palácio Sayunaari, devem morrer.\! Isso não é da responsabilidade do povo sayunaari, pois tenho substitutos adequados para todos eles, prontos para preencher a lacuna.\! Tenha certeza de que farei com que eles não ajam mais de forma precipitada ou por interesse próprio, mas sim em prol do bem-estar do seu povo. Estabilidade e paz, finalmente."
