Change to,Mudar para
Demote to,Demover para
Promote to,Promover para
(Unit perma-death is suspended),(A morte permanente da unidade está suspensa)
Start a new game with these settings?,Iniciar um novo jogo com estas configurações?
Reload the base?\NEWLINEData will be restored to when you last entered or saved in the base.,Recarregar a base?\NEWLINEOs dados serão restaurados para a última vez que acessou ou salvou na base.
Return to title?\NEWLINEAll unsaved progress will be lost.,Voltar à tela inicial?\NEWLINETodo o progresso não salvo será perdido.
Are you sure you want to exit the game?\NEWLINEAll unsaved progress will be lost.,Quer mesmo sair do jogo?\NEWLINETodo o progresso não salvo será perdido.
Select a difficulty,Selecione uma dificuldade
Enable helpful hints throughout the game. Can be toggled in Options.,Ativa dicas úteis por todo o jogo. Pode ser ativado/desativado em Opções.
Non-story characters incapacitated at the end of a mission are \NEWLINElost forever. Their resources will be refunded.,Personagens secundários incapacitados ao final de uma missão\NEWLINEsão perdidos para sempre. Seus recursos serão reembolsados.
Begin the game,Começar o jogo
Deploy to the this side mission?,Embarcar nesta missão secundária?
"WARNING! After completing this chapter, the threads of time will be disrupted, and some side quests will no longer be available. \\LINEAre you sure?","AVISO! Após completar este capítulo, os fios do tempo serão partidos e algumas missões secundárias não estarão mais disponíveis. \\LINETem certeza?"
Deploy to the next Mission?,Embarcar na próxima missão?
Are you sure you want to exit?\NEWLINEAll unsaved progress will be lost.,Quer mesmo sair?\NEWLINETodo o progresso não salvo será perdido.
Restore settings to default?,Restaurar a configurações para o padrão?
"These two will be bound together, preventing any other such bonds.\NEWLINE Are you sure?","Esses dois formarão um vínculo, evitando qualquer outro vínculo.\NEWLINETem certeza?"
Are you sure you want to sell this item?,Quer mesmo vender este item?
Item will be unequipped and sold.,O item será desequipado e vendido.
Are you sure you want to purchase this?,Quer mesmo comprar este item?
Are you sure you want to hire this mercenary?,Quer mesmo contratar este mercenário?
Are you sure you want to skip the cutscene?,Quer mesmo pular a animação?
Are you sure you want to skip all cutscenes (until next gameplay)?,Quer mesmo pular todas as animações (até a próxima vez que jogar)?
Are you sure you want to quicksave?\NEWLINEPrior Quicksave will be overwritten.,Quer mesmo salvar rapidamente?\NEWLINEO salvamento rápido anterior será substituído.
Are you sure you want to load?\NEWLINEProgress will be reverted to last QuickSave.,Quer mesmo carregar?\NEWLINEO progresso será revertido para o último salvamento rápido.
Are you sure you want to restart mission?\NEWLINEMission progress will be lost.,Quer mesmo reiniciar a missão?\NEWLINEO progresso da missão será perdido.
