ENGLISH,PORTUGUÊS (BRASIL)
World Lore,Conhecimento Mundial
Tactics and Strategy,Tática e Estratégia
Class List,Lista de Classes
Terrains,Terrenos
Reference Guide,Guia de Referência
Tutorial,Tutorial
Tahnra,Tahnra
"Our world. Creation of Donar. The first sapient life were the Earthenfey, who populated our world in its primal state. Now, Tahnra houses Humans, Skyborn, Barek Tor, and Demyrians. Our current story takes place entirely in the Human lands, but there is a vast, rich world beyond our borders.","Nosso mundo. Criação de Donar. A primeira vida sapiente eram os Terrenfey, que povoaram nosso mundo em seu estado primal. Agora, Tahnra abriga Humanos, Naticelestes, Barek Tors e Demyrianos. Nossa história atual se passa totalmente nas terras humanas, mas há um mundo vasto e rico além de suas fronteiras."
Empire of Veridia,Império de Veridia
"The largest, most powerful entity in Tahnra. Its vast territory boasts the richest lands in the world.\\PARIts weakness is its political instability. The ruler is selected by an elective process involving both the nobility and the Temple. This system recently reached a critical failure state, resulting in the War of Veridian Succession.","A maior e mais poderosa entidade em Tahnra. Seu vasto território desfruta das terras mais ricas no mundo.\\PARSua fraqueza é sua instabilidade política. O governador é selecionado por um processo eletivo que envolve tanto a nobreza quanto o Templo. Este sistema recentemente chegou a um ponto de falha crítica, resultando na Guerra de Sucessão Veridiana."
The Donari Temple,O Templo Donari
"Founded by the Avatar of Donar, legendary hero. It has existed for the last thousand years; indeed its founding marks the beginning of the current Human calendar widely adopted by all the civilizations of Tahnra. \\PARThe city of Lemelin finds the Lemelin Monastery at its center, the highest Temple facility, which houses its Grandmaster and other Temple leadership.","Fundado pelo Avatar de Donar, herói lendário. Ele existiu por, pelo menos, mil anos. De certo que sua fundação marca o início do calendário humano atual altamente adotado pelas civilizações de Tahnra.\\PARA cidade de Lemelin tem o Mosteiro de Lemelin em seu centro, a maior construção do Templo, que abriga o Grão-mestre e outros líderes do Templo."
War of Veridian Succession,Guerra de Sucessão Veridiana
"Date: Year 969-972\\PARLocation: Veridia Province, Western Sayunaa\\PARBelligerents: Various noble houses from Veridia and Sayunaa, Central Imperial government\\PARResult: Treaty of Trucea. Compromise between feuding nobles, Florina, descendent of House Iblis of Rimorgue, installed as Empress.\\PARTerritory changes: Though House Iblis made marginal gains to the West and South, all territory returned to pre-war borders following the Treaty of Trucea.\\PARCasualties: 124,000 military deaths, 2,000,000 military and civilians injured or displaced\\PARUndoubtedly the greatest disaster in recent memory, this war spiraled out of control with what began as a minor disagreement about the lineage of various possible successors following the untimely death of the former Emperor.","Data: Anos 969-972\\PARLocal: Província de Veridia, Sayunaa Ocidental\\PARBeligerantes: Diversas casas nobres de Veridia e Sayunaa, governo imperial central\\PARResultado: Tratado de Trucea. Concessão entre nobres feudais: Florina, descendente da Casa Iblis de Rimorgue, nomeada Imperatriz.\\PARMudanças territoriais: Apesar de a Casa Iblis ter tido ganhos marginais no Oeste e no Sul, todo o território voltou para as fronteiras pré-guerra, seguindo o Tratado de Trucea.\\PARBaixas: 124.000 mortes militares, 2.000.000 militares e civis feridos ou deslocados.\\PARSem dúvida o maior desastre que se pode lembrar, esta guerra saiu do controle do que começou como uma pequena desavença sobre a linhagem de vários sucessores possíveis após a morte prematura do antigo imperador."
Kingdom of Sayunaa,Reino de Sayunaa
"This nation spans a sizeable territory in the hot, arid center of the mainland and is surrounded on all sides by treacherous mountains and desert.\\PARSuspicious of outsiders. Boasts a massive reserve of mineral wealth that fuels Sayunaa's power.",Esta nação abrange um território considerável no centro quente e árido do continente e é cercada por todos os lados por montanhas traiçoeiras e desertos.\\PARSuspeita de forasteiros. Possui uma enorme reserva de riqueza mineral que alimenta o poder de Sayunaa.
General Antares,General Antares
"Race: Veridian Human\\PARBirthplace: Armitage\\PARHeight: 6'0''\\PARWeight: 198 lbs\\PARBirth year: 948\\PARGeneral during the War of Veridian Succession, and leader of a Rebellion of his own creation in protest of government overreach.","Raça: Humano Veridiano\\PARLocal de nascimento: Armitage\\PARAltura: 1,82\\PARPeso: 90 kg\\PARAno de nascimento: 948\\PARGeneral durante a Guerra de Sucessão Veridiana e líder de uma Rebelião de sua própria criação em protesto a excessos do governo."
Squads,Esquadrões
"Your Army is organized into Squads. Squads are comprised of between 1 and 9 units, with one of them serving as the Squad Leader.\\PARSquad Capacity, the ability to include more units and artifacts, is determined by the LDR stat of the Squad Leader.\\PARSquad unit composition determines Squad Type, which affects movement and combat.\\PARUse the 'Organize' command in Home Base and Deployment phases to create, disband, and edit your Squads. You are also able to change class, equipment, traits, and assign Squad Leader.","Seu exército é organizado em Esquadrões. Os esquadrões são compostos de 1 a 9 unidades, com uma delas servindo como líder do esquadrão.\\PARA capacidade do esquadrão, a capacidade de incluir mais unidades e artefatos, é determinada pelo atributo LID do líder do esquadrão.\\PARA composição de unidades do esquadrão determina o tipo de esquadrão, que afeta o movimento e o combate.\\PARUse o comando “Organizar” na base inicial e nas fases de implantação para criar, dissolver e editar seus esquadrões. Você também pode mudar de classe, equipamento, características e atribuir o Líder do esquadrão."
Moving and Attacking,Mover e atacar
