"Imperial Army Camp, Year 997","Acampamento do Exército Imperial, ano 997"
Chapter 1: Rebellion,Capítulo 1: Rebelião
Engage with the forces of the Antares Rebellion and seize Eastwall Fortress for the Imperial Army.,Junte-se às forças da Rebelião de Antares e tome a Fortaleza de Muralheste para o Exército Imperial.
"Eastwall Fortress, Year 997","Fortaleza de Muralheste, ano 997"
Chapter 2: For Whose Sake?,Capítulo 2: Pelo bem de quem?
Antares has fled with Empress Florina to the deep forest. Pursue his army and approach the main rebel hideout at Centurion's Rest.,Antares fugiu com a Imperatriz Florina para as profundezas da floresta. Persiga o exército dele e aborde o esconderijo rebelde principal no Abrigo do Centurião.
"Centurion's Rest, Year 997","Abrigo do Centurião, ano 997"
Chapter 3: Crimson Star,Capítulo 3: Estrela Carmesim
Antares is trapped in Centurion's Rest. Fight alongside the Imperial Army to besiege Centurion's Rest and destroy the rebellion.,Antares está preso no Abrigo do Centurião. Lute ao lado do Exército Imperial para sitiar o Abrigo do Centurião e destruir a rebelião.
"Secret Prison near Granheim, Year 997","Prisão secreta perto de Granheim, ano 997"
Chapter 4: Paradigm Shift,Capítulo 4: Mudança de paradigma
"Stefan, master spy of the Donari Temple, must pull off a daring rescue from the clutches of the Followers of Zanatus.","Stefan, mestre espião do Templo Donari, deve realizar um resgate ousado das garras dos Seguidores de Zanatus."
"Granheim Abbey, Year 997","Abadia de Granheim, ano 997"
Chapter 5: Divine Hammer of the Donari,Capítulo 5: Martelo Divino dos Donari
Chapter 5: Divine Hammer,Capítulo 5: Martelo Divino
"Time to begin the journey to Lemelin Monastery. We will have to fight our way back, every step of the way.","Hora de começar a jornada para o Mosteiro de Lemelin. Teremos que lutar para voltar, a cada passo do caminho."
"Fort Naxos, Year 997","Forte Naxos, ano 997"
Chapter 6: Journey to Lemelin,Capítulo 6: Jornada para Lemelin
The Tidereaver Pirates have been unleashed upon us. We must hold Fort Naxos against their attack at all costs.,Os Piratas Saquemar foram enviados contra nós. Devemos proteger o Forte Naxos contra o ataque deles a todo custo.
"Port Jenos, Year 997","Porto Jenos, ano 997"
Chapter 7: Tidereaver,Capítulo 7: Saquemar
A massive storm has forced the Tidereaver fleet to chain together and wait. We will capitalize on their weakness.,Uma grande tempestade forçou a frota Saquemar a se unir e esperar. Vamos aproveitar a fraqueza deles.
"Encampment at Greyden Swamp, Year 997","Acampamento no Pântano de Covilgris, ano 997"
Chapter 8: Marooned,Capítulo 8: Abandonado
