ENGLISH,Russian
Steel Arming Sword,Стальной рыцарский меч
A standard issue sword using the same design for the last Millenium used by Imperial armies.,"Стандартный меч имперской армии, состоящий на вооружении последнюю тысячу лет."
Elegant Blade,Изящный клинок
"An exsquisitely-crafted ceremonial tuck, made for Veridian Emperor Krauser XIII. ","Вычурная церемониальная рапира, выкованная для веридийского императора Краузера XIII."
Flame Saber,Пламенная сабля
A sword bearing a flame enchantment from the depths of Mount Karnac.,Клинок с нанесёнными на него огненными чарами из горы Карнак.
Steelshatter,Стальной раскалыватель
An ancient blade made from a forgotten material designed to penetrate armor. ,"Древний меч, выкованный из забытого материала. Отлично пробивает броню."
Excalibur,Экскалибур
"A holy blade designed by the Donari Temple centuries ago to be a likeness of Lightfury. While not infused with Donar's divine power, the sword bears extraordinary magical enchantments.","Священный меч, столетия назад созданный храмом Донари по образцу Ярости Света. Хотя он и не наделён божественной силой Донара, на этот клинок нанесены чрезвычайно сильные чары."
Sin Credo,Греховное кредо
"A mysterious weapon that draws vitality to the user from its surroundings, granting the user unnatural new abilities.","Мистическое оружие, высасывающее жизнь и передающее её своему владельцу. Дарует сверхъестественные способности."
Steel Greatsword,Стальной двуручный меч
A standard issue longsword using the same design for the last Millenium used by Imperial armies.,"Стандартный длинный меч имперской армии, состоящий на вооружении последнюю тысячу лет."
Giant's Thresher,Гигантская коса
A lost race of Giants occupy the extreme Western edges of the known world. Some of their tools have made it to human lands.,Вымершая раса гигантов некогда обитала на западных границах известного нам мира. Некоторые из их инструментов добрались и до людских земель.
Kesh's Daikatana,Дайкатана Кеша
"A unique, elegant longsword designed by the ""Slayer of Genbu"", the late Master Kesh.","Изящный и неповторимый длинный меч, созданный «Убийцей Генбу», покойным мастером Кешем."
Dragonslayer,Убийца драконов
"A longsword bearing an enchantment derived from the blood of Adorimetra, Mother of Dragons. ","Длинный меч с чарами, нанесёнными кровью Адориметры, матери драконов."
Balmung,Бальмунг
"The divine blade of Saint Ishtar, Nephilim Avatar of Sacrifice.","Божественный меч святой Иштар — нефилима, Аватара Жертвенности."
Sayunaari War Pike,Боевая пика саюнари
A tried and true staple of the venerated Sayunaari defense forces.,Испытанное временем оружие прославленных сил обороны саюнари.
Crystal Lance,Кристальное копьё
A relic of the Donari Temple designed to counter dark magic.,"Реликвия храма Донари, созданная, чтобы противостоять тёмной магии."
Fang of Duros,Клык Дуроса
"A weapon built around a fang recovered from the legendary Black Dragon, Duros.","Оружие, созданное из клыка легендарного чёрного дракона Дуроса."
Eskandar's Karambit,Керамбит Эскандера
"A platina-plated specialized dagger wielded by the Great Chieftain of the Barek Tor, Eskandar.","Покрытый платиной особый кинжал, который принадлежал великому вождю Барек Тора Эскандеру."
Obsidian Edge,Обсидиановое остриё
A one-of-a-kind assassin's knife thought to be an ancient tool used by one of the founding members of the Tidereaver Pirates.,"Единственный в своём роде кинжал. Считается, что им владел один из основателей пиратов Тайдривера."
Zero Point Blade,Двухклинковый меч
The ancient Skyborn Dominion developed these as a sidearm for its warrior elite.,"Меч, созданный для элитных воинов древнего государства Неборожденных."
Acolyte's Mace,Булава аколита
Standard-issue enchanted mace given to Temple Acolyte warriors.,"Стандартная зачарованная булава, выдаваемая прислужникам Храма."
Crusader's Mace,Булава крестоносца
A massive weapon plated with obsidian wielded by the elite Donari Paladin order.,"Массивное оружие, усиленное обсидианом. Выдаётся элите паладинов Донари."
Refuge,Утешитель
A blessed hammer granting troops enhanced healing powers.,"Благословлённый молот, усиливающий лечение."
Guerilla Bow,Партизанский лук
A war-worn weapon proven to be highly accurate.,"Испытанное войной оружие, доказавшее свою высокую точность."
Trueshot Bow,Меткий лук
"A magically-crafted bow, designed to give its arrows incredible accuracy.","Созданный с помощью магии лук, который наделяет стрелы невероятной точностью."
Ataraxia,Атараксия
"Millenia-old bow wielded by Lorelai, slayer of Duros, King of Dragons.","Сделанный тысячу лет назад лук, принадлежавший Лорелаю — убийце короля драконов Дуроса."
Heartseeker,Искатель сердец
A bow enchanted with unknown dark energies whose arrows are extremely deadly.,"Лук, зачарованный с помощью чёрной магии. Его стрелы несут смертельную угрозу."
Obsidian Arquebus,Обсидиановая аркебуза
"Specialized firearm developed from the exotic material, obsidian.","Специализированное огнестрельное оружие, созданное из экзотического материала — обсидиана."
Donari Staff,Посох Донари
Standard issue enchanted staff wielded by the Sisterhood of Mercy.,"Стандартный зачарованный посох, выдаваемый Сёстрам Милосердия."
Blood Staff,Кровавый посох
A weapon that draws upon the wielder's own life force to grant them incredible magic power.,"Оружие, вытягивающее жизнь из владельца, но дающее ему невероятную магическую силу."
Apprentice Spellbook,Книга заклинаний ученика
Standard issue magical guidebook wielded by Imperial Academy war mages.,"Стандартная книга с заклинаниями, выдаётся боевым магам имперской академии."
Grandmaster Spellbook,Книга заклинаний магистра
Decades of study allows a war mage to understand the powerful techniques within this book.,"Десятилетия упорного труда позволяют боевому магу овладеть тайнами могущественных заклинаний, содержащихся в этой книге."
Auraweave Cloak,Накидка из ауравива
"An exsquisite cloak made from Auraweave, silk imbued with magic.","Изысканная накидка, сшитая из ауравива — зачарованного шёлка."
Cyrene's Regalia,Одежды Кирены
The divinely-enchanted uniform of the Avatar of Compassion.,Наполненные божественной магией одеяния Аватара Сострадания.
Sergeant's Uniform,Сержантская форма
Imperial Academy officer's uniform.,Форма офицера имперской академии.
Officer's Regalia,Парадная форма
Higher echelons of Imperial military officers are granted this familiar uniform.,Форма высших эшелонов имперской армии.
Scout's Gear,Снаряжение разведчика
Standard issue Imperial Light Infantry battle gear.,Стандартное боевое снаряжение лёгкой имперской пехоты.
Guerilla Armor,Партизанская броня
"Rugged leather armor of an ancient Barek Tor design, optimal for jungle combat.","Броня из грубой кожи, созданная по образцу древней брони из Барек Тора. Идеально подходит для боёв в джунглях."
Shinobi Gi,Кимоно ниндзя
The garb of a master of the Caladori Arts allowing the wielder to dodge many incoming attacks.,"Одежда мастера искусств Каладори, позволяющая владельцу уклоняться от большинства атак."
Blademaster's Armor,Броня мастера меча
Mastercraft lamellar-plated armor from the new extinct Caladori civilization that occupied what is now known as Western Sayunaa.,"Мастерски выкованная пластинчатая броня, созданная в исчезнувшей цивилизации Каладори, которая располагалась на землях западной Саюна."
Landis's Mirage,Мираж Ландиса
"Divine cloak of the master of Guile, Saint Landis.","Плащ, зачарованный божественной магией, принадлежащий мастеру Хитрости, святому Ландису."
Steel Plate Armor,Стальные латы
Standard issue Imperial Heavy Infantry battle gear.,Стандартное боевое снаряжение имперской тяжёлой пехоты.
Donari Armor,Броня Донари
Battle armor worn by the order of Donari Paladins for centuries.,"Боевая броня, много столетий используемая орденом паладинов Донари."
Dragonscale Armor,Латы из драконьей чешуи
A steel full-plate battle armor adorned with the armored scales of a defeated dragon. ,"Стальная пластинчатая броня, отделанная прочной чешуёй побеждённого дракона."
Imperial Battle Armor,Имперская боевая броня
Modern design of steel heavy armor worn by elite Veridian warriors. ,"Современная тяжёлая стальная броня, используемая лучшими воинами Веридии."
Obsidian Plate Armor,Обсидиановые латы
"Full plate armor made from obsidian. Cumbersome, but offers incredible protection.","Полный латный доспех, сделанный из обсидиана. Громоздкий, но даёт невероятную защиту."
St. Teresa's Tiara,Тиара святой Терезы
"Tiara of Saint Teresa, one of the great heroes of the events surrounding the succession crisis of the last Veridian Emperor of House Krauser.","Тиара святой Терезы, одной из величайших героинь кризиса престолонаследия последнего императора Веридии из дома Краузер."
Hulking Pavise ,Массивный щит
"A recently-created, large wall of steel designed to attempt to deflect the bullets from Firearms.","Современный стальной барьер, призванный защищать от огнестрельного оружия."
Aldor's Tower Shield,Башенный щит Алдора
Massive shield made from obsidian. Was gifted to the Duke of Rimorgue before the times of the Aetherium Crisis.,Массивный щит из обсидиана. Был подарен герцогу Риморга перед Эфирным кризисом.
St. Teresa's Bulwark,Щит святой Терезы
"Shield of Saint Teresa, one of the great heroes of the events surrounding the succession crisis of the last Veridian Emperor of House Krauser.","Щит святой Терезы, одной из величайших героинь кризиса престолонаследия последнего императора Веридии из дома Краузер."
Skull of Rowdain,Череп Родейна
"Long thought forgotten, this millennia-old artifact bears the latent energy of a powerful necromancer who once terrorized Tahnra.","Считавшийся давно утерянным тысячелетний артефакт, сохранивший энергию могущественного некроманта, некогда наводившего ужас на Танру."
Puffin Feather Amulet,Амулет из перьев паффина
"Amulet made from the venerated Puffin, a mainstay of Tahnra's fauna.","Амулет из перьев благородного паффина, широко распространённого представителя фауны Танры."
Ruby Ring,Кольцо с рубином
Ring with a simple strength enchantment.,"Кольцо с простыми чарами, усиливающими силу."
Emerald Ring,Кольцо с изумрудом
Ring with a simple skill enchantment.,"Кольцо с простыми чарами, усиливающими ловкость."
Sapphire Ring,Кольцо с сапфиром
Ring with a simple magic enchantment.,"Кольцо с простыми чарами, усиливающими магию."
Ribbon,Бант
Several of these were created by an eccentric wizard. They protect the wearer from the binding effects of the Siren and the Sorceress's magic.,Несколько таких бантов было изготовлено одним эксцентричным чародеем. Они защищают владельца от контроля сирен и чародейской магии.
Kesh's Toolkit,Крюк Кеша
The Barek Tor War Chieftain Eskandar's special grappling hook crafted for him personally by Grandmaster Kesh.,"Крюк для взбирания по стене, принадлежащий Эскандеру, воинственному вождю Барек Тора. Сделан лично магистром Кешом."
Noisy Cricket,Шумный сверчок
The sound given off by these extraordinary creatures is indescribably irritating...,"Звук, издаваемый этими необычными существами, невероятно раздражает..."
Boots of Tyranny,Сапоги тирании
"Enchanted boots that drains the spirit of the user, while granting them incredible stamina.","Зачарованные сапоги, подрывающие боевой дух владельца, но дарующие невероятную выносливость."
Imperial War Banner,Имперское боевое знамя
"The Imperial blue flag adorned with the likeness of Adorimetra, Queen of the Golden Dragon Brood, is known the world over.","Синий имперский флаг с изображением Адориметры, королевы золотых драконов. Известен по всему миру."
Everlasting Potion,Вечное зелье
A treasure of unknown origin. Highly sought after for its incredible ability to replenish itself over some time.,Происхождение этого сокровища неизвестно. Высоко ценится за способность к самовосполнению с течением времени.
Jade Figurine,Нефритовая статуэтка
"Find one of these, and the fortunes of war will turn to your favor.",Приносит удачу в войне.
Iblis Family Signet,Печатка семьи Иблис
"The Iblis family has a legendary history and a far-reaching impact on Tahnra, having offered the world many great warriors of days past.",Легендарная семья Иблис оказала громадное влияние на Танру. Она подарила миру множество великих воинов старины.
Donar's Treatise of War,Трактат Донара о войне
One of the few ancient divine documents written in Common Veridian that all may understand its secrets.,"Одно из немногих древних божественных писаний, составленных на общем веридийском для лёгкого понимания его секретов."
Soha's Blood Shard,Кровавый кристалл Соха
Fragment of a mysterious crystal shard of unfathomable power. No one has possessed it and lived.,Фрагмент мистического кристалла невыразимой мощи. Никто из его предыдущих обладателей не выжил.
Landis's Fixed Dice,Шулерские кости Ландиса
"The Divine Avatar of Justice created his own luck at every turn, though it earned him a suspicious reputation.","Божественному Аватару Правосудия всегда невероятно везло, но этим он заработал себе сомнительную репутацию."
Genbu Shell Fragment,Фрагмент панциря Генбу
"A lone turtle, who inadvertedly consumed a piece of an Aetherium Shard, was transformed into a massive and powerful beast known today as Genbu. The pieces of his shell are priceless.","Одинокая черепаха, которая непреднамеренно проглотила осколок Эфира, превратилась в огромного и могучего зверя, известного сейчас как Генбу. Фрагменты её панциря высоко ценятся."
Temporal Modulator,Временной модулятор
A legendary treasure that has remained a mainstay of adventurer's desires for millenia. Has unique control over the flow of time.,"Легендарное сокровище, за которым многие тысячелетия охотятся искатели приключений. Обладает уникальной способностью управлять ходом времени."
Black Belt,Чёрный пояс
Adorned with faded engraving about an ancient Arena Champion.,Украшен выцветшей гравировкой с именем древнего чемпиона арены.
Cloak of Cunning,Накидка хитрости
Equal the playing field against speedy foes with this masterfully-woven cloak.,Эта искусно сотканная накидка уравнивает ваши шансы в бою против скоростных противников.
Essence of Embor,Эссенция Эмбора
Magical charm that captures the bitter cold of the Emborian Tundra.,"Магический талисман, содержащий в себе суровый холод эмборийской тундры."
Belinda's Field Kit,Полевая аптечка Белинды
The well-organized medical supply kit originally curated by a legendary Priestess of times past.,"Компактный набор лекарств, принадлежащий легендарной жрице прошлого."
Signet of Wrath,Печатка Гнева
"The encapsulated power of the ancient demon of sin, Wrath.","Этот предмет содержит в себе силу древнего демона греха, Гнева."
Firewalker Boots,Огнеупорные ботинки
Boots specifically designed for Obsidian miners braving the lava tubes of Mt. Karnac.,"Специальные ботинки, созданные для работников обсидиановых шахт, которым приходится преодолевать лавовые тоннели горы Карнак."
Shadowchaser Boots,Обувь теневого охотника
"Enchanted Boots worn by the notorious assassin, Kuroda.","Зачарованная обувь, которую носит знаменитый ассасин Курода."
Gilded Clover,Позолоченный клевер
What DOES Lucky do?!,Зачем нужна удача?!
Mercurial Shoes,Ртутная обувь
It's like walking on a cloud.,Обеспечит вам лёгкую походку.
Caladori Charm,Талисман Каладори
The Grandmaster always had a delightful sense of humor!,У магистра всегда было чудесное чувство юмора!
Fitch Farm Rancher Hat,Шляпа владельца хорьковой фермы
Ain't no one who can handle 'em like old Barnabas!,"Никто так не умеет управляться с ними, как старина Барнабас!"
Grothnor Lich's Skull,Череп лича Гротнора
Decent people shouldn't think about how one gets one of these things.,"Нормальным людям лучше не задумываться, откуда берутся подобные артефакты."
Spencer's Spectacles,Очки Спенсера
Technologically-advanced relic of a bygone era with unknown mechanical properties.,"Реликвия давно ушедшей эпохи технологий, обладающая неизвестными механическими свойствами."
Aetherium Gemstone,Эфирный самоцвет
"A piece of the Arc Donarium's inner core, salvaged recently and nearly priceless.","Часть внутреннего ядра Арк Донариум, добытая недавно и практически бесценная."
Sunset Bay Theatre Mask,Театральная маска Закатной бухты
Ceremonial mask worn by the elusive Tidereaver sect in a remote pirate colony known as Sunset Bay.,"Церемониальная маска, используемая пиратами Тайдривера в далёкой пиратской колонии, известной как Закатная бухта."
Unequip,Снять
Unequip the current artifact.,Снять используемый артефакт.
Empty,Пусто
Select to equip an item.,"Выберите, чтобы экипировать артефакт."
Locked,Заблокировано
