ENGLISH,Russian
XP Codex,Кодекс ОПТ
Used to instantly level up any Unit in your Army. Can only be used on a Unit with a lower level than your highest leveled Unit.,Мгновенно повышает уровень любого юнита в вашей армии. Можно использовать только на юните с не самым высоким уровнем в вашей армии.
CP Codex,Кодекс КО
Used to increase the Class Mastery of the current Class of any Unit in your Army by 500.,Повышает мастерство текущего класса любого юнита в вашей армии на 500.
Bronze Arena Token,Знак бронзовой арены
"""The Imperial Academy has not sanctioned these gladitorial games, but is happy to recruit its victors.""","«Имперская академия не санкционировала эти гладиаторские бои, но с радостью нанимает их победителей»."
Silver Arena Token,Знак серебряной арены
"""The Emborian Tundra is vast and harsh, and forges much more resilient warriors.""",«Суровая эмборская тундра — родина могучих и выносливых воинов».
Gold Arena Token,Знак золотой арены
"""In the deserts of Sayunaa lies a fortress hidden in the cliffs. A location soaked with the blood of many generations of gladiators.""",«Среди утёсов в пустыне Саюна скрывается крепость. Здесь проливалась кровь не одного поколения гладиаторов».
Platinum Arena Token,Знак платиновой арены
Proof of Merit,Награда за заслугу
Use on a Tier 3 unit with maxed CP to upgrade them to a gold version of their current class. Will no longer be able to class change.,"Используйте на юните 3 ранга с максимумом КО, чтобы улучшить его до золотой версии текущего класса. Юнит больше не сможет менять класс."
Iron,Железо
"This common resource is a staple of any army, and is used to create steel equipment. ",Этот распространённый ресурс — основа любой армии. Из него изготавливается стальное снаряжение. 
Obsidian,Обсидиан
"An exotic, dense, super-tensile material master blacksmiths can use to greatly augment steel equipment. While weapons become slightly heavier, they become much more deadly.","Этот плотный и невероятно ковкий редкий материал используют лучшие кузнецы, чтобы усиливать стальное снаряжение. Такое оружие становится немного тяжелее, но при этом гораздо смертоноснее."
Sunstone,Янтарь
A rare and precious stone that exhibits the unique ability to focus and enhance healing and Light magics.,Редкий и ценный камень. Обладает уникальным свойством фокусировать и усиливать исцеление и магию Света.
Gems,Самоцветы
Somewhat commonly-found gemstones that are required in most magicraft.,Эти камни встречаются в природе довольно часто. Они нужны для создания магических предметов.
Pyrocite,Пироцит
"The most precious resource of our time. This highly unstable ore has been useless until recently. Now, we can harness its explosive power.","Самый ценный ресурс нашего времени. Крайне нестабильная руда, применение которой нашлось лишь недавно. Теперь мы научились направлять её взрывную силу."
Horses,Кони
Specially-bred war horses large and brave enough to enter the flames of battle.,Специальная порода боевых коней. Крупные и отважные — их точно не испугает жаркая схватка.
Tech Points,Очки развития
Donari Chronicle,Хроника Донари
"Used by Squad Leaders only to simulate defeating an enemy squad of 6 equal level units,
granting XP and CP, as well as LDR and Loyalty progress to the whole squad.","Используется только лидерами отрядов. Позволяет симулировать победу над вражеским отрядом из 6 равных по уровню юнитов.
Весь ваш отряд получит ОПТ, КО, ЛДР и лояльность."
Mint Leaves of Magic,Листья волшебной мяты
Used to increase a Unit's MAG by a small amount.,Немного повышает МАГ юнита.
Roast Beef of Might,Ростбиф силы
Used to increase a Unit's STR by a small amount.,Немного повышает СИЛ юнита.
Apple of Agility,Яблоко ловкости
Used to increase a Unit's SKL by a small amount.,Немного повышает ЛОВ юнита.
Salmon of Health,Лосось здоровья
Used to increase a Unit's MaxHP by a small amount.,Немного повышает макс.ОЗ юнита.
Medal of Valor,Медаль доблести
"Increase a unit's LDR by +3 up to 50, +2 up to 60, +1 up to 70, cannot be used on a Unit with 70+ LDR.","Повышает ЛДР юнита на +3 (если оно ниже 50), на +2 (если ниже 60) или на +1 (если ниже 70). Юниты с ЛДР 70 и выше не могут использовать этот предмет."
Affinity: Earth,Стихия: Земля
"Change a unit's Affinity to Earth. Stats will change retroactively. ++HP, -SKL","Меняет стихию юнита на Землю. Параметры тоже изменятся: ++ОЗ, –ЛОВ"
Affinity: Water,Стихия: Вода
"Change a unit's Affinity to Water. Stats will change retroactively. +HP, -STR, -SKL, + MAG","Меняет стихию юнита на Воду. Параметры тоже изменятся: +ОЗ, –СИЛ, –ЛОВ, +МАГ"
Affinity: Lightning,Стихия: Молния
"Change a unit's Affinity to Lightning. Stats will change retroactively. -HP, +STR, +SKL, -Loyalty","Меняет стихию юнита на Молнию. Параметры тоже изменятся: –ОЗ, +СИЛ, +ЛОВ, –Лояльность"
Affinity: Fire,Стихия: Огонь
"Change a unit's Affinity to Fire. Stats will change retroactively. +STR, -MAG, +Loyalty","Меняет стихию юнита на Огонь. Параметры тоже изменятся: +СИЛ, –МАГ, +Лояльность"
Affinity: Dark,Стихия: Тьма
"Change a unit's Affinity to Dark. Stats will change retroactively. ++STR, ++MAG, --LDR, --Loyalty","Меняет стихию юнита на Тьму. Параметры тоже изменятся: ++СИЛ, ++МАГ, – –ЛДР, – –Лояльность"
Affinity: Light,Стихия: Свет
"Change a unit's Affinity to Light. Stats will change retroactively. ++LDR, ++Loyalty","Меняет стихию юнита на Свет. Параметры тоже изменятся: ++ЛДР, ++Лояльность"
Trait: Scavenger,Черта: Мусорщик
Teach trait to a unit.,Позволяет придать черту юниту.
Trait: Garrison,Черта: Гарнизон
Trait: Bodyguard,Черта: Телохранитель
Trait: Vengeance,Черта: Месть
Trait: Overpower,Черта: Сокрушение
Trait: Imposing,Черта: Внушительность
Trait: Unassuming,Черта: Неприметность
Trait: Resolve,Черта: Решимость
Trait: Unscathed,Черта: Неуязвимость
Trait: Precision,Черта: Точность
Trait: Assassin's Heart,Черта: Сердце убийцы
Trait: Archer Captain,Черта: Капитан лучников
Trait: Soldier Captain,Черта: Капитан солдат
Trait: Knight Captain,Черта: Капитан рыцарей
Trait: Concentration,Черта: Концентрация
Trait: Disarm,Черта: Обезоруживание
Trait: Lithe Assault,Черта: Изящное нападение
Trait: Assassin's Reaper,Черта: Жнец убийцы
Trait: Bowmanship,Черта: Мастерство лука
Trait: Dragonslayer,Черта: Убийца драконов
Trait: Warrior's Hubris,Черта: Гордыня воителя
Trait: Challenger,Черта: Претендент
Trait: Executioner,Черта: Палач
Trait: Healing Attuned,Черта: Гармония исцеления
Trait: Cold-Blooded,Черта: Хладнокровие
Trait: Beacon,Черта: Маяк
Trait: Arcane Barrier,Черта: Магический барьер
Trait: Arcane Might,Черта: Магическая сила
Trait: Arcane Speed,Черта: Магическая скорость
Trait: Arcane Vigor,Черта: Магический тонус
Trait: Counterattack,Черта: Контратака
Trait: Desperation,Черта: Отчаянность
Trait: Immortal Spirit,Черта: Бессмертный дух
