"Rest in peace, Kuroda.","Покойся с миром, Курода."
"That makes 18 souls you've asked me to send to the void. Is your bloodlust sated yet, or do you have a 19th for me?!",По вашему приказу я отправил на тот свет уже 18 человек. Ваша жажда крови удовлетворена? Или уже на примете есть номер 19?
"Stay your weapons, Razehl. I surely wouldn't want to cross blades with the likes of you!","Разел, опусти оружие. Я здесь не для того, чтобы драться, а уж тем более с тобой!"
"That man you just defeated... Kuroda, they called him. Well, little do these people know. His name was something else entirely.\! But that is no matter to you or I anymore, is it?","Тот, кого ты только что убил... его звали Курода. Но они не понимают, что значит это имя. На самом деле его звали совсем не так.\! Но теперь это уже не имеет значения, так?"
"I am in no mood for riddles. If you have business with me, out with it, old man.","Хватит мне тут вопросы задавать, старик. Если тебе что-то нужно от меня, то говори прямо."
"I've been watching you, Razehl. I have a keen eye for true talent. And it would seem, you've proven me right.\! I've paid off these men, who have kept you as some...\| toy. Some implement of their puerile amusement.\! No, henceforth, you will be who you were made to be. The title of Kuroda... this title has spanned generations. An instrument of death. Kingmaker, and godslayer!\! That title is now yours. As so too are its many, many rewards - I'll see to that.","Я следил за тобой, Разел. Я умею распознавать настоящий талант. Вот и в твоём случае я не ошибся.\! Я заплатил этим людям, которые держали тебя тут в качестве...\| развлечения. Просто для удовлетворения своих низменных потребностей.\! Но отныне ты станешь тем, кем стать тебе предначертано судьбой. Курода — это призвание... Так уже многие поколения называют определённых людей. Людей, которые сеют смерть. Людей, которые решают судьбы королей и способны убивать богов!\! И теперь этому призванию будешь служить ты. А я буду щедро вознаграждать тебя за службу."
...And you expect me to do as you ask now?,...А я за это должен выполнять все твои приказы?
"You will. Not because it is my wish, but because it is yours. I know your heart, young Kuroda. Boiling, brimming with a desire for justice.\! Against the men who took your parents from you... took your future away, and any chance at peace.\! Together, we will cut them down, Kuroda. You need but trust me, little by little, as I lead you ultimately to their timely demise.","Не должен, но будешь. Не потому что я так приказываю, а потому что этого хочешь ты. Юный Курода, я знаю, как ты мыслишь. В твоей горячей крови кипит тяга к возмездию.\! Ты хочешь отомстить тем, кто лишил тебя родителей... лишил будущего и любой надежды на мирную жизнь.\! Курода, я помогу тебе уничтожить их всех. Доверься мне, и вместе мы истребим их одного за другим."
You're right.,А ведь ты прав.
Direct my blade. May the dogs calling for war never breathe again...,"Говори, что мне нужно делать. Все эти псы, что вершат войну, заслуживают смерти..."
"All in due time. The great lords of Ezrum, Calador, Reza, and Qurmad, and the Regent Lord of Sayunaari Palace must die.\! It is no concern of the Sayunaari people, for I have suitable replacements for all, ready to fill the void.\! Rest assured, I will see to it that they no longer act rashly, or for self-interest, but rather for the betterment of your people. Stability, and peace, at long last.","И они её получат. Великие владыки Эзрума, Каладора, Резы и Курмада, а также лорд-наместник саюнари — все они должны умереть.\! Не волнуйся, твоим собратьям-саюнари это ничем не грозит, ведь у меня на примете уже есть достойная замена каждому из этих людей.\! Поверь, мои кандидаты будут действовать не в личных корыстных целях, но в интересах своего народа. Наконец наступят мир и стабильность."
