Change to,Изменить на:
Demote to,Понизить до:
Promote to,Повысить до:
(Unit perma-death is suspended),(Перманентная смерть юнитов приостановлена)
Start a new game with these settings?,Начать игру с этими настройками?
Reload the base?\NEWLINEData will be restored to when you last entered or saved in the base.,Вернуться к последнему сохранению на базе или входу на базу?
Return to title?\NEWLINEAll unsaved progress will be lost.,Вернуться в главное меню?\NEWLINEНесохранённый прогресс будет потерян.
Are you sure you want to exit the game?\NEWLINEAll unsaved progress will be lost.,Вы хотите выйти из игры?\NEWLINEНесохранённый прогресс будет потерян.
Select a difficulty,Выберите сложность
Enable helpful hints throughout the game. Can be toggled in Options.,Включает подсказки во время игры. Можно отключить в настройках.
Non-story characters incapacitated at the end of a mission are \NEWLINElost forever. Their resources will be refunded.,"Если второстепенные персонажи побеждены в конце миссии,\NEWLINEони погибают навсегда. Ресурсы за них будут возвращены."
Begin the game,Начать игру
Deploy to the this side mission?,Отправиться на эту дополнительную миссию?
"WARNING! After completing this chapter, the threads of time will be disrupted, and some side quests will no longer be available. \\LINEAre you sure?","ВНИМАНИЕ! После завершения этой главы ход времени будет нарушен, и некоторые дополнительные миссии станут недоступны. \\LINEВы уверены?"
Deploy to the next Mission?,Отправиться на следующую миссию?
Are you sure you want to exit?\NEWLINEAll unsaved progress will be lost.,"Вы уверены, что хотите выйти?\NEWLINEВесь несохранённый прогресс будет потерян."
Restore settings to default?,Восстановить настройки по умолчанию?
"These two will be bound together, preventing any other such bonds.\NEWLINE Are you sure?",Эти двое будут связаны любовными узами и больше ни с кем\NEWLINEне смогут вступить в такие отношения. Вы уверены?
Are you sure you want to sell this item?,Вы точно хотите продать этот предмет?
Item will be unequipped and sold.,Предмет будет снят и продан.
Are you sure you want to purchase this?,Вы точно хотите совершить покупку?
Are you sure you want to hire this mercenary?,Вы точно хотите нанять этого наёмника?
Are you sure you want to skip the cutscene?,Вы точно хотите пропустить эту заставку?
Are you sure you want to skip all cutscenes (until next gameplay)?,Вы точно хотите пропускать все заставки (до следующего запуска игры)?
Are you sure you want to quicksave?\NEWLINEPrior Quicksave will be overwritten.,Выполнить быстрое сохранение?\NEWLINEПрошлое быстрое сохранение будет утеряно.
Are you sure you want to load?\NEWLINEProgress will be reverted to last QuickSave.,"Вы уверены, что хотите загрузить игру?\NEWLINEВы начнёте с прошлого быстрого сохранения."
Are you sure you want to restart mission?\NEWLINEMission progress will be lost.,"Вы уверены, что хотите начать миссию заново?\NEWLINEТекущий прогресс в миссии будет потерян."
Are you sure you want to return to base?\NEWLINEALL mission progress will be lost.,"Вы уверены, что хотите вернуться на базу?\NEWLINEВесь прогресс в миссии будет потерян."
Are you sure you want to return to the beginning of the turn?\NEWLINEAll unsaved progress will be lost.,"Вы уверены, что хотите переиграть этот ход?\NEWLINEВесь несохранённый прогресс будет потерян."
Finish deploying and begin mission?,Закончить развёртывание войск и начать миссию?
Retreat this squad to base?\NEWLINEThey will be unavailable until next turn.,Отступить этим отрядом на базу?\NEWLINEОтряд будет недоступен до следующего хода.
Are you sure you want to revive?,"Вы уверены, что хотите воскресить?"
Are you sure you want to refresh all heal charges?,"Вы уверены, что хотите обновить все заряды лечения?"
Are you sure you want to restart mission and PERMANTENTLY reduce difficulty?\NEWLINENew difficulty:,"Вы уверены, что хотите перезапустить миссию и НАВСЕГДА уменьшить сложность?\NEWLINEНовая сложность:"
Depart with the selected squads?\NEWLINEThe rest will find another way to survive.,Отправиться с выбранными отрядами?\NEWLINEОстальные будут искать другой способ спастись.
Squads to join Diana's Army,Отряды присоединяются к армии Дианы
Not all squads have moved.,Не все отряды походили в этой стадии.
Are you sure you want to End Turn?,Вы точно хотите завершить ход?
Form a new squad with this unit as leader?,Создать новый отряд с этим юнитом в качестве лидера?
