ENGLISH,RUSSIAN
World Lore,Знания о мире
Tactics and Strategy,Тактика и стратегия
Class List,Список классов
Terrains,Объекты на карте
Reference Guide,Справочник
Tutorial,Обучение
Tahnra,Танра
"Our world. Creation of Donar. The first sapient life were the Earthenfey, who populated our world in its primal state. Now, Tahnra houses Humans, Skyborn, Barek Tor, and Demyrians. Our current story takes place entirely in the Human lands, but there is a vast, rich world beyond our borders.","Наш мир. Творение Донара. Первой разумной жизнью были земляные феи, которые населяли наш мир на заре мироздания. Ныне в Танре обитают люди, неборождённые, Барек Тор и демирийцы. Наша история начинается в землях людей, но за их пределами лежит огромный неизведанный мир."
Empire of Veridia,Империя Веридия
"The largest, most powerful entity in Tahnra. Its vast territory boasts the richest lands in the world.\\PARIts weakness is its political instability. The ruler is selected by an elective process involving both the nobility and the Temple. This system recently reached a critical failure state, resulting in the War of Veridian Succession.","Самая большая и самая могущественная держава Танры. На её огромной территории лежат самые богатые земли этого мира.\\PARНо ложку дёгтя в бочку мёда добавляет постоянное состояние политической нестабильности. Правитель избирается совместных решением представителей дворянства и Храма. Не так давно эта система привела к настоящей катастрофе, вошедшей в историю как Война за веридийский престол."
The Donari Temple,Храм Донари
"Founded by the Avatar of Donar, legendary hero. It has existed for the last thousand years; indeed its founding marks the beginning of the current Human calendar widely adopted by all the civilizations of Tahnra. \\PARThe city of Lemelin finds the Lemelin Monastery at its center, the highest Temple facility, which houses its Grandmaster and other Temple leadership.","Основан легендарным героем — Аватаром Донара. Храм существует уже тысячу лет; его основание положило начало новой системе летоисчисления, принятой всеми цивилизациями мира Танра. \\PARВ центре города Лемелин, в его самой высокой точке, расположен монастырь Лемелин —обитель магистра и всего духовного руководства Храма."
War of Veridian Succession,Война за веридийский престол
"Date: Year 969-972\\PARLocation: Veridia Province, Western Sayunaa\\PARBelligerents: Various noble houses from Veridia and Sayunaa, Central Imperial government\\PARResult: Treaty of Trucea. Compromise between feuding nobles, Florina, descendent of House Iblis of Rimorgue, installed as Empress.\\PARTerritory changes: Though House Iblis made marginal gains to the West and South, all territory returned to pre-war borders following the Treaty of Trucea.\\PARCasualties: 124,000 military deaths, 2,000,000 military and civilians injured or displaced\\PARUndoubtedly the greatest disaster in recent memory, this war spiraled out of control with what began as a minor disagreement about the lineage of various possible successors following the untimely death of the former Emperor.","Даты: 969–972 годы.\\PARМесто действия: провинция Веридия, Западная Саюна.\\PARСтороны конфликта: многочисленные дворянские дома Веридии и Саюны, центральное имперское правительство.\\PARИтог: мирный договор. Воюющие стороны достигли компромисса, согласно которому на трон взошла императрица Флорина, наследница дома Иблис из Риморга.\\PARТерриториальные изменения: хотя во время войны дом Иблис захватил обширные западные и южные территории, согласно мирному договору все границы вернулись к довоенному состоянию.\\PARЖертвы: 124 000 военных погибло, 2 000 000 военных и гражданских были ранены или пропали без вести.\\PARНесомненно, это стало величайшей трагедией современной истории. Конфликт начался из-за небольших разногласий по поводу родословной некоторых претендентов на трон, оставшийся пустым после преждевременной кончины императора, однако быстро перерос в полноценную войну."
Kingdom of Sayunaa,Королевство Саюна
"This nation spans a sizeable territory in the hot, arid center of the mainland and is surrounded on all sides by treacherous mountains and desert.\\PARSuspicious of outsiders. Boasts a massive reserve of mineral wealth that fuels Sayunaa's power.","Эта страна занимает значительную территорию в жарком, засушливом центре материка и со всех сторон окружена коварными горами и пустыней.\\PARЖители подозрительно относятся к чужеземцам. Королевство может похвастаться огромными запасами полезных ископаемых, которые подпитывают мощь Саюна."
General Antares,Генерал Антарес
"Race: Veridian Human\\PARBirthplace: Armitage\\PARHeight: 6'0''\\PARWeight: 198 lbs\\PARBirth year: 948\\PARGeneral during the War of Veridian Succession, and leader of a Rebellion of his own creation in protest of government overreach.","Раса: Человек, веридиец\\PARМесто рождения: Армитаж\\PARРост: 182 см\\PARВес: 90 кг\\PARДата рождения: 948 год\\PARБыл генералом во время Войны за веридийский престол, позже возглавил мятеж против засилья имперского правительства."
Squads,Отряды
