"Imperial Army Camp, Year 997","Лагерь имперской армии, 997 год",
Chapter 1: Rebellion,Глава 1: Восстание,
Engage with the forces of the Antares Rebellion and seize Eastwall Fortress for the Imperial Army.,Вступите в бой с мятежной армией Антареса и захватите крепость Иствол для имперской армии.,
"Eastwall Fortress, Year 997","Крепость Иствол, 997 год",
Chapter 2: For Whose Sake?,Глава 2: Ради кого?,
Antares has fled with Empress Florina to the deep forest. Pursue his army and approach the main rebel hideout at Centurion's Rest.,Антарес бежал в глубокий лес вместе с императрицей Флориной. Преследуйте его армию и найдите главное пристанище мятежников в Убежище Центуриона.,
"Centurion's Rest, Year 997","Убежище Центуриона, 997 год",
Chapter 3: Crimson Star,Глава 3: Багровая звезда,
Antares is trapped in Centurion's Rest. Fight alongside the Imperial Army to besiege Centurion's Rest and destroy the rebellion.,Антарес окружён в Убежище Центуриона. Вместе с имперской армией осадите Убежище Центуриона и положите конец мятежу.,
"Secret Prison near Granheim, Year 997","Тайная тюрьма возле Гренхейма, 997 год",
Chapter 4: Paradigm Shift,Глава 4: Смена парадигмы,
"Stefan, master spy of the Donari Temple, must pull off a daring rescue from the clutches of the Followers of Zanatus.","Стефан, ведущий шпион Храма Донари, проникает в оплот Последователей Занатуса, чтобы спасти важного пленника.",
"Granheim Abbey, Year 997","Аббатство Гренхейм, 997 год",
Chapter 5: Divine Hammer of the Donari,Глава 5: Божественный молот Донари,
Chapter 5: Divine Hammer,Глава 5: Божественный молот,
"Time to begin the journey to Lemelin Monastery. We will have to fight our way back, every step of the way.","Пора отправиться в монастырь Лемелин. Дорога туда неблизкая, и на каждом шагу нас будут поджидать враги.",
"Fort Naxos, Year 997","Форт Наксос, 997 год",
Chapter 6: Journey to Lemelin,Глава 6: Путешествие в Лемелин,
The Tidereaver Pirates have been unleashed upon us. We must hold Fort Naxos against their attack at all costs.,Нас атаковали тайдриверские пираты. Нужно любой ценой сдержать их натиск и отстоять форт Наксос.,
"Port Jenos, Year 997","Порт Дженос, 997 год",
Chapter 7: Tidereaver,Глава 7: Пираты Тайдривера,
A massive storm has forced the Tidereaver fleet to chain together and wait. We will capitalize on their weakness.,"Сильная буря заставила флот пиратов Тайдривера ждать, пока море не утихнет. Мы воспользуемся этой возможностью.",
"Encampment at Greyden Swamp, Year 997","Лагерь на Грейденском болоте, 997 год",
Chapter 8: Marooned,Глава 8: На чужих берегах,
"The storm damaged our own ships, forcing us off course. But now, we have the opportunity to annihilate the Tidereaver presence completely.","В буре пострадали и наши корабли, из-за чего мы сбились с курса. Но теперь у нас есть возможность окончательно разгромить тайдриверских пиратов.",
"Lemelin Monastery, Year 997","Монастырь Лемелин, 997 год",
Chapter 9: Sanctuary,Глава 9: Прибежище,
We've reached Lemelin at last. But our enemies are eager to strike at any moment...,Наконец-то мы добрались до Лемелина. Однако наши враги не дремлют и могут нанести удар в любой момент.,
Chapter 10: To War,Глава 10: На войну,
"The Veridian Civil War has begun. We find ourselves aligned with the Western forces, in direct opposition to the Prime Minister. We set out now to save Isanter's capital city, and liberate Trucea.",Началась Веридийская гражданская война. Мы на стороне Западной коалиции и выступаем против премьер-министра. Наша следующая задача — спасти столицу Изантера и освободить Труцию.,
"Trucea, Year 997","Труция, 997 год",
Chapter 11: Deadly Gambit,Глава 11: Игра со смертью,
"The Eastern forces are off balance. Time to take the fight to their turf. Their main base of operations lies ahead, at Fort Eureeka.","Восточная коалиция ослаблена. Пора перейти в наступление на их территории. Их главный оплот, форт Эврика, уже близко.",
"Fort Eureeka, Year 997","Форт Эврика, 997 год",
Chapter 12: Upheaval,Глава 12: Переполох,
