ENGLISH,ZH-cn
"Hey there, Sybil was it?\! \n[8] says you're good people so you're alright with me.\! Good fightin' out there.",嘿，是茜比尔吗？\!\n[8]说你人不错，所以你应该也能跟我合得来。\!刚刚的战斗真是出色。
"Thanks! Hey, right back at you Mr. Barnabas.\! Pretty good for an old farmer type.",谢谢！嘿，你打的也不错巴纳巴斯。\!一个老农这么厉害挺难得。
"That's Master Sergeant Barnabas to you, lady!",你得叫我巴纳巴斯军士长，女士！
"Yeah, whatever.\! Hey just let me know if you need to take a rest, I am a healer, ya know!",是啦，怎样都好。\!嘿，如果你顶不住了需要休息，跟我说就好，你知道我是个治疗师的！
What the-\! Sharp tongue on this one!,什么——\!你这人的嘴巴可真凌厉！
"Hey now, just giving you a hard time!\! Figured a military guy like yourself would be used to it!",嘿等下，我就是在跟你贫嘴而已！\!还以为你这样的军人早就习惯了呢！
"Never was the type to go straight into the jokes.\! Gotta feel someone out a bit first!\! Ya know, wine 'n dine me before ya ask for a kiss, heh heh!",我可不是那种玩笑开得特别溜的人。\!得先读一下空气才行！\!你知道的，在要求亲吻之前请先吃完饭，嘿嘿！
"Um... ewww?\! Sorry Mr. Farmer, I'm keepin' my options open right now!",嗯……呃？\!抱歉，农夫先生，那我可不确定是不是还要跟你了啊！
!!!\! What the-\! That ain't what I meant!,！！！\!什么——\!我不是那个意思！
"Hahahaha! Too easy!\! Hey I like you.\! Let's stick together out there, eh?\! Seems I'm not the only one with something to learn!",哈哈哈哈！真容易上钩啊！\!嘿，我喜欢你。\!让我们互相照应，如何？\!看来我不是唯一一个有东西要学的人！
"Sigh...\| You're gonna be trouble, I can tell.\! Glad you're on our side!",唉……\|你可不好对付，我看得出来。\!很高兴你站在我们这边！
