Change to,改变为
Demote to,降阶至
Promote to,晋阶至
(Unit perma-death is suspended),（已暂停单位永久死亡）
Start a new game with these settings?,确定使用这些设置开始游戏吗？
Reload the base?\NEWLINEData will be restored to when you last entered or saved in the base.,重新加载本营？\NEWLINE数据将恢复到最后一次进入营地或在营地保存的时候。
Return to title?\NEWLINEAll unsaved progress will be lost.,返回开始屏幕吗？\NEWLINE所有未保存的进度都会丢失。
Are you sure you want to exit the game?\NEWLINEAll unsaved progress will be lost.,确定要退出游戏吗？\NEWLINE所有未保存的进度都会丢失。
Select a difficulty,选择难度
Enable helpful hints throughout the game. Can be toggled in Options.,游戏过程中显示有用的提示。可以在设置更改。
Non-story characters incapacitated at the end of a mission are \NEWLINElost forever. Their resources will be refunded.,战败的非故事人物在任务结束后会永远丢失。\NEWLINE他们的资源将被退还。
Begin the game,开始游戏
Deploy to the this side mission?,开始支线任务？
"WARNING! After completing this chapter, the threads of time will be disrupted, and some side quests will no longer be available. \\LINEAre you sure?",警告！完成这一章后，时间线将会受到影响，一些支线任务不再可玩。\\LINE确定吗？
Deploy to the next Mission?,开始下个任务？
Are you sure you want to exit?\NEWLINEAll unsaved progress will be lost.,确定要退出吗？\NEWLINE所有未保存的进度都会丢失。
Restore settings to default?,恢复预设设置？
"These two will be bound together, preventing any other such bonds.\NEWLINE Are you sure?",这两个角色将会在一起，无法与其他人建立相同关系。\NEWLINE确定吗？
Are you sure you want to sell this item?,确定要售卖这个道具吗？
Item will be unequipped and sold.,道具将会被卸下并卖掉。
Are you sure you want to purchase this?,确定要购买吗？
Are you sure you want to hire this mercenary?,确定要雇用该雇佣兵吗？
Are you sure you want to skip the cutscene?,确定要跳过过场动画吗？
Are you sure you want to skip all cutscenes (until next gameplay)?,确定要跳过下一局游戏前的全部过场动画吗？
Are you sure you want to quicksave?\NEWLINEPrior Quicksave will be overwritten.,确定要快速保存吗？\NEWLINE之前的快速存档将会被覆盖。
Are you sure you want to load?\NEWLINEProgress will be reverted to last QuickSave.,确定要加载吗？\NEWLINE进度将会返回到上一次快速保存的时候。
Are you sure you want to restart mission?\NEWLINEMission progress will be lost.,确定要重新开始任务吗？\NEWLINE任务进度将会丢失。
Are you sure you want to return to base?\NEWLINEALL mission progress will be lost.,确定要返回本营吗？\NEWLINE所有任务进度都会丢失。
Are you sure you want to return to the beginning of the turn?\NEWLINEAll unsaved progress will be lost.,确定要重玩本回合吗？\NEWLINE所有未保存的进度都会丢失。
Finish deploying and begin mission?,完成部署并开始任务？
Retreat this squad to base?\NEWLINEThey will be unavailable until next turn.,将单位撤回本营？\NEWLINE单位在本回合将不可用。
Are you sure you want to revive?,确定要复活吗？
Are you sure you want to refresh all heal charges?,确定要刷新所有的治疗次数吗？
Are you sure you want to restart mission and PERMANTENTLY reduce difficulty?\NEWLINENew difficulty:,确定要重新开始任务并永久降低难度吗？\NEWLINE新难度：
Depart with the selected squads?\NEWLINEThe rest will find another way to survive.,与选定的小队一起出发？\NEWLINE其他人将寻找别的生存方式。
Squads to join Diana's Army,将会加入戴安娜军的小队
Not all squads have moved.,还有未行动的小队。
Are you sure you want to End Turn?,确定要结束回合吗？
Form a new squad with this unit as leader?,任命当前单位为队长并组建新的小队？
Are you sure you want to disband this squad?\NEWLINEAll Units will be returned to reserves.,确定要解散这个小队吗？\NEWLINE所有单位都将返回预备队。
Are you sure you want to clear this squad?\NEWLINEAll Units and artifacts will be removed from squad.,确定要清空这个小队吗？\NEWLINE所有单位和神器都将被移出小队。
Are you sure you want to remove this unit?\NEWLINE(Unit will be placed in reserves),确定要移除这个单位吗？\NEWLINE（单位将返回预备队）
Are you sure you want to remove this unit?\NEWLINE(Squad will be disbanded),确定要移除这个单位吗？\NEWLINE（队伍将解散）
Are you sure you want to dismiss this Unit?\NEWLINEThey will be gone for good!,确定要解雇这个单位吗？\NEWLINE单位将永远地离开！
Choose a trait to replace.,选择要替换的特性。
Rename character to,角色重命名为
Use item,使用道具
WARNING! Golden classes can no longer class change.  Are you sure?,警告！黄金职业无法再切换职业。确定吗？
"All player units take 50% less damage from all sources!\\PARGreat if you want to view the story! Still has the full game, but without the risk of defeat.",所有玩家单位少受到50%的全部来源伤害！\\PAR适合剧情党！完整的游戏体验，没有被击败的风险。
"Enemies are well-balanced, several key levels can be moderately challenging.\\PARGreat starting point for most players!",敌人实力均衡，少数重要关卡略有挑战性。\\PAR适合大多数玩家！
Enemy HP and attack power are increased!\\PARONLY for experienced players!\\LINEChoose at your own risk!,敌人的生命值和攻击力提升！\\PAR仅适合有经验的玩家！\\LINE风险自负！
Locked.  Unlock #n# more Tier #t# techs to unlock.\NEWLINE,已锁定。 需要先解锁#n#更多#t#职阶科技。\NEWLINE
Locked.  Unlock all techs from associated branches to unlock!\NEWLINE,已锁定。 需要先解锁相关分支的所有科技！\NEWLINE
"Returns to the base last deployed from, in the state you were prior to deploying.",返回营地，状态将会还原至出征之前。
Loads the last QuickSave.,加载最新的快速存档。
"Starts the mission over.  If there was a deploy phase, return to right before deploy was completed.",从头开始任务。 如果有部署阶段，返回到部署刚完成之前。
Starts the mission over and reduce the difficulty for the remainder of this playthrough.,重新开始任务，并降低接下来的游戏难度。
Redo the turn from the start of the Player Phase.,重置玩家回合。
Load a file.,加载文件。
Return to the title screen.,返回开始屏幕。
Are you sure you want to save? \NEWLINEAny existing data will be overwritten.,确定要保存吗？  \NEWLINE现有的数据将会被覆盖。        
Are you sure you want to skip this chapter?,确定要跳过此章节吗？
"Enemies are smarter, braver, and more ruthless. Everything is far less forgiving.\\PARThe ultimate challenge for masterful commanders!",敌人会更加聪明、勇敢、冷酷无情。所有方面的容错率都会显著降低。\\PAR为捻熟军事的指挥官们定制的终极挑战！
Summons this new Risen unit into your reserves.,将这个新的复苏单位召唤至你的预备队中。
(visual only),(仅改变视觉效果)
WARNING! This class cannot be demoted.,警告！该职业无法降阶。
"Story characters from the previous playthrough will be available as non-story affecting ""copies"", but retain their unique class.",上次通关继承来的故事角色会以不影响剧情的“复制品”的形式为玩家所用，不过他们独有的职业会得到保留。
No units or items will from the previous run will be available. Playthrough options may still be selected.,上次通关所获得的所有单位和物品都不会被保留。依旧可以选择多周目独有选项。
Start the game at chapter 4 with some additional resources and Memory Fragments granted.,从第四章开始游戏，会附赠资源与记忆碎片。
Units carried over from a previous playthrough will be reset to their initial class but have greatly increased XP and CP growth as well as a small stat boost.,上次通关继承来的单位的职业会被重置为其初始职业，但经验与职业经验的成长率大幅提高，其数值也会小幅增张。
Adjust how many resources mines will grant.,调整从矿井中可以获得的资源数量。
Adjust how much gold Surrender bounties will grant.,调整从迫降奖励中获得的金币数量。
