ENGLISH,ZH-cn,
World Lore,世界知识,
Tactics and Strategy,战术与战略,
Class List,职业列表,
Terrains,地形,
Reference Guide,参考指南,
Tutorial,教程,
Tahnra,塔恩拉,
"Our world. Creation of Donar. The first sapient life were the Earthenfey, who populated our world in its primal state. Now, Tahnra houses Humans, Skyborn, Barek Tor, and Demyrians. Our current story takes place entirely in the Human lands, but there is a vast, rich world beyond our borders.",我们所在的世界。由多纳尔创造。第一个有智慧的生命是大地精灵，他们以原始状态居住在我们的世界。现在，塔恩拉居住着人类、天裔、兽人和矮人。我们这个故事发生在人类的土地上，不过在我们的边界之外还有一个广阔、富饶的世界。,
Empire of Veridia,维尔迪亚帝国,
"The largest, most powerful entity in Tahnra. Its vast territory boasts the richest lands in the world.\\PARIts weakness is its political instability. The ruler is selected by an elective process involving both the nobility and the Temple. This system recently reached a critical failure state, resulting in the War of Veridian Succession.",塔恩拉最辽阔、最强大的国度。其广阔的领土坐拥世界上最富饶的土地。\\PAR弱点是政治动荡。其统治者由贵族和圣殿共同选举选出。不过这个选举体系最近出现了严重问题，引发了维尔迪亚继位战争。,
The Donari Temple,多纳尔圣殿,
"Founded by the Avatar of Donar, legendary hero. It has existed for the last thousand years; indeed its founding marks the beginning of the current Human calendar widely adopted by all the civilizations of Tahnra. \\PARThe city of Lemelin finds the Lemelin Monastery at its center, the highest Temple facility, which houses its Grandmaster and other Temple leadership.",由传说中的英雄，多纳尔的化身所创。圣殿的历史已经有数几千年了。事实上，当前的人类历从圣殿建成之日开始，由塔恩拉的所有文明广泛使用。\\PAR莱梅林修道院坐落于莱梅林市中心，是至高圣殿建筑，也是圣宗和其他圣殿领袖居住的地方。,
War of Veridian Succession,维尔迪亚继位战争,
