"Imperial Army Camp, Year 997",997年，帝国军营
Chapter 1: Rebellion,第1章：平叛讨逆
Engage with the forces of the Antares Rebellion and seize Eastwall Fortress for the Imperial Army.,为了帝国军，与安塔瑞斯反叛势力交战并攻下东墙要塞。
"Eastwall Fortress, Year 997",997年，东墙要塞
Chapter 2: For Whose Sake?,第2章：一切为了谁？
Antares has fled with Empress Florina to the deep forest. Pursue his army and approach the main rebel hideout at Centurion's Rest.,安塔瑞斯携芙洛里娜女皇逃窜至森林深处。追击他的军队，攻打叛军在百夫长安息处的主要窝点。
"Centurion's Rest, Year 997",997年，百夫长安息处
Chapter 3: Crimson Star,第3章：猩红之星
Antares is trapped in Centurion's Rest. Fight alongside the Imperial Army to besiege Centurion's Rest and destroy the rebellion.,安塔瑞斯被困于百夫长安息处。与帝国军队并肩作战，围攻百夫长安息处并击垮叛军。
"Secret Prison near Granheim, Year 997",997年，格兰海姆附近，秘狱
Chapter 4: Paradigm Shift,第4章：急转直下
"Stefan, master spy of the Donari Temple, must pull off a daring rescue from the clutches of the Followers of Zanatus.",多纳尔圣殿的金牌间谍斯泰凡闯入了扎纳图斯信徒的老巢，这场大胆的营救行动一定要成功。
"Granheim Abbey, Year 997",997年，格兰海姆修道院
Chapter 5: Divine Hammer of the Donari,第5章：多纳尔的神圣之锤
Chapter 5: Divine Hammer,第5章：神圣之锤
"Time to begin the journey to Lemelin Monastery. We will have to fight our way back, every step of the way.",是时候前往莱梅林修道院了。接下来的一路，我们要且战且进。
"Fort Naxos, Year 997",997年，纳克索斯堡
Chapter 6: Journey to Lemelin,第6章：莱梅林之旅
The Tidereaver Pirates have been unleashed upon us. We must hold Fort Naxos against their attack at all costs.,噬浪海贼团向我们发动猛攻。我们必须不惜一切代价守住纳克索斯堡，抵御他们的进攻。
"Port Jenos, Year 997",997年，热诺斯港
Chapter 7: Tidereaver,第7章：噬浪海贼团
A massive storm has forced the Tidereaver fleet to chain together and wait. We will capitalize on their weakness.,噬浪海贼团只得将舰队连起来等待大风暴平息。我们会抓住他们的弱点。
"Encampment at Greyden Swamp, Year 997",997年，格雷登沼泽，营地
Chapter 8: Marooned,第8章:浪迹天涯
"The storm damaged our own ships, forcing us off course. But now, we have the opportunity to annihilate the Tidereaver presence completely.",风暴损坏了我们的船只，迫使我们偏离了航线。不过也给了我们彻底铲除噬浪海贼团的机会。
"Lemelin Monastery, Year 997",997年，莱梅林修道院
Chapter 9: Sanctuary,第9章：避难之所
We've reached Lemelin at last. But our enemies are eager to strike at any moment...,我们终于到达了莱梅林。可是敌人虎视眈眈，随时可能进攻……
Chapter 10: To War,第10章：直面战争
"The Veridian Civil War has begun. We find ourselves aligned with the Western forces, in direct opposition to the Prime Minister. We set out now to save Isanter's capital city, and liberate Trucea.",维尔迪亚内战开始了。我方与西方势力结盟，与首相直接对立。我们现在出发去救援伊桑特的首都，并解放特鲁恰。
"Trucea, Year 997",997年，特鲁恰
Chapter 11: Deadly Gambit,第11章：致命博弈
"The Eastern forces are off balance. Time to take the fight to their turf. Their main base of operations lies ahead, at Fort Eureeka.",东军乱了阵脚。是时候在他们的地盘上战斗了。他们的主要指挥营地就在前方的尤里卡堡。
"Fort Eureeka, Year 997",997年，尤里卡堡
Chapter 12: Upheaval,第12章：动荡不安
"We've taken Fort Eureeka, but the Eastern forces remain steadfast. Man the defenses at Fort Eureeka and prepare for the battle of our lives.",虽然我们攻下了尤里卡堡，但东军依然强势。防守尤里卡堡，为生死之战做好准备。
"Rimorgue River Valley, Year 997",997年，里莫格河谷
Chapter 13: Conquest,第13章：征服
Casamir has no business leading armies. Let us show him how it is done. Conquer Rimorgue and crush the resistance at Stormrook.,卡萨米尔没有领导军队的才能。我们来给他露一手。征服里莫格并击垮风鸦堡的守军。
"Westerfield Keep, Year 999",999年，西地
"Chapter 14: Paladin, Undaunted",第14章：圣骑士，英勇无畏
"Diana's Rebellion has stormed Westerfield Keep, a child detention facility. Wipe out the defenders and free the prisoners.",戴安娜的起义军攻占了关押儿童的西地堡。消灭守卫并释放囚犯。
"Outside Westerfield, year 999",999年，西地之外
Chapter 15: Westerfield Escape,第15章：西地逃脱
"We've freed the children, but overwhelming reinforcements have arrived. We must cross the river and arrive safely at Centurion's Rest before we are overtaken.",虽然救出了孩子们，但是援军来势汹汹，已经兵临城下。我们必须过河，在被追上之前安全抵达百夫长安息处。
"Centurion's Rest, Year 999",999年，百夫长安息处
Chapter 16: Desperation,第16章：背水一战
"We cannot ignore the Nephilim Prophecy any longer. Break into the Imperial Palace via its rear sally port, clearing the way to Mount Ptolomea.",是时候正视圣灵预言了。从暗门进入皇宫后方，冲出一条去往托洛米亚山的路。
"Rebel Front Base, Year 999",999年，叛军前营
Chapter 17: Coaxing the Divine,第17章：哄骗神灵
"The enemy has taken great measures to prevent access to the path to Mount Ptolomea. We must shatter their magical barrier, allowing Diana free passage to her destiny.",敌人采取了大量防护措施来封锁去往托洛米亚山的道路。我们必须打碎他们的魔法屏障，让戴安娜自由地走向她的命运。
Chapter 18: Emborian Dawn,第18章：恩博尔的曙光
"The Avatar of Donar has returned to Tahnra, signaling the true beginning of the Nephilim Army. Our first objective is to liberate the far north lands of Embor.",多纳尔圣灵化身回归塔恩拉预示了圣灵军团的真正开始。我们的首要目标是解放恩博尔的极北之地。
"Embor, Year 999",999年，恩博尔
Chapter 19: Return to Eastwall,第19章：返回东墙
"Lysander has managed to establish a stronghold in Eastwall Fortress, but faces overwhelming odds. We must reinforce his army and reunite with our companions.",莱森德设法在东墙要塞设立了据点，可他却陷入了窘境。我们要驰援他的军队，与同伴会师。
Chapter 20: Wild Card,第20章：意料之外
The Historium Magnus has been stolen! We know the thief has fled to the active volcano at Mount Karnac.,《伟大史书》被偷了！我们知道小偷逃去了卡纳克山的的活火山。
"Nephilim Base near Sandraka, Year 999",999年，桑德拉卡附近，圣灵营地
Chapter 21: Liberating Sandraka,第21章：解放桑德拉卡
"We have established a strongpoint on the Sandraka continent. If we can seize the large city of Crestmoor, we will strike a critical blow to Casamir's grip on the South.",我们在桑德拉卡大陆建立了一个据点。如果我们能够攻下浪野的大城市，我们就可以给卡萨米尔在南方控制当头一棒。
"Greywind Peak, Year 999",999年，灰风山峰
